feature,importance
Al6,0.5414272528207005
Au6,0.10803889060164919
alpha,0.08801455843864366
Al3,0.058690944554082386
Al1,0.050441134867433915
Al5,0.040541006117071676
Au0,0.020153650839193408
Au5,0.01884348010104741
Au1,0.016890624172046554
Al4,0.013259604431480557
Au2,0.009128185970231647
Au4,0.00798437292608209
Al2,0.00693249662146809
Au3,0.005994999045767512
Al0,0.004332812254840641
DeltaTE_upper,0.003917080626969425
DeltaTE_lower,0.003632314687256059
Re,0.0017765909240353575
