modelo,target,conjunto,R2,RMSE,MSE,tempo_execucao_segundos,tempo_total_execucao_segundos
RandomForest,CL,treino,0.9986338156291018,0.014064058468011762,0.00019779774059165337,112.63386659999924,346.50661409999975
RandomForest,CL,validacao,0.9337568231804845,0.09963262002603653,0.009926658973252574,112.63386939999964,346.50661409999975
RandomForest,CL,teste,0.9662083220351299,0.06407793649368501,0.004105981945288729,112.63387059999968,346.50661409999975
RandomForest,CD,treino,0.9949590643643426,0.0010475554698808477,1.0973724624772835e-06,141.26006229999984,346.50661409999975
RandomForest,CD,validacao,0.8276215735512786,0.007778153092506002,6.049966553046069e-05,141.26006359999974,346.50661409999975
RandomForest,CD,teste,0.9496544244140973,0.003087659042337189,9.533638361726606e-06,141.26006439999946,346.50661409999975
RandomForest,CM,treino,0.9965335461794051,0.0032019356376097436,1.0252391827395314e-05,89.48160370000005,346.50661409999975
RandomForest,CM,validacao,0.8876323130927963,0.018237338958189707,0.00033260053227590397,89.48160480000024,346.50661409999975
RandomForest,CM,teste,0.9176388313197216,0.012487644461054406,0.0001559412641857028,89.48160540000026,346.50661409999975
