target,parametro,valor
CL,n_estimators,600
CL,max_depth,20
CL,min_samples_split,2
CL,min_samples_leaf,2
CL,max_features,sqrt
CL,bootstrap,True
CL,n_jobs,-1
CL,random_state,42
CD,n_estimators,600
CD,max_depth,20
CD,min_samples_split,2
CD,min_samples_leaf,2
CD,max_features,sqrt
CD,bootstrap,True
CD,n_jobs,-1
CD,random_state,42
CM,n_estimators,600
CM,max_depth,20
CM,min_samples_split,2
CM,min_samples_leaf,2
CM,max_features,sqrt
CM,bootstrap,True
CM,n_jobs,-1
CM,random_state,42
