real,previsto,erro,erro_absoluto
0.01454,0.01446196000000006,-7.803999999994073e-05,7.803999999994073e-05
0.01383,0.013860279999999895,3.0279999999894766e-05,3.0279999999894766e-05
0.01274,0.013172979999999942,0.00043297999999994223,0.00043297999999994223
0.01404,0.013908179999999909,-0.00013182000000009145,0.00013182000000009145
0.01548,0.01492444000000006,-0.0005555599999999411,0.0005555599999999411
0.01694,0.01649063999999998,-0.00044936000000002016,0.00044936000000002016
0.01847,0.018150320000000015,-0.0003196799999999854,0.0003196799999999854
0.01903,0.019468580000000037,0.0004385800000000391,0.0004385800000000391
0.02484,0.024513439999999952,-0.0003265600000000486,0.0003265600000000486
0.02996,0.030168920000000213,0.00020892000000021296,0.00020892000000021296
0.03924,0.04015987999999979,0.0009198799999997898,0.0009198799999997898
0.05658,0.057056060000000054,0.0004760600000000559,0.0004760600000000559
0.07604,0.07410797999999973,-0.0019320200000002702,0.0019320200000002702
0.01361,0.01364183999999995,3.1839999999949686e-05,3.1839999999949686e-05
0.01289,0.013120039999999904,0.00023003999999990365,0.00023003999999990365
0.01292,0.013029740000000024,0.00010974000000002482,0.00010974000000002482
0.01419,0.013868380000000081,-0.00032161999999991836,0.00032161999999991836
0.01548,0.015409880000000063,-7.011999999993745e-05,7.011999999993745e-05
0.01667,0.016756480000000115,8.648000000011438e-05,8.648000000011438e-05
0.0175,0.017942980000000032,0.0004429800000000303,0.0004429800000000303
0.02386,0.023526680000000164,-0.000333319999999835,0.000333319999999835
0.02919,0.029259199999999926,6.919999999992557e-05,6.919999999992557e-05
0.03946,0.039225079999999815,-0.00023492000000018692,0.00023492000000018692
0.05613,0.055446499999999746,-0.0006835000000002533,0.0006835000000002533
0.07346,0.07218078000000001,-0.0012792199999999837,0.0012792199999999837
0.01271,0.012776760000000071,6.676000000007017e-05,6.676000000007017e-05
0.01228,0.012319659999999939,3.9659999999939674e-05,3.9659999999939674e-05
0.01102,0.011492260000000013,0.00047226000000001253,0.00047226000000001253
0.01213,0.012036419999999992,-9.358000000000803e-05,9.358000000000803e-05
0.0133,0.012908620000000039,-0.0003913799999999603,0.0003913799999999603
0.01448,0.014596959999999945,0.00011695999999994551,0.00011695999999994551
0.01552,0.015815840000000154,0.000295840000000153,0.000295840000000153
0.01655,0.017077039999999915,0.0005270399999999162,0.0005270399999999162
0.02309,0.022598039999999948,-0.0004919600000000517,0.0004919600000000517
0.02963,0.028741999999999795,-0.0008880000000002046,0.0008880000000002046
0.04138,0.03979796000000003,-0.001582039999999972,0.001582039999999972
0.05737,0.05500971999999977,-0.0023602800000002283,0.0023602800000002283
0.07048,0.07049608000000016,1.6080000000154304e-05,1.6080000000154304e-05
0.00968,0.00985098000000001,0.0001709800000000098,0.0001709800000000098
0.00948,0.009642819999999979,0.00016281999999997847,0.00016281999999997847
0.0099,0.009870700000000007,-2.929999999999426e-05,2.929999999999426e-05
0.01068,0.010386479999999941,-0.0002935200000000592,0.0002935200000000592
0.01218,0.01171883999999995,-0.0004611600000000507,0.0004611600000000507
0.01663,0.01637034000000007,-0.000259659999999929,0.000259659999999929
0.02294,0.022491420000000092,-0.00044857999999990683,0.00044857999999990683
0.03074,0.02955769999999994,-0.0011823000000000597,0.0011823000000000597
0.00822,0.008422180000000012,0.00020218000000001186,0.00020218000000001186
0.00839,0.008421939999999972,3.1939999999971644e-05,3.1939999999971644e-05
0.00898,0.00880054000000007,-0.00017945999999992995,0.00017945999999992995
0.00988,0.009560039999999964,-0.00031996000000003577,0.00031996000000003577
0.01186,0.01151144000000008,-0.00034855999999992143,0.00034855999999992143
0.01665,0.016189340000000104,-0.00046065999999989754,0.00046065999999989754
0.02215,0.021932419999999984,-0.00021758000000001582,0.00021758000000001582
0.02846,0.028242720000000176,-0.0002172799999998233,0.0002172799999998233
0.04031,0.037932020000000094,-0.0023779799999999046,0.0023779799999999046
0.00737,0.0076237599999999725,0.0002537599999999727,0.0002537599999999727
0.00772,0.007763619999999968,4.361999999996733e-05,4.361999999996733e-05
0.0084,0.008269959999999982,-0.00013004000000001702,0.00013004000000001702
0.00942,0.00911370000000003,-0.00030629999999996944,0.00030629999999996944
0.01161,0.011216400000000059,-0.0003935999999999419,0.0003935999999999419
0.01637,0.015808000000000114,-0.0005619999999998855,0.0005619999999998855
0.02078,0.02092736000000006,0.0001473600000000616,0.0001473600000000616
0.02689,0.026838259999999958,-5.174000000004314e-05,5.174000000004314e-05
0.03854,0.03678415999999994,-0.001755840000000057,0.001755840000000057
0.0105,0.010371440000000048,-0.00012855999999995295,0.00012855999999995295
0.00992,0.010070260000000055,0.0001502600000000548,0.0001502600000000548
0.00974,0.009882059999999982,0.00014205999999998206,0.00014205999999998206
0.00996,0.010005520000000025,4.552000000002457e-05,4.552000000002457e-05
0.01076,0.010844940000000032,8.494000000003159e-05,8.494000000003159e-05
0.0121,0.012615800000000097,0.0005158000000000974,0.0005158000000000974
0.0172,0.017037239999999978,-0.0001627600000000222,0.0001627600000000222
0.02282,0.022378419999999934,-0.00044158000000006636,0.00044158000000006636
0.02961,0.029204679999999934,-0.0004053200000000666,0.0004053200000000666
0.03915,0.03637813999999981,-0.0027718600000001883,0.0027718600000001883
0.05351,0.04971837999999968,-0.0037916200000003217,0.0037916200000003217
0.06453,0.06249458000000051,-0.0020354199999994965,0.0020354199999994965
0.08798,0.08518072000000051,-0.0027992799999994877,0.0027992799999994877
0.00871,0.008636980000000058,-7.301999999994278e-05,7.301999999994278e-05
0.00839,0.00848549999999999,9.549999999998969e-05,9.549999999998969e-05
0.00849,0.008555060000000055,6.506000000005598e-05,6.506000000005598e-05
0.00902,0.009001239999999983,-1.8760000000016958e-05,1.8760000000016958e-05
0.00991,0.010086899999999992,0.000176899999999992,0.000176899999999992
0.01149,0.011867740000000083,0.00037774000000008294,0.00037774000000008294
0.01651,0.01642644000000007,-8.35599999999305e-05,8.35599999999305e-05
0.02176,0.021398060000000132,-0.0003619399999998697,0.0003619399999998697
0.0274,0.02725366000000005,-0.0001463399999999497,0.0001463399999999497
0.02656,0.02947741999999991,0.0029174199999999102,0.0029174199999999102
0.04224,0.04336273999999977,0.001122739999999768,0.001122739999999768
0.05768,0.05736226000000036,-0.00031773999999964303,0.00031773999999964303
0.07971,0.07795111999999965,-0.0017588800000003513,0.0017588800000003513
0.00755,0.007603920000000049,5.392000000004841e-05,5.392000000004841e-05
0.00747,0.007568020000000047,9.802000000004672e-05,9.802000000004672e-05
0.00776,0.007836880000000069,7.688000000006818e-05,7.688000000006818e-05
0.00842,0.00845780000000005,3.78000000000496e-05,3.78000000000496e-05
0.00936,0.009626180000000015,0.00026618000000001515,0.00026618000000001515
0.01118,0.011552940000000081,0.0003729400000000802,0.0003729400000000802
0.01592,0.015877680000000102,-4.2319999999897856e-05,4.2319999999897856e-05
0.02005,0.020211680000000003,0.00016168000000000432,0.00016168000000000432
0.026,0.025925579999999896,-7.442000000010274e-05,7.442000000010274e-05
0.03253,0.03135549999999991,-0.0011745000000000921,0.0011745000000000921
0.00834,0.008600459999999968,0.0002604599999999676,0.0002604599999999676
0.00832,0.00853475999999998,0.00021475999999998052,0.00021475999999998052
0.00845,0.008681479999999952,0.00023147999999995235,0.00023147999999995235
0.00951,0.009532579999999983,2.2579999999983863e-05,2.2579999999983863e-05
0.01259,0.012034080000000056,-0.0005559199999999442,0.0005559199999999442
0.01524,0.0149154800000001,-0.0003245199999998994,0.0003245199999998994
0.0183,0.018036479999999983,-0.0002635200000000171,0.0002635200000000171
0.02276,0.02227119999999991,-0.0004888000000000878,0.0004888000000000878
0.02911,0.028693479999999803,-0.00041652000000019784,0.00041652000000019784
0.05593,0.0538797399999999,-0.0020502600000001023,0.0020502600000001023
0.09454,0.08213129999999988,-0.01240870000000012,0.01240870000000012
0.11527,0.11462394000000047,-0.000646059999999532,0.000646059999999532
0.14272,0.13780061999999935,-0.004919380000000667,0.004919380000000667
0.00737,0.0074873199999999735,0.00011731999999997373,0.00011731999999997373
0.00752,0.0075484399999999775,2.8439999999977685e-05,2.8439999999977685e-05
0.0076,0.007785020000000023,0.0001850200000000227,0.0001850200000000227
0.00923,0.009140859999999989,-8.914000000001185e-05,8.914000000001185e-05
0.01172,0.011518360000000059,-0.00020163999999994048,0.00020163999999994048
0.01396,0.013853699999999988,-0.00010630000000001229,0.00010630000000001229
0.01661,0.016694260000000006,8.426000000000614e-05,8.426000000000614e-05
0.02023,0.0204611599999999,0.000231159999999897,0.000231159999999897
0.02549,0.025735579999999817,0.0002455799999998183,0.0002455799999998183
0.03436,0.03775219999999984,0.0033921999999998384,0.0033921999999998384
0.05497,0.05969574000000021,0.004725740000000214,0.004725740000000214
0.1237,0.11109725999999993,-0.01260274000000007,0.01260274000000007
0.14327,0.13785062000000015,-0.005419379999999863,0.005419379999999863
0.00682,0.006891959999999959,7.195999999995949e-05,7.195999999995949e-05
0.00691,0.006955059999999971,4.505999999997092e-05,4.505999999997092e-05
0.00704,0.007229919999999966,0.00018991999999996585,0.00018991999999996585
0.009,0.008874199999999966,-0.00012580000000003352,0.00012580000000003352
0.01108,0.01097184000000001,-0.0001081599999999891,0.0001081599999999891
0.01307,0.013116259999999947,4.6259999999947315e-05,4.6259999999947315e-05
0.01533,0.01564081999999988,0.0003108199999998784,0.0003108199999998784
0.01854,0.019005959999999877,0.0004659599999998765,0.0004659599999998765
0.0228,0.023640020000000022,0.0008400200000000212,0.0008400200000000212
0.02958,0.03295275999999976,0.003372759999999763,0.003372759999999763
0.05022,0.053176459999999835,0.0029564599999998345,0.0029564599999998345
0.12931,0.13206599999999924,0.0027559999999992313,0.0027559999999992313
0.00772,0.007707059999999971,-1.294000000002897e-05,1.294000000002897e-05
0.0077,0.007730299999999946,3.029999999994582e-05,3.029999999994582e-05
0.00824,0.008252399999999943,1.2399999999941971e-05,1.2399999999941971e-05
0.00921,0.009213240000000017,3.2400000000171875e-06,3.2400000000171875e-06
0.01059,0.01060813999999998,1.8139999999979006e-05,1.8139999999979006e-05
0.01235,0.012357159999999956,7.1599999999557434e-06,7.1599999999557434e-06
0.01469,0.014755819999999932,6.581999999993177e-05,6.581999999993177e-05
0.01813,0.018181220000000036,5.122000000003582e-05,5.122000000003582e-05
0.02307,0.023009360000000076,-6.0639999999924366e-05,6.0639999999924366e-05
0.03101,0.0308929400000001,-0.00011705999999989808,0.00011705999999989808
0.04346,0.043796119999999855,0.00033611999999985653,0.00033611999999985653
0.06083,0.060743459999999784,-8.654000000021811e-05,8.654000000021811e-05
0.00674,0.006754140000000025,1.4140000000024446e-05,1.4140000000024446e-05
0.00691,0.006908799999999995,-1.2000000000050165e-06,1.2000000000050165e-06
0.00757,0.007541279999999967,-2.8720000000033268e-05,2.8720000000033268e-05
0.00855,0.008572960000000001,2.2960000000000688e-05,2.2960000000000688e-05
0.00988,0.009886919999999948,6.919999999948495e-06,6.919999999948495e-06
0.01151,0.01149426000000003,-1.5739999999968973e-05,1.5739999999968973e-05
0.01361,0.013655899999999948,4.589999999994772e-05,4.589999999994772e-05
0.01669,0.01676067999999994,7.067999999994107e-05,7.067999999994107e-05
0.02149,0.021488820000000013,-1.1799999999860533e-06,1.1799999999860533e-06
0.02667,0.02755735999999989,0.0008873599999998892,0.0008873599999998892
0.03739,0.038496919999999955,0.0011069199999999557,0.0011069199999999557
0.05408,0.055195739999999875,0.0011157399999998721,0.0011157399999998721
0.08303,0.08169812000000033,-0.0013318799999996744,0.0013318799999996744
0.00609,0.006137479999999971,4.7479999999971295e-05,4.7479999999971295e-05
0.00641,0.006396919999999953,-1.308000000004722e-05,1.308000000004722e-05
0.00711,0.007112019999999968,2.0199999999680543e-06,2.0199999999680543e-06
0.00809,0.008104460000000048,1.4460000000047699e-05,1.4460000000047699e-05
0.00938,0.009391240000000042,1.1240000000042535e-05,1.1240000000042535e-05
0.01089,0.010917479999999952,2.7479999999951293e-05,2.7479999999951293e-05
