feature,importance
alpha,0.6114092162454979
Al6,0.07076485337584656
Al5,0.055834377593998494
Al4,0.04663509106505415
Au6,0.039412073213771825
Al3,0.03255542310762292
Au1,0.030995378233444067
Al1,0.01753772156005724
Au0,0.017275228511604634
Au5,0.016621079933661118
Au2,0.01060662268704922
Au3,0.010482761702432692
Al2,0.009092716135048673
Au4,0.008714517745163101
Re,0.0076256664910730795
Al0,0.006184339308972442
DeltaTE_upper,0.005117466966245829
DeltaTE_lower,0.003135466123455973
