faixa_distancia,faixa_alpha,n,distancia_media,alpha_medio,R2_CD,MAE_CD,RMSE_CD,MAPE_CD_pct
"(-0.001, 0.5]","[0.0, 3.0)",62,0.3388610763765613,0.9838709677419355,0.5214655131768665,0.0005598219143767509,0.0007342234590663529,7.621479690166914
"(-0.001, 0.5]","[3.0, 6.0)",62,0.335935543796181,4.016129032258065,0.8554250517553798,0.0004127112538920295,0.000502870364262018,4.15947123242318
"(-0.001, 0.5]","[6.0, 9.0)",62,0.3388610763765613,7.0,0.579045894775266,0.0015357080902832169,0.0028507229788520285,10.57521844797868
"(-0.001, 0.5]","[9.0, 12.0)",77,0.33518003060192525,10.376623376623376,0.9007741825509179,0.00485320375516043,0.007313507246803383,9.330697735424318
"(0.5, 1.0]","[0.0, 3.0)",52,0.7587109806888093,1.0,0.5032000979368192,0.0018123409348611648,0.002806247462967631,13.281833861839612
"(0.5, 1.0]","[3.0, 6.0)",53,0.7580358779770227,4.018867924528302,0.2597195493766299,0.0019298457859822041,0.003038461273020213,13.212096736779738
"(0.5, 1.0]","[6.0, 9.0)",54,0.7573857790693762,7.0,0.20512894640061885,0.002244792800656071,0.0031516055309643437,13.247435052800645
"(0.5, 1.0]","[9.0, 12.0)",71,0.7577969876401248,10.47887323943662,0.8759241782670467,0.0027359665789150867,0.003760494620970092,8.80566693167518
"(1.0, 1.5]","[0.0, 3.0)",69,1.208464470546134,1.0,0.5395011128212897,0.0010828790801763535,0.0014171827352125763,10.662427907859133
"(1.0, 1.5]","[3.0, 6.0)",72,1.212285860440214,4.0,0.16119202221208673,0.0009460031246600879,0.0011912926517249932,8.921314529074278
"(1.0, 1.5]","[6.0, 9.0)",71,1.2126326585589253,7.014084507042254,0.6642397985399855,0.0016944091356891982,0.0025915804339103296,11.747857904650253
"(1.0, 1.5]","[9.0, 12.0)",82,1.190966200266957,10.378048780487806,0.8646118246504917,0.004739020732408617,0.006627383258685234,12.355199850671358
"(1.5, 2.0]","[0.0, 3.0)",9,1.5504954028551812,1.0,-0.20882519687227052,0.0009164694267180232,0.0009321035316198436,9.65357638391789
"(1.5, 2.0]","[3.0, 6.0)",9,1.5504954028551812,4.0,0.8381171466086893,0.000344200974272357,0.00040674153982035304,3.162812731504691
"(1.5, 2.0]","[6.0, 9.0)",9,1.5504954028551812,7.0,-0.45965681919609414,0.002055140233271652,0.002131477907029989,14.045124845424821
"(1.5, 2.0]","[9.0, 12.0)",12,1.5504954028551812,10.5,0.9589799609900393,0.0015094305921594306,0.0016890350574783244,5.282197165128625
"(2.0, 2.5]","[0.0, 3.0)",9,2.453458479857953,1.0,-2.909131747218858,0.002564872781733672,0.0025788179070967967,20.11571884491576
"(2.0, 2.5]","[3.0, 6.0)",9,2.453458479857953,4.0,-2.480199408488176,0.0020161216559675004,0.002039588444232864,14.411665360721425
"(2.0, 2.5]","[6.0, 9.0)",8,2.453458479857953,7.125,-0.5816222350782003,0.0019365835221856827,0.001979321940857483,11.007032068888691
"(2.0, 2.5]","[9.0, 12.0)",12,2.4534584798579533,10.5,0.7014322640626416,0.004525554740379253,0.005713505015968452,10.917523115473548
"(2.5, 3.0]","[0.0, 3.0)",17,2.523190249948413,1.0588235294117647,0.8263044004082627,0.0014314025599816266,0.0015326521152176367,8.402776941955763
"(2.5, 3.0]","[3.0, 6.0)",16,2.5243888775416448,4.0,0.9002910329465476,0.0005647667293809352,0.0007354624011856985,3.3090978734149
"(2.5, 3.0]","[6.0, 9.0)",18,2.522124803198874,7.0,0.5205552238691518,0.0019069744963281688,0.0021076918243364477,10.698465501618958
"(2.5, 3.0]","[9.0, 12.0)",24,2.522124803198873,10.5,0.12957311250203152,0.004687045178636909,0.0065729678945348055,18.34833364255571
"(3.0, inf]","[0.0, 3.0)",42,4.2285767651803425,0.9761904761904762,-0.6617649417145328,0.004227200147055445,0.0061809727122148226,33.693613487868824
"(3.0, inf]","[3.0, 6.0)",41,4.250021994593581,3.975609756097561,-0.36226747582754815,0.0053428696010897805,0.007011732144282471,29.60602401396292
"(3.0, inf]","[6.0, 9.0)",45,4.266166952575889,7.0,-0.12812591596798306,0.013222352325002351,0.018866756471564713,37.15293222385909
"(3.0, inf]","[9.0, 12.0)",52,4.388498061237675,10.5,0.653577130768666,0.010427613799549066,0.01618872730259352,22.659846924583846
