faixa_distancia,n,distancia_media,alpha_medio,R2_CL,MAE_CL,RMSE_CL,MAPE_CL_pct,R2_CD,MAE_CD,RMSE_CD,MAPE_CD_pct,R2_CM,MAE_CM,RMSE_CM,MAPE_CM_pct,R2_CL_CD,MAE_CL_CD,RMSE_CL_CD,MAPE_CL_CD_pct
"(-0.001, 0.5]",263,0.33709368647302307,5.866920152091255,0.9943460102205653,0.015640151219313586,0.02292975889389854,2.050765234737745,0.9652391720966123,0.002012196377101053,0.00421453266792015,8.002076907235502,0.9535857154021212,0.003120234089565,0.004230116283841484,13.614952592406071,0.8929644400783354,3.540701170502915,6.702704408115465,7.307768913783627
"(0.5, 1.0]",230,0.7579621335686759,6.030434782608696,0.9717366368070607,0.038792922900966975,0.055015682957787526,5.859315840032154,0.9168511580197555,0.0022260695374271143,0.00325656889536032,11.875914490718083,0.8167752985390233,0.009979798676772017,0.013802947815774342,31.01193898066599,0.7529675031090292,7.059630332218684,10.214270962417245,17.19530511481949
"(1.0, 1.5]",294,1.2055264544182067,5.802721088435374,0.9626657102887787,0.05168500614045631,0.06470572262477385,14.001518747513536,0.9366324965675729,0.0022167810550990964,0.0038329215519108716,10.970294118098122,0.8729993084842296,0.011499720052744699,0.01385590427613834,49.809279681973294,0.8833799236818869,5.3843061760943085,7.603297833000739,17.9297131064217
"(1.5, 2.0]",39,1.5504954028551816,6.0,0.8890702701393058,0.08004006298016281,0.09342273771856957,6.855399304718953,0.9783446117797051,0.0012296272516479857,0.0014713604099517745,7.824102349465898,0.7358760347939816,0.011064228475399505,0.012237911633552027,11.20274482712682,0.9491196044675271,3.704949350275781,4.6373939566996905,5.778407288369858
"(2.0, 2.5]",38,2.4534584798579537,6.0,0.7603981941651745,0.1274684418577897,0.13124775023036084,9.662320770010957,0.8984001695016165,0.0029217967105617643,0.003700509932686876,13.942447152303334,0.75650033914775,0.011583142204661117,0.011871432338783858,6.434270647650252,0.30120044553227654,15.376788752915463,17.204933175479393,19.522974050253392
"(2.5, 3.0]",75,2.52284930698856,6.133333333333334,0.8792286640819387,0.1182550497970581,0.1394478729254891,11.842662550644135,0.6853064772400129,0.0024024631521463394,0.0039419862932291655,11.049668805844862,0.7223858330379425,0.028593198615948355,0.03368678090281479,136.17152333257366,0.6526114864804469,8.60826397853949,12.315435156819202,15.699217735069256
"(3.0, inf]",180,4.289058544256586,5.916666666666667,0.8915016462068923,0.11711965378880498,0.15139197949716693,29.455941217247663,0.5404603989664435,0.00852134351123704,0.013594560297865857,30.439848562305492,0.888808147894533,0.016989918774222346,0.0224223758560988,88.69153545360874,0.2580047826066637,16.243165808370748,19.63536752969401,69.1210666299079
