percentil,distance_value
50.0,1.0468928354176175
60.0,1.1876631940117337
70.0,1.488761486881687
75.0,2.453458479857953
80.0,2.5040122084567007
85.0,3.349322359237544
90.0,3.4131197672740785
95.0,3.4710147462742817
97.5,7.678644009865547
99.0,7.678644009865547
