perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower,distance_to_train,d1,d3,d5,d10,d20,dmean3,dmean5,dmean10,dmean20,nearest_train_geom_index,nearest_train_profile,CL_pred,CD_pred,CM_pred,erro_CL_abs,erro_CL_pct,erro_CD_abs,erro_CD_pct,erro_CM_abs,erro_CM_pct,CL_CD_real,CL_CD_pred,erro_CL_CD_abs,erro_CL_CD_pct,faixa_distancia,faixa_alpha
ag04,200000,0.1,0.0,0.1777,0.00755,0.00248,-0.0378,0.9749,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.20479127764701843,0.008305964060127735,-0.04418579488992691,0.027091277647018436,15.245513588642902,0.0007559640601277349,10.012769008314368,0.00638579488992691,16.893637274938914,23.5364238410596,24.65593110739622,1.119507266336619,4.756488385391938,"(-0.001, 0.5]","[0.0, 3.0)"
ag04,200000,0.1,1.0,0.3198,0.00756,0.00225,-0.042,0.8712,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.3207264542579651,0.008366669528186321,-0.044861018657684326,0.0009264542579651147,0.289698016874645,0.0008066695281863214,10.67023185431642,0.0028610186576843236,6.811949184962674,42.3015873015873,38.33382604362173,3.96776125796557,9.379698283370768,"(-0.001, 0.5]","[0.0, 3.0)"
ag04,200000,0.1,2.0,0.4182,0.00815,0.0023,-0.0368,0.7246,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.41988271474838257,0.008657373487949371,-0.042048949748277664,0.0016827147483825522,0.4023708150125663,0.0005073734879493721,6.225441569930946,0.005248949748277665,14.263450402928438,51.312883435582826,48.50001161817013,2.8128718174126988,5.481804235273432,"(-0.001, 0.5]","[0.0, 3.0)"
ag04,200000,0.1,3.0,0.5207,0.0092,0.00273,-0.0337,0.5634,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.5258520841598511,0.009538298472762108,-0.03854668140411377,0.0051520841598510225,0.9894534587768431,0.000338298472762108,3.677157312631609,0.004846681404113769,14.381843929120974,56.59782608695653,55.13059647498894,1.4672296119675892,2.5923780353566004,"(-0.001, 0.5]","[3.0, 6.0)"
ag04,200000,0.1,4.0,0.6244,0.01065,0.0036,-0.0317,0.3953,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.6294181942939758,0.010664137080311775,-0.03629301115870476,0.005018194293975875,0.8036826223535996,1.4137080311775463e-05,0.13274253813873674,0.004593011158704759,14.48899419149766,58.629107981220656,59.02195269563941,0.39284471441875723,0.6700506419858687,"(-0.001, 0.5]","[3.0, 6.0)"
ag04,200000,0.1,5.0,0.7281,0.01246,0.00501,-0.0303,0.2517,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.7303627133369446,0.012520033866167068,-0.03432053327560425,0.0022627133369446106,0.3107695834287338,6.003386616706789e-05,0.481812730072776,0.0040205332756042475,13.269086718165834,58.43499197431781,58.335522183418874,0.0994697908989366,0.17022299060578905,"(-0.001, 0.5]","[3.0, 6.0)"
ag04,200000,0.1,6.0,0.8298,0.01491,0.00717,-0.029,0.1275,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.8343206644058228,0.015528569929301739,-0.03273947909474373,0.004520664405822772,0.544789636758589,0.0006185699293017391,4.148691678750765,0.003739479094743727,12.8947554991163,55.65392354124749,53.72810685106913,1.9258166901783582,3.460343076712379,"(-0.001, 0.5]","[6.0, 9.0)"
ag04,200000,0.1,7.0,0.9238,0.01941,0.01154,-0.0265,0.05,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.9212336540222168,0.02107410691678524,-0.02987123839557171,0.0025663459777831577,0.2778032017518032,0.00166410691678524,8.573451400233077,0.0033712383955717094,12.721654322912112,47.59402369912416,43.71400684545577,3.880016853668387,8.152319455477745,"(-0.001, 0.5]","[6.0, 9.0)"
ag04,200000,0.1,8.0,1.0088,0.02757,0.02039,-0.0226,0.0271,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.9908273816108704,0.029615415260195732,-0.025595560669898987,0.017972618389129558,1.7815839005877834,0.0020454152601957314,7.418988974231888,0.0029955606698989883,13.254693229641543,36.5904969169387,33.45647437004136,3.1340225468973344,8.56512704381042,"(-0.001, 0.5]","[6.0, 9.0)"
ag04,200000,0.1,9.0,1.0795,0.03717,0.03133,-0.0183,0.0198,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,1.0327668190002441,0.040126215666532516,-0.021262194961309433,0.04673318099975576,4.329150625266862,0.002956215666532515,7.953230203208271,0.0029621949613094327,16.186857712073405,29.042238364272258,25.737957139617052,3.304281224655206,11.37750191018379,"(-0.001, 0.5]","[9.0, 12.0)"
