variavel,XGBoost,XFOIL,erro_absoluto,erro_percentual
CL,1.3799083232879639,1.0069,0.37300832328796396,37.0452203086666
CD,0.008570398204028606,0.016,0.007429601795971394,46.43501122482122
CM,-0.18267415463924408,-0.1328,0.04987415463924408,37.55583933678018
CL/CD,161.00865915883855,62.93124999999999,98.07740915883856,155.84850000411333
