perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
a18sm,200000,0.1,4.0,0.9321,0.01076,0.00485,-0.1156,0.6617,1.0
a18sm,200000,0.1,5.0,1.0267,0.0121,0.00579,-0.1108,0.5026,1.0
a18sm,200000,0.1,6.0,1.091,0.0172,0.00877,-0.103,0.1081,1.0
a18sm,200000,0.1,7.0,1.1594,0.02282,0.01417,-0.0951,0.043,1.0
a18sm,200000,0.1,8.0,1.2398,0.02961,0.02136,-0.0892,0.0323,1.0
a18sm,200000,0.1,9.0,1.3181,0.03915,0.03171,-0.084,0.0268,1.0
a18sm,200000,0.1,10.0,1.3462,0.05351,0.04775,-0.0723,0.0275,1.0
a18sm,200000,0.1,11.0,1.1501,0.06453,0.06048,-0.0408,0.0313,1.0
a18sm,200000,0.1,12.0,1.0301,0.08798,0.08463,-0.0409,0.0322,1.0
a18sm,200000,0.1,13.0,0.8912,0.12027,0.1173,-0.058,0.0339,1.0
a18sm,250000,0.1,0.0,0.4901,0.00871,0.00399,-0.1223,0.9235,1.0
a18sm,250000,0.1,1.0,0.611,0.00839,0.00344,-0.1225,0.8792,1.0
a18sm,250000,0.1,2.0,0.7223,0.00849,0.00332,-0.1207,0.816,1.0
a18sm,250000,0.1,3.0,0.8275,0.00902,0.00355,-0.1177,0.7221,1.0
a18sm,250000,0.1,4.0,0.9316,0.00991,0.00423,-0.1151,0.6256,1.0
a18sm,250000,0.1,5.0,1.026,0.01149,0.00525,-0.1109,0.4476,1.0
a18sm,250000,0.1,6.0,1.0954,0.01651,0.00826,-0.1043,0.0809,1.0
a18sm,250000,0.1,7.0,1.1662,0.02176,0.01343,-0.0968,0.0352,1.0
a18sm,250000,0.1,8.0,1.2442,0.0274,0.01941,-0.0907,0.027,1.0
a18sm,250000,0.1,9.0,1.2616,0.02656,0.01996,-0.0751,0.0233,1.0
a18sm,250000,0.1,10.0,1.2688,0.04224,0.03712,-0.0612,0.0232,1.0
a18sm,250000,0.1,11.0,1.187,0.05768,0.05357,-0.043,0.0238,1.0
a18sm,250000,0.1,12.0,1.076,0.07971,0.07633,-0.0389,0.0248,1.0
a18sm,300000,0.1,0.0,0.4989,0.00755,0.00318,-0.1229,0.9148,1.0
a18sm,300000,0.1,1.0,0.6121,0.00747,0.00285,-0.1217,0.8633,1.0
a18sm,300000,0.1,2.0,0.7211,0.00776,0.00283,-0.1196,0.7901,1.0
a18sm,300000,0.1,3.0,0.8272,0.00842,0.00316,-0.1173,0.6976,1.0
a18sm,300000,0.1,4.0,0.9312,0.00936,0.00384,-0.1149,0.5946,1.0
a18sm,300000,0.1,5.0,1.0251,0.01118,0.00493,-0.111,0.3918,1.0
a18sm,300000,0.1,6.0,1.0996,0.01592,0.00786,-0.1053,0.0652,1.0
a18sm,300000,0.1,7.0,1.1786,0.02005,0.01206,-0.0992,0.0305,1.0
