perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
ah93k130,250000,0.1,4.0,0.8179,0.01811,0.01276,-0.0749,0.7004,1.0
ah93k130,250000,0.1,5.0,0.9228,0.01571,0.01054,-0.0713,0.6852,1.0
ah93k130,250000,0.1,6.0,1.0274,0.0135,0.00849,-0.0677,0.6518,1.0
ah93k130,250000,0.1,7.0,1.1207,0.01316,0.00807,-0.0635,0.5713,1.0
ah93k130,250000,0.1,8.0,1.168,0.01582,0.01021,-0.0541,0.4276,1.0
ah93k130,250000,0.1,9.0,1.1277,0.02052,0.01417,-0.0319,0.2899,1.0
ah93k130,250000,0.1,10.0,1.0987,0.02701,0.01964,-0.0152,0.1245,1.0
ah93k130,250000,0.1,11.0,1.0954,0.03391,0.02617,-0.0041,0.0548,1.0
ah93k130,250000,0.1,12.0,1.1104,0.0408,0.0332,0.0033,0.0388,1.0
ah93k130,250000,0.1,13.0,1.1365,0.0475,0.04019,0.0092,0.0307,1.0
ah93k130,250000,0.1,14.0,1.1711,0.05436,0.04749,0.0146,0.0248,1.0
ah93k130,250000,0.1,15.0,1.1952,0.06335,0.05693,0.0189,0.0207,1.0
ah93k130,250000,0.1,16.0,1.1707,0.07807,0.07263,0.0207,0.019,1.0
ah93k130,250000,0.1,17.0,1.1127,0.0996,0.09509,0.0166,0.0185,1.0
ah93k130,300000,0.1,0.0,0.4401,0.01805,0.01314,-0.0847,0.756,1.0
ah93k130,300000,0.1,1.0,0.5337,0.01767,0.01262,-0.0819,0.7428,1.0
ah93k130,300000,0.1,2.0,0.6293,0.01698,0.01188,-0.0789,0.7296,1.0
ah93k130,300000,0.1,3.0,0.7269,0.01541,0.01029,-0.0748,0.7218,1.0
ah93k130,300000,0.1,4.0,0.8283,0.01399,0.00894,-0.072,0.7092,1.0
ah93k130,300000,0.1,5.0,0.9311,0.01275,0.0079,-0.0698,0.6847,1.0
ah93k130,300000,0.1,6.0,1.033,0.01151,0.00671,-0.0668,0.6399,1.0
ah93k130,300000,0.1,7.0,1.124,0.01222,0.00722,-0.0635,0.5426,1.0
ah93k130,300000,0.1,8.0,1.1611,0.01575,0.01013,-0.0538,0.388,1.0
ah93k130,300000,0.1,9.0,1.119,0.02048,0.01412,-0.0312,0.2519,1.0
ah93k130,300000,0.1,10.0,1.1011,0.02649,0.01922,-0.0158,0.1013,1.0
ah93k130,300000,0.1,11.0,1.1042,0.03285,0.0253,-0.0051,0.0465,1.0
ah93k130,300000,0.1,12.0,1.1233,0.03928,0.03199,0.0022,0.0338,1.0
ah93k130,300000,0.1,13.0,1.1421,0.0465,0.03945,0.0085,0.0269,1.0
ah93k130,300000,0.1,14.0,1.1717,0.0534,0.0467,0.0126,0.0219,1.0
ah93k130,300000,0.1,15.0,1.1922,0.06209,0.05598,0.0171,0.0184,1.0
ah93k130,300000,0.1,16.0,1.1937,0.07351,0.06798,0.0188,0.0162,1.0
ah93k130,300000,0.1,17.0,1.1614,0.09067,0.08581,0.018,0.015,1.0
ah93k131,200000,0.1,0.0,0.4353,0.02276,0.01692,-0.0875,0.7575,1.0
ah93k131,200000,0.1,1.0,0.5218,0.02302,0.01699,-0.0836,0.7423,1.0
ah93k131,200000,0.1,2.0,0.6101,0.02312,0.01702,-0.0796,0.7267,1.0
ah93k131,200000,0.1,4.0,0.7908,0.02242,0.01646,-0.0715,0.6882,1.0
ah93k131,200000,0.1,5.0,0.8946,0.02033,0.01456,-0.0676,0.6735,1.0
ah93k131,200000,0.1,6.0,1.0003,0.01787,0.01237,-0.0639,0.6502,1.0
ah93k131,200000,0.1,7.0,1.1041,0.0156,0.01033,-0.0598,0.6035,1.0
ah93k131,200000,0.1,8.0,1.1833,0.01591,0.01056,-0.0536,0.5052,1.0
ah93k131,200000,0.1,9.0,1.174,0.01972,0.01371,-0.0358,0.3652,1.0
ah93k131,200000,0.1,10.0,1.1341,0.02583,0.01896,-0.017,0.2183,1.0
ah93k131,200000,0.1,11.0,1.1134,0.03357,0.02589,-0.0048,0.0971,1.0
ah93k131,200000,0.1,12.0,1.1123,0.04176,0.03396,0.0033,0.0494,1.0
ah93k131,200000,0.1,13.0,1.1211,0.05019,0.04257,0.0095,0.0328,1.0
ah93k131,200000,0.1,14.0,1.1486,0.05766,0.05036,0.0147,0.0251,1.0
ah93k131,200000,0.1,15.0,1.18,0.06607,0.05919,0.0191,0.0215,1.0
ah93k131,200000,0.1,16.0,1.1615,0.08162,0.07574,0.0216,0.0207,1.0
ah93k131,200000,0.1,17.0,1.1013,0.10313,0.09816,0.0171,0.0207,1.0
ah93k131,250000,0.1,1.0,0.5257,0.01917,0.01369,-0.0796,0.7326,1.0
ah93k131,250000,0.1,3.0,0.7155,0.01808,0.01254,-0.0731,0.7053,1.0
ah93k131,250000,0.1,4.0,0.8146,0.01681,0.01135,-0.0696,0.6913,1.0
ah93k131,250000,0.1,5.0,0.9168,0.01522,0.00989,-0.0663,0.6748,1.0
ah93k131,250000,0.1,6.0,1.0199,0.01349,0.00832,-0.063,0.6444,1.0
ah93k131,250000,0.1,7.0,1.117,0.01312,0.00809,-0.06,0.5824,1.0
ah93k131,250000,0.1,8.0,1.1879,0.01479,0.00946,-0.0541,0.4617,1.0
ah93k131,250000,0.1,9.0,1.1601,0.01944,0.0134,-0.0342,0.3225,1.0
ah93k131,250000,0.1,10.0,1.1291,0.02551,0.01866,-0.017,0.1803,1.0
ah93k131,250000,0.1,11.0,1.1214,0.03239,0.02492,-0.0058,0.0789,1.0
ah93k131,250000,0.1,12.0,1.1272,0.03991,0.03237,0.0019,0.0389,1.0
ah93k131,250000,0.1,13.0,1.1311,0.04868,0.04135,0.0082,0.0268,1.0
ah93k131,250000,0.1,14.0,1.1496,0.05672,0.04966,0.0131,0.0207,1.0
ah93k131,250000,0.1,15.0,1.1761,0.06493,0.05846,0.0172,0.0182,1.0
ah93k131,250000,0.1,16.0,1.1808,0.07631,0.07041,0.0192,0.0165,1.0
ah93k131,250000,0.1,17.0,1.1419,0.09485,0.08974,0.0179,0.0156,1.0
ah93k131,300000,0.1,0.0,0.4187,0.01598,0.01098,-0.0749,0.7437,1.0
ah93k131,300000,0.1,1.0,0.5176,0.01578,0.01064,-0.0736,0.7312,1.0
ah93k131,300000,0.1,2.0,0.6166,0.01538,0.01017,-0.0716,0.719,1.0
ah93k131,300000,0.1,3.0,0.716,0.01451,0.00929,-0.069,0.7063,1.0
ah93k131,300000,0.1,4.0,0.8174,0.01353,0.00837,-0.0665,0.6914,1.0
ah93k131,300000,0.1,5.0,0.9204,0.01238,0.00731,-0.064,0.6726,1.0
ah93k131,300000,0.1,6.0,1.0232,0.01168,0.00678,-0.0621,0.6325,1.0
ah93k131,300000,0.1,7.0,1.1211,0.01191,0.00703,-0.06,0.5608,1.0
ah93k131,300000,0.1,8.0,1.1855,0.01445,0.00909,-0.0541,0.4222,1.0
ah93k131,300000,0.1,9.0,1.1505,0.01936,0.01332,-0.0333,0.2879,1.0
ah93k131,300000,0.1,10.0,1.1276,0.02522,0.01841,-0.0172,0.1513,1.0
ah93k131,300000,0.1,11.0,1.1302,0.03136,0.02406,-0.0068,0.0658,1.0
ah93k131,300000,0.1,12.0,1.1399,0.03844,0.03114,0.0009,0.0325,1.0
ah93k131,300000,0.1,13.0,1.1491,0.04666,0.03956,0.0065,0.022,1.0
ah93k131,300000,0.1,14.0,1.1618,0.05528,0.04856,0.0111,0.0179,1.0
ah93k131,300000,0.1,15.0,1.1782,0.06396,0.05757,0.016,0.0155,1.0
ah93k131,300000,0.1,16.0,1.1832,0.07526,0.06958,0.0174,0.014,1.0
ah93k131,300000,0.1,17.0,1.1625,0.09107,0.08613,0.016,0.0132,1.0
ah93k132,200000,0.1,1.0,0.5071,0.02582,0.01984,-0.0864,0.7563,1.0
ah93k132,200000,0.1,2.0,0.5956,0.02548,0.01942,-0.0819,0.7404,1.0
ah93k132,200000,0.1,3.0,0.6719,0.02541,0.01938,-0.0761,0.7166,1.0
ah93k132,200000,0.1,4.0,0.7733,0.02385,0.01794,-0.0726,0.7009,1.0
ah93k132,200000,0.1,5.0,0.8801,0.02145,0.01577,-0.0693,0.6853,1.0
ah93k132,200000,0.1,6.0,0.9867,0.01839,0.01306,-0.0655,0.6604,1.0
ah93k132,200000,0.1,7.0,1.093,0.01571,0.01059,-0.0612,0.6046,1.0
ah93k132,200000,0.1,8.0,1.1563,0.01652,0.01109,-0.0524,0.4908,1.0
ah93k132,200000,0.1,9.0,1.1294,0.02018,0.01413,-0.0313,0.3605,1.0
ah93k132,200000,0.1,10.0,1.1036,0.02615,0.01919,-0.0149,0.1993,1.0
ah93k132,200000,0.1,11.0,1.0939,0.03375,0.02606,-0.0042,0.082,1.0
ah93k132,200000,0.1,12.0,1.0995,0.04188,0.03418,0.0032,0.0445,1.0
ah93k132,200000,0.1,13.0,1.1206,0.04953,0.04203,0.0088,0.0315,1.0
ah93k132,200000,0.1,14.0,1.1571,0.05685,0.04984,0.0139,0.0246,1.0
ah93k132,200000,0.1,15.0,1.1729,0.06834,0.06209,0.0183,0.0215,1.0
ah93k132,200000,0.1,16.0,1.1308,0.08613,0.08093,0.0183,0.0209,1.0
ah93k132,200000,0.1,17.0,1.0589,0.11141,0.10711,0.0098,0.0209,1.0
ah93k132,250000,0.1,0.0,0.4482,0.02168,0.01636,-0.0894,0.7682,1.0
ah93k132,250000,0.1,1.0,0.535,0.02146,0.01599,-0.0855,0.7538,1.0
ah93k132,250000,0.1,2.0,0.6198,0.02161,0.01613,-0.0823,0.7329,1.0
ah93k132,250000,0.1,3.0,0.7128,0.02056,0.01512,-0.0782,0.7172,1.0
ah93k132,250000,0.1,4.0,0.811,0.01894,0.01362,-0.0744,0.7026,1.0
ah93k132,250000,0.1,5.0,0.915,0.01643,0.01133,-0.0708,0.6881,1.0
ah93k132,250000,0.1,6.0,1.0188,0.01406,0.00919,-0.0672,0.6542,1.0
ah93k132,250000,0.1,7.0,1.112,0.01334,0.00842,-0.0626,0.5772,1.0
ah93k132,250000,0.1,8.0,1.1562,0.01577,0.01035,-0.0525,0.4463,1.0
ah93k132,250000,0.1,9.0,1.1168,0.01989,0.01382,-0.0299,0.3185,1.0
ah93k132,250000,0.1,10.0,1.0997,0.02574,0.01881,-0.015,0.1646,1.0
ah93k132,250000,0.1,11.0,1.104,0.03245,0.02499,-0.0055,0.0659,1.0
ah93k132,250000,0.1,12.0,1.1128,0.04025,0.03285,0.0017,0.0364,1.0
ah93k132,250000,0.1,13.0,1.1314,0.04803,0.04092,0.0072,0.0264,1.0
ah93k132,250000,0.1,14.0,1.157,0.05583,0.04911,0.012,0.0207,1.0
ah93k132,250000,0.1,15.0,1.1784,0.0651,0.059,0.0156,0.0177,1.0
ah93k132,250000,0.1,16.0,1.1601,0.08018,0.07481,0.0172,0.0158,1.0
ah93k132,250000,0.1,17.0,1.1081,0.10148,0.09704,0.0115,0.0153,1.0
ah93k132,300000,0.1,0.0,0.4483,0.01934,0.01443,-0.0866,0.7592,1.0
ah93k132,300000,0.1,1.0,0.5388,0.01901,0.01398,-0.0836,0.7457,1.0
ah93k132,300000,0.1,2.0,0.6312,0.01839,0.01332,-0.0804,0.7321,1.0
ah93k132,300000,0.1,3.0,0.7265,0.01715,0.01212,-0.0768,0.7185,1.0
ah93k132,300000,0.1,4.0,0.8253,0.01546,0.01054,-0.0734,0.7053,1.0
ah93k132,300000,0.1,5.0,0.9275,0.01334,0.00859,-0.07,0.6886,1.0
ah93k132,300000,0.1,6.0,1.0287,0.01178,0.00713,-0.0667,0.6447,1.0
ah93k132,300000,0.1,7.0,1.1175,0.01227,0.00744,-0.0629,0.5497,1.0
ah93k132,300000,0.1,8.0,1.1486,0.01561,0.01019,-0.0519,0.4099,1.0
ah93k132,300000,0.1,9.0,1.1078,0.01979,0.01373,-0.0291,0.2843,1.0
ah93k132,300000,0.1,10.0,1.0997,0.02533,0.01845,-0.0153,0.1382,1.0
ah93k132,300000,0.1,11.0,1.1134,0.03136,0.02408,-0.0066,0.0549,1.0
ah93k132,300000,0.1,12.0,1.1248,0.03888,0.03166,0.0005,0.0302,1.0
ah93k132,300000,0.1,13.0,1.1393,0.04695,0.04003,0.0059,0.0223,1.0
ah93k132,300000,0.1,14.0,1.1651,0.05468,0.04819,0.0095,0.0178,1.0
ah93k132,300000,0.1,15.0,1.1805,0.06416,0.05821,0.0139,0.0152,1.0
ah93k132,300000,0.1,16.0,1.1787,0.07668,0.0714,0.0144,0.0132,1.0
ah93k132,300000,0.1,17.0,1.1505,0.09414,0.08959,0.0115,0.0124,1.0
as5045,200000,0.1,0.0,0.1999,0.01931,0.01299,-0.0404,0.7518,0.7415
as5045,200000,0.1,1.0,0.3098,0.01918,0.01289,-0.0408,0.7301,0.7529
as5045,200000,0.1,2.0,0.4261,0.0187,0.01238,-0.0423,0.7063,0.763
as5045,200000,0.1,3.0,0.5428,0.01799,0.01173,-0.0434,0.6769,0.7726
as5045,200000,0.1,4.0,0.6591,0.01675,0.01064,-0.0437,0.6435,0.7808
as5045,200000,0.1,5.0,0.7782,0.01521,0.00934,-0.0447,0.5891,0.7897
as5045,200000,0.1,6.0,0.8826,0.01492,0.00868,-0.0429,0.4565,0.7978
as5045,200000,0.1,7.0,0.9696,0.01736,0.01038,-0.0407,0.2939,0.8076
as5045,200000,0.1,8.0,1.0475,0.02022,0.0129,-0.0375,0.1928,0.8179
as5045,200000,0.1,9.0,1.114,0.02363,0.01617,-0.0332,0.1323,0.8294
as5045,200000,0.1,10.0,1.1656,0.02765,0.02036,-0.0276,0.0973,0.8443
as5045,200000,0.1,11.0,1.2151,0.03294,0.02584,-0.0237,0.0771,0.8634
as5045,200000,0.1,12.0,1.2615,0.03853,0.0319,-0.0194,0.0643,0.896
as5045,200000,0.1,13.0,1.2992,0.04519,0.03902,-0.0156,0.0551,1.0
as5045,200000,0.1,14.0,1.3318,0.05428,0.04845,-0.0145,0.0475,1.0
as5045,200000,0.1,15.0,1.312,0.06736,0.06241,-0.0149,0.0432,1.0
as5045,200000,0.1,16.0,1.2877,0.08275,0.07823,-0.0175,0.0393,1.0
as5045,200000,0.1,17.0,1.1968,0.11204,0.10852,-0.0323,0.0385,1.0
as5045,250000,0.1,0.0,0.2122,0.01683,0.01079,-0.0437,0.7317,0.7213
as5045,250000,0.1,1.0,0.3283,0.01657,0.01049,-0.0453,0.7123,0.7323
as5045,250000,0.1,2.0,0.4471,0.01612,0.00998,-0.047,0.6905,0.7421
as5045,250000,0.1,3.0,0.5623,0.01541,0.00938,-0.0475,0.6635,0.7497
as5045,250000,0.1,4.0,0.6822,0.01438,0.00848,-0.0489,0.6299,0.7585
as5045,250000,0.1,5.0,0.7964,0.01324,0.00751,-0.0488,0.5657,0.7656
as5045,250000,0.1,6.0,0.8981,0.01416,0.00776,-0.0476,0.4072,0.7739
as5045,250000,0.1,7.0,0.985,0.01651,0.00956,-0.045,0.2615,0.7822
as5045,250000,0.1,8.0,1.0694,0.01917,0.0119,-0.0428,0.1707,0.7916
as5045,250000,0.1,9.0,1.1397,0.02229,0.01493,-0.0386,0.1161,0.8017
as5045,250000,0.1,10.0,1.1916,0.02607,0.01887,-0.0327,0.0856,0.8138
as5045,250000,0.1,11.0,1.2361,0.03151,0.0245,-0.0288,0.0682,0.8288
as5045,250000,0.1,12.0,1.2789,0.03757,0.03087,-0.0252,0.0567,0.8489
as5045,250000,0.1,13.0,1.3114,0.04381,0.03772,-0.0214,0.0491,0.8953
as5045,250000,0.1,14.0,1.3298,0.05207,0.04655,-0.0184,0.043,1.0
as5045,250000,0.1,15.0,1.3347,0.06313,0.05803,-0.0181,0.038,1.0
as5045,250000,0.1,16.0,1.3238,0.07667,0.07203,-0.0207,0.034,1.0
as5045,250000,0.1,17.0,1.2792,0.09754,0.09361,-0.0281,0.0316,1.0
as5045,300000,0.1,0.0,0.2224,0.01498,0.00905,-0.0465,0.7182,0.7089
as5045,300000,0.1,1.0,0.3389,0.01473,0.00879,-0.0477,0.7004,0.718
as5045,300000,0.1,2.0,0.4587,0.01431,0.00834,-0.0497,0.6787,0.7272
as5045,300000,0.1,3.0,0.5752,0.0136,0.00768,-0.0503,0.6551,0.734
as5045,300000,0.1,4.0,0.6938,0.01276,0.00702,-0.0516,0.6189,0.7423
as5045,300000,0.1,5.0,0.8073,0.01207,0.00638,-0.0515,0.5393,0.749
as5045,300000,0.1,6.0,0.9052,0.01362,0.00717,-0.05,0.3692,0.7567
as5045,300000,0.1,7.0,0.9958,0.01586,0.00891,-0.0481,0.238,0.7644
as5045,300000,0.1,8.0,1.0833,0.0183,0.01109,-0.046,0.1557,0.7732
as5045,300000,0.1,9.0,1.158,0.02117,0.01387,-0.0422,0.1047,0.782
as5045,300000,0.1,10.0,1.2114,0.02481,0.01762,-0.0361,0.0772,0.7929
as5045,300000,0.1,11.0,1.2596,0.02979,0.02292,-0.0324,0.0618,0.8063
as5045,300000,0.1,12.0,1.2992,0.03596,0.02946,-0.0293,0.0519,0.8224
as5045,300000,0.1,13.0,1.329,0.04301,0.03698,-0.0259,0.0447,0.8479
as5045,300000,0.1,14.0,1.3389,0.05062,0.0451,-0.0208,0.0391,1.0
as5045,300000,0.1,15.0,1.3492,0.06096,0.05588,-0.0215,0.0344,1.0
as5045,300000,0.1,16.0,1.3388,0.0749,0.07034,-0.0234,0.0309,1.0
as5045,300000,0.1,17.0,1.3231,0.09136,0.0872,-0.0294,0.0277,1.0
as5046,200000,0.1,0.0,0.209,0.01938,0.01301,-0.0401,0.7507,0.7433
as5046,200000,0.1,1.0,0.3208,0.01907,0.01263,-0.0413,0.7293,0.7553
as5046,200000,0.1,2.0,0.4346,0.01858,0.01214,-0.0424,0.7032,0.7655
as5046,200000,0.1,3.0,0.5479,0.01768,0.01128,-0.0426,0.672,0.7738
as5046,200000,0.1,4.0,0.666,0.0166,0.01031,-0.0439,0.6376,0.7832
as5046,200000,0.1,5.0,0.7774,0.01525,0.00915,-0.0433,0.5849,0.7915
as5046,200000,0.1,6.0,0.8797,0.01525,0.00874,-0.0417,0.4581,0.8006
as5046,200000,0.1,7.0,0.9571,0.01728,0.01021,-0.0369,0.3223,0.8099
as5046,200000,0.1,8.0,1.0329,0.01969,0.01234,-0.0328,0.2378,0.8209
as5046,200000,0.1,9.0,1.1001,0.0224,0.01497,-0.028,0.1859,0.8334
as5046,200000,0.1,10.0,1.1534,0.02558,0.01835,-0.0218,0.1445,0.8501
as5046,200000,0.1,11.0,1.1953,0.03022,0.02314,-0.0168,0.1118,0.8729
as5046,200000,0.1,12.0,1.2192,0.03506,0.02844,-0.0098,0.0901,1.0
as5046,200000,0.1,13.0,1.2645,0.04215,0.03567,-0.0093,0.0736,1.0
as5046,200000,0.1,14.0,1.296,0.05006,0.04388,-0.0076,0.0625,1.0
as5046,200000,0.1,15.0,1.3149,0.05931,0.05345,-0.0061,0.0546,1.0
as5046,200000,0.1,16.0,1.3139,0.07094,0.06559,-0.0065,0.049,1.0
as5046,200000,0.1,17.0,1.2781,0.08874,0.08414,-0.0108,0.0455,1.0
as5046,250000,0.1,0.0,0.2255,0.0168,0.01062,-0.0447,0.7315,0.7244
as5046,250000,0.1,1.0,0.342,0.01651,0.01026,-0.0468,0.7118,0.7357
as5046,250000,0.1,2.0,0.4546,0.01593,0.00971,-0.0468,0.6865,0.7434
as5046,250000,0.1,3.0,0.573,0.01521,0.009,-0.0485,0.6585,0.7522
as5046,250000,0.1,4.0,0.6861,0.01428,0.00825,-0.0484,0.6238,0.7597
as5046,250000,0.1,5.0,0.8001,0.01348,0.00751,-0.0488,0.5589,0.7683
as5046,250000,0.1,6.0,0.8921,0.01431,0.00779,-0.0454,0.4155,0.7758
as5046,250000,0.1,7.0,0.9755,0.01647,0.0094,-0.0421,0.2904,0.7848
as5046,250000,0.1,8.0,1.052,0.0187,0.01142,-0.0377,0.2164,0.7944
as5046,250000,0.1,9.0,1.1216,0.02114,0.01384,-0.0328,0.1691,0.8047
as5046,250000,0.1,10.0,1.1785,0.02413,0.017,-0.027,0.1299,0.8184
as5046,250000,0.1,11.0,1.2225,0.02889,0.02189,-0.0226,0.0989,0.8352
as5046,250000,0.1,12.0,1.2607,0.0346,0.02796,-0.0191,0.0783,0.8609
as5046,250000,0.1,13.0,1.2741,0.04085,0.03457,-0.0123,0.066,1.0
as5046,250000,0.1,14.0,1.3033,0.04879,0.04268,-0.0108,0.0559,1.0
as5046,250000,0.1,15.0,1.3193,0.0581,0.05242,-0.0102,0.0491,1.0
as5046,250000,0.1,16.0,1.321,0.06984,0.06467,-0.0106,0.0439,1.0
as5046,250000,0.1,17.0,1.3156,0.08328,0.07845,-0.0127,0.0397,1.0
as5046,300000,0.1,0.0,0.235,0.01493,0.00892,-0.0474,0.717,0.7111
as5046,300000,0.1,1.0,0.3528,0.01465,0.00854,-0.0493,0.6997,0.721
as5046,300000,0.1,2.0,0.4671,0.01413,0.00808,-0.0498,0.6743,0.7287
as5046,300000,0.1,3.0,0.5861,0.01347,0.00739,-0.0514,0.6495,0.7366
as5046,300000,0.1,4.0,0.6993,0.01275,0.00689,-0.0515,0.6127,0.7436
as5046,300000,0.1,5.0,0.8108,0.01238,0.00644,-0.0515,0.5316,0.7516
as5046,300000,0.1,6.0,0.9005,0.01371,0.00717,-0.0481,0.3835,0.7587
as5046,300000,0.1,7.0,0.9862,0.0158,0.00877,-0.045,0.2672,0.767
as5046,300000,0.1,8.0,1.0667,0.01785,0.01065,-0.0411,0.2008,0.7757
as5046,300000,0.1,9.0,1.1417,0.02009,0.01289,-0.0369,0.1563,0.7853
as5046,300000,0.1,10.0,1.1995,0.02282,0.01578,-0.0306,0.1189,0.797
as5046,300000,0.1,11.0,1.2462,0.0273,0.02038,-0.0261,0.0894,0.8111
as5046,300000,0.1,12.0,1.2847,0.0332,0.0266,-0.0228,0.0708,0.8301
as5046,300000,0.1,13.0,1.3106,0.03997,0.0338,-0.0191,0.0591,0.869
as5046,300000,0.1,14.0,1.3185,0.04749,0.04174,-0.014,0.0512,1.0
as5046,300000,0.1,15.0,1.3297,0.05726,0.0518,-0.013,0.0451,1.0
as5046,300000,0.1,16.0,1.3345,0.06847,0.06324,-0.0132,0.0399,1.0
as5046,300000,0.1,17.0,1.3262,0.08303,0.07837,-0.017,0.0363,1.0
as5048,200000,0.1,0.0,0.2316,0.0207,0.01414,-0.0449,0.7529,0.7482
as5048,200000,0.1,1.0,0.3352,0.0204,0.01377,-0.0449,0.734,0.7591
as5048,200000,0.1,2.0,0.4374,0.0202,0.01362,-0.0445,0.7115,0.7693
as5048,200000,0.1,3.0,0.5522,0.01926,0.01268,-0.0452,0.6854,0.7775
as5048,200000,0.1,4.0,0.6624,0.01836,0.01189,-0.0453,0.6556,0.7867
as5048,200000,0.1,5.0,0.7716,0.01704,0.01077,-0.0446,0.6216,0.7944
as5048,200000,0.1,6.0,0.8741,0.01581,0.0097,-0.0426,0.5643,0.8044
as5048,200000,0.1,7.0,0.9499,0.01605,0.00954,-0.0357,0.4461,0.8144
as5048,200000,0.1,8.0,0.9938,0.01822,0.01122,-0.025,0.333,0.8261
as5048,200000,0.1,9.0,1.0333,0.02123,0.01398,-0.0154,0.2574,0.8414
as5048,200000,0.1,10.0,1.0758,0.0247,0.0175,-0.0083,0.2093,0.8614
as5048,200000,0.1,11.0,1.1069,0.02855,0.02163,-0.0001,0.1733,0.906
as5048,200000,0.1,12.0,1.1429,0.0334,0.02664,0.004,0.1403,1.0
as5048,200000,0.1,13.0,1.1806,0.03972,0.03302,0.0057,0.1121,1.0
as5048,200000,0.1,14.0,1.2088,0.04679,0.0401,0.0082,0.0917,1.0
as5048,200000,0.1,15.0,1.2317,0.05477,0.04839,0.01,0.0774,1.0
as5048,200000,0.1,16.0,1.2481,0.06392,0.05785,0.0111,0.0668,1.0
as5048,200000,0.1,17.0,1.2578,0.07437,0.06862,0.011,0.0588,1.0
as5048,250000,0.1,0.0,0.2483,0.01788,0.01154,-0.0496,0.7338,0.7289
as5048,250000,0.1,1.0,0.359,0.01757,0.01113,-0.0508,0.7168,0.7391
as5048,250000,0.1,2.0,0.4668,0.01731,0.01095,-0.0506,0.6973,0.7471
as5048,250000,0.1,3.0,0.5809,0.01645,0.01006,-0.0515,0.6704,0.7556
as5048,250000,0.1,4.0,0.6909,0.01567,0.00943,-0.0512,0.6445,0.7633
as5048,250000,0.1,5.0,0.7994,0.01472,0.00865,-0.0507,0.6079,0.7714
as5048,250000,0.1,6.0,0.8948,0.01398,0.00796,-0.0472,0.5362,0.7795
as5048,250000,0.1,7.0,0.963,0.01527,0.00864,-0.0396,0.4063,0.7891
as5048,250000,0.1,8.0,1.0042,0.01744,0.01045,-0.0282,0.304,0.7991
as5048,250000,0.1,9.0,1.051,0.02031,0.01317,-0.0198,0.2345,0.8111
as5048,250000,0.1,10.0,1.0972,0.02392,0.01678,-0.0135,0.1914,0.8263
as5048,250000,0.1,11.0,1.1438,0.02809,0.0212,-0.0091,0.1561,0.8475
as5048,250000,0.1,13.0,1.1932,0.03861,0.03219,0.0028,0.102,1.0
as5048,250000,0.1,14.0,1.2195,0.04594,0.03962,0.0048,0.083,1.0
as5048,250000,0.1,15.0,1.2383,0.05423,0.048,0.0069,0.0698,1.0
as5048,250000,0.1,16.0,1.2548,0.06341,0.05742,0.0077,0.0601,1.0
as5048,250000,0.1,17.0,1.2611,0.07476,0.06922,0.0063,0.0531,1.0
as5048,300000,0.1,0.0,0.2584,0.01584,0.00967,-0.0525,0.7195,0.7158
as5048,300000,0.1,1.0,0.3701,0.01557,0.00935,-0.0535,0.7037,0.7244
as5048,300000,0.1,2.0,0.4834,0.01528,0.00907,-0.0542,0.6856,0.7321
as5048,300000,0.1,3.0,0.5958,0.01457,0.00837,-0.0547,0.6604,0.7398
as5048,300000,0.1,4.0,0.7068,0.01387,0.00779,-0.0546,0.635,0.7472
as5048,300000,0.1,5.0,0.8134,0.01319,0.00727,-0.0538,0.5954,0.7548
as5048,300000,0.1,6.0,0.9039,0.013,0.00696,-0.0495,0.5053,0.7622
as5048,300000,0.1,7.0,0.9689,0.0147,0.00807,-0.0416,0.377,0.7711
as5048,300000,0.1,8.0,1.0143,0.01678,0.00985,-0.0308,0.2806,0.78
as5048,300000,0.1,9.0,1.0655,0.01954,0.01246,-0.023,0.2179,0.7907
as5048,300000,0.1,10.0,1.1147,0.02298,0.01592,-0.0169,0.1782,0.8038
as5048,300000,0.1,11.0,1.1631,0.02726,0.02038,-0.0129,0.1449,0.8199
as5048,300000,0.1,12.0,1.2044,0.03219,0.02561,-0.0091,0.1147,0.8476
as5048,300000,0.1,13.0,1.2093,0.0374,0.03116,0.0004,0.0935,1.0
as5048,300000,0.1,14.0,1.2371,0.04463,0.03855,0.0024,0.076,1.0
as5048,300000,0.1,15.0,1.255,0.05319,0.04731,0.004,0.0642,1.0
as5048,300000,0.1,16.0,1.2665,0.06313,0.0575,0.0044,0.0555,1.0
as5048,300000,0.1,17.0,1.2701,0.07467,0.06934,0.0034,0.0489,1.0
as6091,200000,0.1,0.0,0.5522,0.01228,0.00579,-0.1322,0.9535,0.1872
as6091,200000,0.1,1.0,0.6976,0.01147,0.00502,-0.1369,0.9089,0.2399
as6091,200000,0.1,2.0,0.8113,0.01054,0.0041,-0.1341,0.8293,0.2729
as6091,200000,0.1,3.0,0.912,0.01053,0.00398,-0.1292,0.7085,0.3147
as6091,200000,0.1,4.0,1.0062,0.01052,0.00442,-0.1239,0.5354,1.0
as6091,200000,0.1,5.0,1.0971,0.01325,0.00586,-0.1195,0.2746,1.0
as6091,200000,0.1,6.0,1.1817,0.01827,0.00967,-0.1152,0.0804,1.0
as6091,200000,0.1,7.0,1.2705,0.02316,0.01466,-0.1108,0.058,1.0
