perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
2032c,250000,0.1,4.0,1.1343,0.01419,0.00593,-0.1262,0.3521,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,5.0,1.2399,0.01548,0.0072,-0.1254,0.3301,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,6.0,1.342,0.01667,0.00845,-0.1241,0.3033,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,7.0,1.4385,0.0175,0.00933,-0.1221,0.2501,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,8.0,1.4884,0.02386,0.01459,-0.1144,0.0211,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,9.0,1.5288,0.02919,0.02082,-0.1048,0.0168,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,10.0,1.5092,0.03946,0.03183,-0.0947,0.0162,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,11.0,1.475,0.05613,0.04912,-0.0939,0.0165,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,250000,0.1,12.0,1.4443,0.07346,0.06686,-0.0941,0.0168,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,0.0,0.7052,0.01271,0.00469,-0.1298,0.5227,0.0579,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,1.0,0.8171,0.01228,0.00377,-0.1294,0.4584,0.0671,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,2.0,0.9225,0.01102,0.00397,-0.1283,0.4053,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,3.0,1.0304,0.01213,0.00453,-0.1276,0.3667,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,4.0,1.1372,0.0133,0.00543,-0.1268,0.3399,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,5.0,1.243,0.01448,0.0066,-0.126,0.3192,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
2032c,300000,0.1,6.0,1.3456,0.01552,0.00767,-0.1248,0.2907,1.0,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,0.0003949368,0.0003110009,0.0009948175,0.0007273224
