perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
as6095,200000,0.1,6.0,1.4506,0.01536,0.00819,-0.1734,0.3763,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,200000,0.1,7.0,1.5327,0.01828,0.01057,-0.1681,0.2502,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,200000,0.1,8.0,1.6053,0.02219,0.01401,-0.1618,0.1439,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,200000,0.1,9.0,1.6657,0.02712,0.01882,-0.1538,0.0892,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,200000,0.1,10.0,1.7107,0.033,0.02498,-0.1437,0.0679,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,200000,0.1,11.0,1.752,0.03996,0.03238,-0.1341,0.0561,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,200000,0.1,12.0,1.7899,0.04899,0.04204,-0.1259,0.0479,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,0.0,0.8512,0.01098,0.00486,-0.1959,0.8674,0.0496,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,1.0,0.9579,0.01129,0.0052,-0.1923,0.8188,0.2028,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,2.0,1.064,0.01105,0.00473,-0.1893,0.7576,0.2387,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,3.0,1.1678,0.01116,0.00457,-0.186,0.6784,0.2645,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,4.0,1.268,0.01186,0.00502,-0.1825,0.5818,0.2943,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,5.0,1.3643,0.01305,0.00604,-0.1788,0.4675,0.3657,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,6.0,1.4526,0.01453,0.00754,-0.174,0.3444,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,8.0,1.6141,0.0209,0.01293,-0.1636,0.1269,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,9.0,1.6798,0.02527,0.01725,-0.1562,0.0783,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,10.0,1.723,0.03083,0.02301,-0.1457,0.0595,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,11.0,1.7554,0.03776,0.0303,-0.135,0.0494,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,250000,0.1,12.0,1.787,0.04476,0.038,-0.1261,0.0429,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,0.0,0.852,0.00997,0.00401,-0.1947,0.8524,0.0411,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,1.0,0.9593,0.01014,0.00415,-0.1917,0.8015,0.1929,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,2.0,1.0648,0.01017,0.00399,-0.1888,0.7371,0.2271,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,3.0,1.1683,0.01049,0.004,-0.1857,0.6544,0.251,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,4.0,1.2682,0.0113,0.00453,-0.1823,0.5553,0.2775,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,5.0,1.3649,0.01257,0.00559,-0.1789,0.4407,0.3292,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,6.0,1.4549,0.01393,0.00709,-0.1746,0.3189,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,7.0,1.5419,0.01658,0.00921,-0.1703,0.205,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,8.0,1.6215,0.01992,0.01213,-0.165,0.1146,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,9.0,1.6899,0.02406,0.0162,-0.158,0.0708,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,10.0,1.7435,0.02855,0.021,-0.1488,0.0536,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,11.0,1.7713,0.03464,0.02752,-0.137,0.0451,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
as6095,300000,0.1,12.0,1.7924,0.04313,0.03647,-0.1272,0.0389,1.0,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,0.0004066715,0.0007837559,0.0022902431,0.0024775252
clarky,200000,0.1,0.0,0.4446,0.01019,0.00473,-0.0955,0.7931,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,1.0,0.5438,0.01031,0.00443,-0.0923,0.7513,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,2.0,0.6428,0.01058,0.00439,-0.0889,0.7045,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,3.0,0.7407,0.01096,0.00451,-0.0853,0.6483,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,4.0,0.8361,0.01158,0.00486,-0.0813,0.5741,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,5.0,0.9268,0.01276,0.0056,-0.0768,0.4854,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,6.0,1.0162,0.01422,0.0067,-0.0726,0.4136,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,7.0,1.1085,0.01581,0.0082,-0.0693,0.3676,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,8.0,1.197,0.01744,0.00996,-0.0655,0.3248,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,9.0,1.2707,0.01908,0.01178,-0.0594,0.2669,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,10.0,1.317,0.02178,0.01432,-0.0498,0.1789,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,11.0,1.3513,0.02629,0.01874,-0.0408,0.1289,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,200000,0.1,12.0,1.3852,0.03152,0.02413,-0.0342,0.0905,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,0.0,0.4464,0.00893,0.00382,-0.0947,0.7728,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,1.0,0.5452,0.00911,0.00362,-0.0917,0.7294,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,2.0,0.644,0.00942,0.00362,-0.0885,0.6821,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,3.0,0.7416,0.00986,0.0038,-0.085,0.626,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,4.0,0.8359,0.01057,0.00419,-0.081,0.55,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,5.0,0.9252,0.01179,0.00497,-0.0764,0.4567,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,6.0,1.0156,0.0132,0.00607,-0.0725,0.3889,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,7.0,1.1085,0.01469,0.00748,-0.0693,0.3483,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,8.0,1.1965,0.01621,0.00905,-0.0655,0.306,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,9.0,1.2736,0.01772,0.01068,-0.06,0.2449,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,10.0,1.3214,0.02079,0.01344,-0.0508,0.1533,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,11.0,1.364,0.02483,0.01747,-0.0427,0.1097,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,250000,0.1,12.0,1.3987,0.03003,0.02266,-0.0359,0.0606,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,0.0,0.43,0.00817,0.00332,-0.0907,0.7557,0.9917,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,1.0,0.5459,0.00833,0.00312,-0.0914,0.7126,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,2.0,0.6447,0.00866,0.00315,-0.0883,0.6645,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,3.0,0.7417,0.00913,0.00335,-0.0848,0.6071,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,4.0,0.8356,0.00989,0.00379,-0.0809,0.529,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,5.0,0.9244,0.01115,0.00457,-0.0763,0.4319,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,6.0,1.016,0.01253,0.00566,-0.0727,0.3707,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,7.0,1.1098,0.0139,0.00698,-0.0697,0.3336,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,8.0,1.1986,0.01527,0.00839,-0.0659,0.2904,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,9.0,1.279,0.01678,0.00993,-0.061,0.2215,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,10.0,1.3263,0.02009,0.01284,-0.0518,0.1341,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,11.0,1.3739,0.02383,0.01657,-0.0442,0.0944,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarky,300000,0.1,12.0,1.3988,0.02976,0.02224,-0.0364,0.0333,1.0,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.163621125,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarkyh,200000,0.1,0.0,0.4132,0.01104,0.00443,-0.0443,0.622,1.0,0.1709526843,0.2685722309,0.1619483716,0.2853723223,0.1316286997,0.2341663618,0.0914446592,-0.1464957616,-0.0953012588,-0.1009176582,-0.0073271049,-0.1736060927,-0.059464445,-0.1726013269,0.00049979,-0.00049979,0.000475013,0.0003592541,0.0011315689,0.0008253156
clarkyh,200000,0.1,1.0,0.5169,0.01142,0.00459,-0.0433,0.5795,1.0,0.1709526843,0.2685722309,0.1619483716,0.2853723223,0.1316286997,0.2341663618,0.0914446592,-0.1464957616,-0.0953012588,-0.1009176582,-0.0073271049,-0.1736060927,-0.059464445,-0.1726013269,0.00049979,-0.00049979,0.000475013,0.0003592541,0.0011315689,0.0008253156
clarkyh,200000,0.1,2.0,0.6186,0.01182,0.00489,-0.0419,0.5447,1.0,0.1709526843,0.2685722309,0.1619483716,0.2853723223,0.1316286997,0.2341663618,0.0914446592,-0.1464957616,-0.0953012588,-0.1009176582,-0.0073271049,-0.1736060927,-0.059464445,-0.1726013269,0.00049979,-0.00049979,0.000475013,0.0003592541,0.0011315689,0.0008253156
