perfil,condicoes_existentes,condicoes_teoricas,cobertura,cobertura_pct
2032c,38,39,0.9743589743589743,97.43589743589743
a18,26,39,0.6666666666666666,66.66666666666666
a18sm,36,39,0.9230769230769231,92.3076923076923
a63a108c,38,39,0.9743589743589743,97.43589743589743
ag03,38,39,0.9743589743589743,97.43589743589743
ag04,38,39,0.9743589743589743,97.43589743589743
ag08,32,39,0.8205128205128205,82.05128205128204
ag09,29,39,0.7435897435897436,74.35897435897436
ag10,33,39,0.8461538461538461,84.61538461538461
ag11,39,39,1.0,100.0
ag12,37,39,0.9487179487179487,94.87179487179486
ag13,36,39,0.9230769230769231,92.3076923076923
ag14,36,39,0.9230769230769231,92.3076923076923
ag16,33,39,0.8461538461538461,84.61538461538461
ag17,34,39,0.8717948717948718,87.17948717948718
ag18,36,39,0.9230769230769231,92.3076923076923
ag19,36,39,0.9230769230769231,92.3076923076923
ag23,39,39,1.0,100.0
ag24,37,39,0.9487179487179487,94.87179487179486
ag25,39,39,1.0,100.0
ag26,39,39,1.0,100.0
ag27,38,39,0.9743589743589743,97.43589743589743
ag52,39,39,1.0,100.0
ag53,39,39,1.0,100.0
ag54,38,39,0.9743589743589743,97.43589743589743
ah21-7,34,39,0.8717948717948718,87.17948717948718
ah21-9,30,39,0.7692307692307693,76.92307692307693
ah63k127,39,39,1.0,100.0
ah79k132,37,39,0.9487179487179487,94.87179487179486
ah79k135,39,39,1.0,100.0
ah79k143,36,39,0.9230769230769231,92.3076923076923
ah81k144,32,39,0.8205128205128205,82.05128205128204
ah85l120,23,39,0.5897435897435898,58.97435897435898
ah88k130,35,39,0.8974358974358975,89.74358974358975
ah88k136,37,39,0.9487179487179487,94.87179487179486
ah93k130,38,39,0.9743589743589743,97.43589743589743
ah93k131,36,39,0.9230769230769231,92.3076923076923
ah93k132,38,39,0.9743589743589743,97.43589743589743
as5045,39,39,1.0,100.0
as5046,39,39,1.0,100.0
as5048,38,39,0.9743589743589743,97.43589743589743
as6091,38,39,0.9743589743589743,97.43589743589743
as6092,37,39,0.9487179487179487,94.87179487179486
as6093,37,39,0.9487179487179487,94.87179487179486
as6094,39,39,1.0,100.0
as6095,38,39,0.9743589743589743,97.43589743589743
bacnlf,23,39,0.5897435897435898,58.97435897435898
clarky,39,39,1.0,100.0
clarkyh,39,39,1.0,100.0
clarkz,39,39,1.0,100.0
e168,38,39,0.9743589743589743,97.43589743589743
e169,39,39,1.0,100.0
e171,38,39,0.9743589743589743,97.43589743589743
e174,39,39,1.0,100.0
e176,39,39,1.0,100.0
e193,39,39,1.0,100.0
e197,39,39,1.0,100.0
e201,39,39,1.0,100.0
e205,39,39,1.0,100.0
e207,37,39,0.9487179487179487,94.87179487179486
e210,39,39,1.0,100.0
e212,39,39,1.0,100.0
e214,39,39,1.0,100.0
e216,39,39,1.0,100.0
e220,39,39,1.0,100.0
e221,39,39,1.0,100.0
e224,39,39,1.0,100.0
e228,38,39,0.9743589743589743,97.43589743589743
e230,30,39,0.7692307692307693,76.92307692307693
e231,39,39,1.0,100.0
e374,39,39,1.0,100.0
e376,28,39,0.717948717948718,71.7948717948718
e377,26,39,0.6666666666666666,66.66666666666666
e387,39,39,1.0,100.0
e423,38,39,0.9743589743589743,97.43589743589743
e431,39,39,1.0,100.0
fx60100,39,39,1.0,100.0
fx60126,39,39,1.0,100.0
fx61140,38,39,0.9743589743589743,97.43589743589743
fx63110,37,39,0.9487179487179487,94.87179487179486
fx63137,38,39,0.9743589743589743,97.43589743589743
fx63158,37,39,0.9487179487179487,94.87179487179486
fx66s196,35,39,0.8974358974358975,89.74358974358975
fx67k170,26,39,0.6666666666666666,66.66666666666666
fx68h120,39,39,1.0,100.0
fx69h083,28,39,0.717948717948718,71.7948717948718
fx71l150,39,39,1.0,100.0
fx73cl2152,39,39,1.0,100.0
fx74cl5140,22,39,0.5641025641025641,56.41025641025641
fx76mp160,39,39,1.0,100.0
fx77w153,39,39,1.0,100.0
fx78k140,28,39,0.717948717948718,71.7948717948718
goe222,39,39,1.0,100.0
goe223,39,39,1.0,100.0
goe387,38,39,0.9743589743589743,97.43589743589743
goe398,39,39,1.0,100.0
hs1404,21,39,0.5384615384615384,53.84615384615385
hs1430,37,39,0.9487179487179487,94.87179487179486
hs1606,32,39,0.8205128205128205,82.05128205128204
hs1620,39,39,1.0,100.0
hs1708,38,39,0.9743589743589743,97.43589743589743
hs1712,39,39,1.0,100.0
jx-gs-04,39,39,1.0,100.0
jx-gs-06,36,39,0.9230769230769231,92.3076923076923
jx-gs-10,34,39,0.8717948717948718,87.17948717948718
jx-gs-15,36,39,0.9230769230769231,92.3076923076923
kc135winglet,38,39,0.9743589743589743,97.43589743589743
l1003,18,39,0.46153846153846156,46.15384615384615
la5055,26,39,0.6666666666666666,66.66666666666666
lrn1015,34,39,0.8717948717948718,87.17948717948718
mh114,37,39,0.9487179487179487,94.87179487179486
mh20,34,39,0.8717948717948718,87.17948717948718
mh22,26,39,0.6666666666666666,66.66666666666666
mh24,39,39,1.0,100.0
mh26,39,39,1.0,100.0
mh27,34,39,0.8717948717948718,87.17948717948718
mh30,35,39,0.8974358974358975,89.74358974358975
mh32,37,39,0.9487179487179487,94.87179487179486
mh33,35,39,0.8974358974358975,89.74358974358975
mh43,39,39,1.0,100.0
mh44,39,39,1.0,100.0
mh45,39,39,1.0,100.0
mh60,39,39,1.0,100.0
mh61,39,39,1.0,100.0
mh70,39,39,1.0,100.0
mh91,39,39,1.0,100.0
naca0008,31,39,0.7948717948717948,79.48717948717949
naca0010,38,39,0.9743589743589743,97.43589743589743
naca0015,38,39,0.9743589743589743,97.43589743589743
naca0018,37,39,0.9487179487179487,94.87179487179486
naca1408,30,39,0.7692307692307693,76.92307692307693
naca1410,39,39,1.0,100.0
naca1412,39,39,1.0,100.0
naca23012,39,39,1.0,100.0
naca23015,38,39,0.9743589743589743,97.43589743589743
naca2408,36,39,0.9230769230769231,92.3076923076923
naca2410,39,39,1.0,100.0
naca2412,38,39,0.9743589743589743,97.43589743589743
naca2415,39,39,1.0,100.0
naca2421,39,39,1.0,100.0
naca4412,39,39,1.0,100.0
naca4415,38,39,0.9743589743589743,97.43589743589743
naca4421,39,39,1.0,100.0
npl9510,31,39,0.7948717948717948,79.48717948717949
rae2822,29,39,0.7435897435897436,74.35897435897436
raf15,39,39,1.0,100.0
raf19,25,39,0.6410256410256411,64.1025641025641
