perfil,arquivo,formato_original,acao,status,erro
naca0018,naca0018.dat,selig,copiado,OK,
naca1408,naca1408.dat,selig,copiado,OK,
naca1410,naca1410.dat,selig,copiado,OK,
naca1412,naca1412.dat,selig,copiado,OK,
naca23012,naca23012.dat,selig,copiado,OK,
naca23015,naca23015.dat,selig,copiado,OK,
naca2408,naca2408.dat,selig,copiado,OK,
naca2410,naca2410.dat,selig,copiado,OK,
naca2412,naca2412.dat,selig,copiado,OK,
naca2415,naca2415.dat,selig,copiado,OK,
naca2421,naca2421.dat,selig,copiado,OK,
naca4412,naca4412.dat,selig,copiado,OK,
naca4415,naca4415.dat,selig,copiado,OK,
naca4421,naca4421.dat,selig,copiado,OK,
npl9510,npl9510.dat,lednicer,convertido_para_selig,OK,
rae2822,rae2822.dat,lednicer,convertido_para_selig,OK,
raf15,raf15.dat,lednicer,convertido_para_selig,OK,
raf19,raf19.dat,lednicer,convertido_para_selig,OK,
rg14,rg14.dat,lednicer,convertido_para_selig,OK,
rg15,rg15.dat,selig,copiado,OK,
rg8,rg8.dat,lednicer,convertido_para_selig,OK,
s1010,s1010.dat,selig,copiado,OK,
s1012,s1012.dat,selig,copiado,OK,
s1014,s1014.dat,selig,copiado,OK,
s1016,s1016.dat,selig,copiado,OK,
s1020,s1020.dat,selig,copiado,OK,
s102b,s102b.dat,selig,copiado,OK,
s102s,s102s.dat,selig,copiado,OK,
s1046,s1046.dat,selig,copiado,OK,
s1091,s1091.dat,selig,copiado,OK,
s1210,s1210.dat,selig,copiado,OK,
s1221,s1221.dat,selig,copiado,OK,
s1223,s1223.dat,selig,copiado,OK,
s2027,s2027.dat,selig,copiado,OK,
s2048,s2048.dat,selig,copiado,OK,
s2091,s2091.dat,selig,copiado,OK,
s3021,s3021.dat,selig,copiado,OK,
s4061,s4061.dat,selig,copiado,OK,
s4094,s4094.dat,selig,copiado,OK,
s4095,s4095.dat,selig,copiado,OK,
s4096,s4096.dat,selig,copiado,OK,
s4110,s4110.dat,selig,copiado,OK,
s4158,s4158.dat,selig,copiado,OK,
s4180,s4180.dat,selig,copiado,OK,
s8064,s8064.dat,selig,copiado,OK,
s8065,s8065.dat,selig,copiado,OK,
s8066,s8066.dat,selig,copiado,OK,
sa7024,sa7024.dat,selig,copiado,OK,
sa7026,sa7026.dat,selig,copiado,OK,
sa7035,sa7035.dat,selig,copiado,OK,
sa7036,sa7036.dat,selig,copiado,OK,
sa7038,sa7038.dat,selig,copiado,OK,
sd2030,sd2030.dat,selig,copiado,OK,
sd7003,sd7003.dat,selig,copiado,OK,
sd7032,sd7032.dat,selig,copiado,OK,
sd7037,sd7037.dat,selig,copiado,OK,
sd7062,sd7062.dat,selig,copiado,OK,
sd7080,sd7080.dat,selig,copiado,OK,
sd8020,sd8020.dat,selig,copiado,OK,
sd8040,sd8040.dat,selig,copiado,OK,
sg6040,sg6040.dat,selig,copiado,OK,
sg6041,sg6041.dat,selig,copiado,OK,
sg6042,sg6042.dat,selig,copiado,OK,
sg6043,sg6043.dat,selig,copiado,OK,
sg6050,sg6050.dat,selig,copiado,OK,
sg6051,sg6051.dat,selig,copiado,OK,
usa35b,usa35b.dat,lednicer,convertido_para_selig,OK,
usa45,usa45.dat,lednicer,convertido_para_selig,OK,
w1011,w1011.dat,selig,copiado,OK,
w1015,w1015.dat,selig,copiado,OK,
