e377
 1.00000000  0.00000000
 0.99709000  0.00039000
 0.98840000  0.00157000
 0.97407000  0.00363000
 0.95434000  0.00664000
 0.92957000  0.01060000
 0.90015000  0.01545000
 0.86650000  0.02112000
 0.82909000  0.02751000
 0.78841000  0.03449000
 0.74501000  0.04193000
 0.69944000  0.04966000
 0.65229000  0.05751000
 0.60416000  0.06527000
 0.55567000  0.07272000
 0.50741000  0.07959000
 0.45998000  0.08553000
 0.41379000  0.09006000
 0.36901000  0.09292000
 0.32584000  0.09397000
 0.28446000  0.09316000
 0.24503000  0.09054000
 0.20766000  0.08625000
 0.17259000  0.08059000
 0.14014000  0.07381000
 0.11062000  0.06611000
 0.08428000  0.05767000
 0.06134000  0.04871000
 0.04196000  0.03945000
 0.02625000  0.03013000
 0.01428000  0.02102000
 0.00602000  0.01244000
 0.00136000  0.00482000
 0.00010000 -0.00102000
 0.00324000 -0.00406000
 0.01141000 -0.00443000
 0.02442000 -0.00204000
 0.04290000  0.00363000
 0.06755000  0.01263000
 0.09928000  0.02461000
 0.13876000  0.03866000
 0.18637000  0.05342000
 0.24199000  0.06713000
 0.30484000  0.07754000
 0.37233000  0.08211000
 0.44016000  0.08077000
 0.50591000  0.07580000
 0.56901000  0.06879000
 0.62899000  0.06056000
 0.68544000  0.05179000
 0.73800000  0.04292000
 0.78634000  0.03436000
 0.83016000  0.02639000
 0.86923000  0.01926000
 0.90333000  0.01316000
 0.93231000  0.00821000
 0.95607000  0.00456000
 0.97474000  0.00226000
 0.98849000  0.00100000
 0.99707000  0.00028000
 1.00000000  0.00000000
