clarkyh
 1.00000000  0.02100000
 0.95000000  0.02850000
 0.90000000  0.03700000
 0.80000000  0.05600000
 0.70000000  0.07550000
 0.60000000  0.09100000
 0.50000000  0.10500000
 0.40000000  0.11450000
 0.30000000  0.11900000
 0.20000000  0.11300000
 0.15000000  0.10800000
 0.10000000  0.09800000
 0.07500000  0.09000000
 0.05000000  0.08100000
 0.02500000  0.06800000
 0.00000000  0.04100000
 0.02500000  0.01850000
 0.05000000  0.01200000
 0.07500000  0.00700000
 0.10000000  0.00450000
 0.15000000  0.00000000
 0.20000000  0.00000000
 0.30000000  0.00000000
 0.40000000  0.00000000
 0.50000000  0.00000000
 0.60000000  0.00000000
 0.70000000  0.00000000
 0.80000000  0.00400000
 0.90000000  0.01000000
 0.95000000  0.01370000
 1.00000000  0.02000000
