rank_xfoil,candidate_id,origin_seed,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,Re,alpha_pred_opt,CL_pred_opt,CD_pred_opt,CM_pred_opt,CL_CD_pred_opt,distance_soft_penalty,optimization_score,fps_min_distance_to_selected,distance_to_train,max_thickness,xfoil_converged,xfoil_polar_sufficient,alpha_xfoil_opt,CL_xfoil_opt,CD_xfoil_opt,CM_xfoil_opt,CL_CD_xfoil_opt,n_xfoil_points,alpha_pred_at_xfoil_opt,CL_pred_at_xfoil_opt,CD_pred_at_xfoil_opt,CM_pred_at_xfoil_opt,CL_CD_pred_at_xfoil_opt,delta_alpha_opt_deg,erro_CL_CD_max_pct,erro_CL_no_alpha_xfoil_pct,erro_CD_no_alpha_xfoil_pct
1,14,42,0.2870226949230297,0.31087208882081685,0.7314662430579657,-0.0853011522353378,0.876635198425165,0.0747812770950701,0.7845417627967954,-0.22091390873788203,0.01252556688210299,-0.008718743132549915,0.1094424160887699,0.15247993621972458,0.10552519982668027,0.6578148846918302,250000.0,6.0,1.7056612968444824,0.018055392429232597,-0.2098316252231598,94.46824839336807,0.0,1.7056612968444824,4.974839814231002,3.9630544623150397,0.15537798195107025,True,True,6.0,1.8293,0.02481,-0.2759,73.7323659814591,49.0,6.0,1.7056612968444824,0.018055392429232597,-0.2098316252231598,94.46824839336807,0.0,28.123175129254992,6.758798619992211,27.225342889026205
2,3,42,0.2711257584756894,0.32868098225554243,0.3935743361385303,0.28113258932039126,0.16010882638905546,0.13973421065621666,0.9789615444018747,-0.08038772836732405,0.032095808612566556,-0.22858875492813668,0.10132527641620152,0.26610795550867594,0.20150738059888557,0.7213450912114554,250000.0,6.0,1.6923538446426392,0.016746191307902336,-0.21794511377811432,101.0590296937571,0.0,1.6923538446426392,7.339640075441362,4.080254529422547,0.1399705241692519,True,True,6.0,1.7781,0.02776,-0.259,64.05259365994236,49.0,6.0,1.6923538446426392,0.016746191307902336,-0.21794511377811432,101.0590296937571,0.0,57.77507813388994,4.822347188423647,39.67510335770052
3,17,42,0.23782042099253742,0.5617536819257638,0.435099135201996,0.1925796836566235,0.45238438055498575,0.043597734750476805,0.8195620442315719,-0.20824930144930487,-0.09244325344314655,-0.016082058826700947,0.19300192884138218,0.12985837235799189,0.18077708981443655,0.5951374940926897,250000.0,6.0,1.7067590951919556,0.01899113692343235,-0.22525465488433838,89.87134904419854,0.0,1.7067590951919556,4.868256894193172,3.732373581704956,0.17525484700771132,True,True,6.0,1.7769,0.03153,-0.2448,56.35585156993339,44.0,6.0,1.7067590951919556,0.01899113692343235,-0.22525465488433838,89.87134904419854,0.0,59.47119339093816,3.947374911815204,39.76804020478164
4,12,42,0.28693590557597204,0.27508052862786836,0.4493019061407608,0.1292118786820126,0.5612360138984853,0.06893327329245698,0.7171068949486248,-0.13495336175612282,0.27795036115413496,0.01588331648711131,0.08017862531606487,0.18873435285439097,0.2142765881000992,0.5917553876198272,250000.0,6.0,1.7068970203399658,0.01815103366971016,-0.21524456143379211,94.03855732956843,0.0,1.7068970203399658,5.17706909490818,4.194247867259195,0.08409305310171837,True,True,6.0,1.7686,0.00852,-0.2417,207.58215962441315,46.0,6.0,1.7068970203399658,0.01815103366971016,-0.21524456143379211,94.03855732956843,0.0,54.69815060228864,3.4888035542256097,113.04030128767793
5,11,42,0.29155802963497607,0.28654840868478304,0.4376312247280778,0.4251175061015885,0.44532738610273703,0.22038083220352916,0.6117898112358535,-0.10601211676387645,-0.023663766411679513,-0.19472576709866693,0.18309817436191184,0.18182494121736004,0.4207488809260118,0.2981492960686063,250000.0,6.0,1.7115023136138916,0.016985362395644188,-0.22775839269161224,100.7633675247811,0.0,1.7115023136138916,5.1878588412543225,4.148579674209679,0.15515694361886337,True,True,6.0,1.7328,0.02286,-0.2533,75.8005249343832,49.0,6.0,1.7115023136138916,0.016985362395644188,-0.22775839269161224,100.7633675247811,0.0,32.932281949243766,1.2290908579240707,25.69832722815315
6,5,42,0.2751700216192401,0.3077824325571956,0.5046274005292994,0.3866386516781712,0.4285637217513224,0.16612312633257853,0.7172781019264021,-0.32646088794120576,0.07362413721654437,-0.0128305770353307,0.010349498196146424,0.21565919544844092,0.2362335902221791,0.3886499277188096,250000.0,6.0,1.6976616382598877,0.01863664947450161,-0.21854029595851898,91.09264197851677,0.0,1.6976616382598877,6.361694244647906,4.13829385708986,0.15049670276439367,True,True,6.0,1.7215,0.02525,-0.2557,68.17821782178217,49.0,6.0,1.6976616382598877,0.01863664947450161,-0.21854029595851898,91.09264197851677,0.0,33.60959686073475,1.3847436386937169,26.191487229696598
7,7,42,0.3191968111076831,0.30596123604451747,0.3781866196312421,0.1664213091623495,0.346871439192437,0.3820456714631759,0.7357050153427955,-0.18840856595242067,-0.08655233347555455,0.21434243127672412,0.2622739597420378,0.2022205892525596,0.1459631922742911,0.6393719281677931,250000.0,6.0,1.6978439092636108,0.017533086240291595,-0.22801688313484192,96.83656864482369,0.0,1.6978439092636108,5.660886922656771,4.211000406512379,0.12369612178371854,True,True,6.0,1.7072,0.02605,-0.249,65.53550863723609,46.0,6.0,1.6978439092636108,0.017533086240291595,-0.22801688313484192,96.83656864482369,0.0,47.76198530914109,0.5480371799665658,32.69448660156777
8,13,42,0.22761150235490674,0.43059874787966557,0.4687181336933661,0.13782416841504092,0.7549545639767667,-0.03682493695268141,0.6326604949531052,-0.07435375303985492,-0.034548193481274136,-0.19195415595503398,0.014104563949042932,0.3377132527845221,0.14829592650682358,0.49774531942121225,250000.0,6.0,1.6954594850540161,0.018482476472854614,-0.22184248268604279,91.73335010295581,0.0,1.6954594850540161,5.073049928356101,3.7681529295959275,0.1680088781163051,True,True,6.0,1.7065,0.0223,-0.2369,76.52466367713004,49.0,6.0,1.6954594850540161,0.018482476472854614,-0.22184248268604279,91.73335010295581,0.0,19.874228379485192,0.6469683531194722,17.118939583611596
9,8,42,0.2554614993816948,0.31082320086135407,0.14603250565769088,0.010722184571246851,0.7843060778753184,0.04887959193858396,0.8901703003766985,-0.07921125793253331,-0.09506096960717322,0.027737370587102576,0.21049446565175067,0.1411794156145794,0.22864822201287063,0.7422610340166877,250000.0,6.0,1.6987274885177612,0.01767873764038086,-0.22438019514083862,96.08873229939311,0.0,1.6987274885177612,5.581877232481966,4.1484291696982964,0.10018609177374652,True,True,6.0,1.6601,0.03372,-0.2631,49.23190984578885,49.0,6.0,1.6987274885177612,0.01767873764038086,-0.22438019514083862,96.08873229939311,0.0,95.17571550723063,2.3268169699271923,47.571952430661746
10,2,42,0.45070585361922455,0.41898274322231693,0.35689405121647777,0.5165051137702186,-0.023449235128121748,0.5404603653910682,0.5713921066865462,-0.1194881107365913,0.04396067542033087,0.02387863201014294,0.12405021838754943,0.2679821237735887,0.19469728254746926,0.23412009014829438,250000.0,6.0,1.7049298286437988,0.022302715107798576,-0.2159743756055832,76.44494494966835,0.0,1.7049298286437988,9.470687894067854,3.8645878339278292,0.1458575113468175,True,True,6.0,1.612,0.021,-0.1718,76.76190476190476,49.0,6.0,1.7049298286437988,0.022302715107798576,-0.2159743756055832,76.44494494966835,0.0,0.4129129067595847,5.764877707431682,6.203405275231309
11,19,42,0.27075052961268276,0.34180181569296186,0.3154394695070521,0.5485061237336685,0.07992437009833075,0.40940867169633216,0.7936486531606926,-0.006794702919825951,-0.057259833810336516,0.037398599281233375,0.186980815523999,0.13898439196605264,0.26367871739437576,0.3413029189936484,250000.0,6.0,1.7082425355911255,0.021085914224386215,-0.23029731214046478,81.01344420795918,0.0,1.7082425355911255,4.747644261367464,4.078530988308752,0.12017546044381178,True,True,6.0,1.5991,0.01828,-0.2164,87.4781181619256,46.0,6.0,1.7082425355911255,0.021085914224386215,-0.23029731214046478,81.01344420795918,0.0,7.390046893784379,6.825247676263244,15.34964017716747
