airfoil_id,arquivo_original,formato_dat,arquivo_cst,ordem_cst,chord_original,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
ag12,ag12.dat,selig,ag12_cst.dat,6,0.9995248339,0.1217824815,0.1604646282,0.0801857667,0.1529410105,0.0736293062,0.1092124439,0.0944390198,-0.0811807053,-0.0365816766,-0.0420994247,0.0087103293,-0.0022631065,0.0284983406,0.0250873273,0.0004712239,-0.0004712239,0.0001496136,0.0001252347,0.0007044901,0.0007792143
ag13,ag13.dat,selig,ag13_cst.dat,6,0.9995045069,0.1211852816,0.1572055805,0.0756875591,0.1573603914,0.0659260123,0.1164495982,0.0939599728,-0.0779323956,-0.0191055310,-0.0431706310,0.0253528213,-0.0015411719,0.0369819220,0.0269507544,0.0004742350,-0.0004742350,0.0001504878,0.0001485915,0.0007038080,0.0008154538
ag14,ag14.dat,selig,ag14_cst.dat,6,0.9994868482,0.1207707979,0.1541058178,0.0751710785,0.1469335082,0.0726576366,0.1086470566,0.0979540204,-0.0738489684,0.0004454852,-0.0428995852,0.0500213761,-0.0107652272,0.0460939059,0.0301990629,0.0004782454,-0.0004782454,0.0001527780,0.0001721355,0.0007009658,0.0009428512
ag16,ag16.dat,selig,ag16_cst.dat,6,0.9995136679,0.1247648689,0.1757738737,0.0837096780,0.1800433127,0.0751383974,0.1350863908,0.0986766389,-0.0865581253,-0.0664609596,-0.0354087414,-0.0223178086,0.0054285740,0.0169363627,0.0305263880,0.0004647255,-0.0004647255,0.0001546355,0.0001042360,0.0007144961,0.0007787274
ag17,ag17.dat,selig,ag17_cst.dat,6,0.9995048387,0.1248953439,0.1689021828,0.0803930455,0.1733666372,0.0780947625,0.1278251058,0.0995335997,-0.0803202617,-0.0410825922,-0.0385893037,0.0061773097,0.0022753956,0.0301046869,0.0309486147,0.0004697316,-0.0004697316,0.0001484807,0.0001127536,0.0007068111,0.0007839207
ag18,ag18.dat,selig,ag18_cst.dat,6,0.9994980128,0.1250090868,0.1620931038,0.0769750124,0.1667747548,0.0810161312,0.1205481833,0.1004334625,-0.0744504336,-0.0152963640,-0.0422385482,0.0351482655,-0.0011945541,0.0434731405,0.0313135977,0.0004742366,-0.0004742366,0.0001432393,0.0001278997,0.0006974555,0.0007882800
ag19,ag19.dat,selig,ag19_cst.dat,6,0.9994940200,0.1250622191,0.1573913901,0.0744778878,0.1622561167,0.0829934560,0.1154786985,0.1010517600,-0.0701460286,-0.0000579818,-0.0324149641,0.0400977500,0.0078365963,0.0471150615,0.0334551791,0.0004772399,-0.0004772399,0.0001401594,0.0001435831,0.0006892711,0.0007904643
ag23,ag23.dat,selig,ag23_cst.dat,6,0.9993625978,0.1319535265,0.2235944793,0.0952575747,0.2428660846,0.0996812662,0.2001551495,0.1242341422,-0.1013054597,-0.0591031748,-0.0902089660,-0.0059711434,-0.0588689258,0.0025424750,0.0515106926,0.0004945445,-0.0004945445,0.0002032216,0.0002736960,0.0007284453,0.0015082098
ag24,ag24.dat,selig,ag24_cst.dat,6,0.9993532467,0.1294028500,0.2161608787,0.0904260193,0.2342707737,0.0927757481,0.1892541695,0.1215808179,-0.0984692734,-0.0540563988,-0.0809005932,0.0009499349,-0.0459455450,0.0134949208,0.0496270138,0.0004858141,-0.0004858141,0.0001980768,0.0002696265,0.0007115458,0.0015045383
ag25,ag25.dat,selig,ag25_cst.dat,6,0.9995525011,0.1333800951,0.2028021835,0.0943839066,0.2164767379,0.0978336330,0.1734349607,0.1238022081,-0.0829209746,-0.0433243701,-0.0518359798,0.0056529930,-0.0142569811,0.0249443394,0.0543931975,0.0004817156,-0.0004817156,0.0001728614,0.0001227573,0.0007063001,0.0007908674
ag26,ag26.dat,selig,ag26_cst.dat,6,0.9995211743,0.1347293138,0.1886893779,0.0943306992,0.2062325449,0.0936734463,0.1599806577,0.1187716241,-0.0792793447,-0.0200740137,-0.0497421271,0.0336755637,-0.0079038375,0.0423215847,0.0466871531,0.0004997393,-0.0004997393,0.0001625192,0.0001374493,0.0007244686,0.0008272673
ag27,ag27.dat,selig,ag27_cst.dat,6,0.9995415800,0.1310904872,0.1779111436,0.0882634039,0.1984402299,0.0842195227,0.1531841546,0.1111946321,-0.0803363017,0.0046269301,-0.0517129724,0.0685830059,-0.0074491277,0.0596533159,0.0364734952,0.0005177372,-0.0005177372,0.0002113574,0.0002268170,0.0007623757,0.0012697480
ag52,ag52.dat,selig,ag52_cst.dat,6,0.9994625150,0.1290703827,0.1913930965,0.1014768962,0.1994650794,0.1144188184,0.1473301794,0.1530923255,-0.0996352030,-0.0639911119,-0.0730811814,-0.0409422764,-0.0542255493,-0.0257871992,-0.0292716947,0.0001981064,-0.0001981064,0.0001866951,0.0002318664,0.0005393097,0.0015559257
ag53,ag53.dat,selig,ag53_cst.dat,6,0.9994531836,0.1278927159,0.1908218016,0.0971076727,0.1973449894,0.1070456786,0.1425922893,0.1440800961,-0.0970633256,-0.0575805014,-0.0706267387,-0.0328475878,-0.0505087736,-0.0198480531,-0.0240352539,0.0002481356,-0.0002481356,0.0001889318,0.0002359263,0.0005560685,0.0015514986
ag54,ag54.dat,selig,ag54_cst.dat,6,0.9994361602,0.1259027197,0.1891507629,0.0892410163,0.1920594513,0.0928594596,0.1326966327,0.1259397671,-0.0916931598,-0.0447915546,-0.0649596240,-0.0172738770,-0.0418606180,-0.0086470812,-0.0129689321,0.0003471957,-0.0003471957,0.0001877258,0.0002371537,0.0005677066,0.0015382824
ah21-7,ah21-7.dat,selig,ah21-7_cst.dat,6,1.0000000000,0.1546807731,0.1480207270,0.1718438191,0.1731034506,0.1991964619,0.2286463837,0.2906274591,-0.0963316600,-0.0609499095,-0.0703736488,-0.0688181131,-0.0175616659,-0.0873089799,0.0565344620,0.0000000000,0.0000000000,0.0000333019,0.0001029659,0.0000946128,0.0002355202
ah21-9,ah21-9.dat,selig,ah21-9_cst.dat,6,1.0000000000,0.1206153177,0.1154226601,0.1339969428,0.1349831186,0.1553250357,0.1782931473,0.2266215396,-0.0751168052,-0.0475258886,-0.0548773390,-0.0536587421,-0.0136979431,-0.0680778324,0.0440826439,0.0000000000,0.0000000000,0.0000259666,0.0000802901,0.0000737424,0.0001836404
ah63k127,ah63k127.dat,selig,ah63k127_cst.dat,6,0.9989300001,0.1551049912,0.2263076765,0.3132638393,0.1080189211,0.6518782779,-0.0821077278,0.3503409955,-0.0877913191,-0.0482109292,-0.1044886839,-0.0051466560,-0.1444805286,-0.0527928362,0.1009927697,-0.0002252491,-0.0002252491,0.0007148861,0.0002640034,0.0019837660,0.0012858409
ah79k132,ah79k132.dat,selig,ah79k132_cst.dat,6,0.9989300005,0.1563583345,0.2806166749,0.3039986747,0.0740347352,0.7136592117,-0.1316125356,0.3364392604,-0.1132908439,-0.0344911976,-0.1035178568,-0.0680255082,-0.0497223509,-0.2177770546,0.0863083925,-0.0000775991,-0.0000775991,0.0006151935,0.0002325013,0.0015880472,0.0008768832
ah79k135,ah79k135.dat,selig,ah79k135_cst.dat,6,0.9989300005,0.1531840264,0.2633385579,0.2926906544,0.0710307933,0.6721534625,-0.1100706123,0.3090700855,-0.1085499499,-0.0715221321,-0.1168972099,-0.0850409535,-0.0859404751,-0.2065926764,0.0585660213,-0.0000825723,-0.0000825723,0.0005647011,0.0002590697,0.0013556443,0.0015084336
ah79k143,ah79k143.dat,selig,ah79k143_cst.dat,6,0.9989300021,0.1631382148,0.1982418818,0.4444868595,-0.1541513707,0.9369072667,-0.2690467208,0.3748571364,-0.1259714133,-0.0802438812,-0.1076669023,-0.1603318719,-0.0079464080,-0.3711342886,0.1170281088,-0.0001902384,-0.0001902384,0.0008355918,0.0003866154,0.0021713155,0.0017003435
ah81k144,ah81k144.dat,selig,ah81k144_cst.dat,6,0.9989301071,0.1612374901,0.2907174224,0.2916822777,0.2154350562,0.6299068292,0.0026853112,0.2917707151,-0.1210465950,-0.0519634705,-0.1431976010,0.0183229104,-0.1663013885,-0.0768408444,0.0359188813,-0.0000648216,-0.0000648216,0.0004073166,0.0004040897,0.0009748091,0.0014119682
ah85l120,ah85l120.dat,selig,ah85l120_cst.dat,6,0.9989300000,0.1144320069,0.1278908125,0.1984974051,0.0662774639,0.3097512216,0.1525869522,0.0891848556,-0.1144320069,-0.1278908125,-0.1984974051,-0.0662774639,-0.3097512216,-0.1525869522,-0.0891848556,0.0000000000,0.0000000000,0.0003854905,0.0003854905,0.0008959670,0.0008959670
ah88k130,ah88k130.dat,selig,ah88k130_cst.dat,6,0.9989300385,0.1468391142,0.2448177862,0.2740560049,0.1912801397,0.5130313606,0.1991751910,0.2925599271,-0.0845993251,-0.0304443939,-0.1299348023,0.0096430031,-0.1386758884,-0.0953265051,0.1640620498,-0.0002050708,-0.0002050708,0.0004347869,0.0003049266,0.0009791380,0.0010511661
ah88k136,ah88k136.dat,selig,ah88k136_cst.dat,6,0.9989667877,0.1633256128,0.1988217946,0.4747356032,-0.2684172175,1.0653918059,-0.3026026300,0.2718006782,-0.1142179011,-0.0653034408,-0.0648897348,-0.1881145380,0.0239416385,-0.2944114267,-0.1302989091,-0.0000398357,-0.0000398357,0.0010924831,0.0002602129,0.0037005694,0.0007619431
ah93k130,ah93k130.dat,selig,ah93k130_cst.dat,6,0.9996800251,0.1686053400,0.2190409539,0.3785959917,-0.0040588671,0.6911339100,0.0610494939,0.0570856708,-0.1142208898,-0.0180078373,-0.1445032088,0.0091891268,-0.1709360104,-0.0508944175,-0.2458453991,0.0003601152,-0.0003601152,0.0007465282,0.0002834924,0.0017109969,0.0010163307
ah93k131,ah93k131.dat,selig,ah93k131_cst.dat,6,0.9997175473,0.1683351035,0.2398603131,0.3367574970,0.0661611568,0.6327814348,0.0576462422,0.0514616399,-0.1130360238,-0.0194850741,-0.1416069030,0.0060619579,-0.1678552752,-0.0526766911,-0.2447698428,0.0003450975,-0.0003450975,0.0006820461,0.0002683938,0.0023313604,0.0009284334
ah93k132,ah93k132.dat,selig,ah93k132_cst.dat,6,0.9993685298,0.1629270336,0.2252818828,0.3749356229,-0.0187346811,0.7115205853,0.0607674684,0.0437249903,-0.1077856400,-0.0496155286,-0.1148669253,-0.0466250277,-0.1117452960,-0.1293243087,-0.1796144722,0.0004252683,-0.0004252683,0.0009027111,0.0006531910,0.0020621307,0.0034168741
as5045,as5045.dat,selig,as5045_cst.dat,6,0.9986616820,0.1853140908,0.2492099699,0.1493560364,0.2856187023,0.2965291069,0.0021527538,0.2509108851,-0.1242458691,-0.1793686568,-0.1132936216,-0.2708916643,-0.1568624775,-0.0310549891,0.0385659251,0.0006908135,-0.0018125367,0.0002924189,0.0007101495,0.0007073380,0.0032540836
as5046,as5046.dat,selig,as5046_cst.dat,6,0.9986718459,0.1931611098,0.2716474348,0.1501098021,0.2974201532,0.3206686919,0.0039847773,0.3184308204,-0.1376480165,-0.1856006030,-0.1317435196,-0.2822055294,-0.1782274274,-0.0520347572,-0.0126575677,0.0006746206,-0.0020089431,0.0002487123,0.0010329450,0.0005189712,0.0053063183
as5048,as5048.dat,selig,as5048_cst.dat,6,0.9997700153,0.2164396225,0.2864070836,0.2015832476,0.2896157114,0.4217333310,-0.0160538636,0.4523814900,-0.1332813208,-0.2268594651,-0.1044896840,-0.3602718955,-0.1648349341,-0.1072758492,-0.0972304961,0.0014953439,-0.0014953439,0.0004330005,0.0008381654,0.0022104926,0.0026274739
as6091,as6091.dat,selig,as6091_cst.dat,6,0.9992373707,0.1276182141,0.1719501147,0.1258195409,0.1955210889,0.1307452846,0.1817694062,0.1746783791,-0.0816342850,0.0737663960,0.1749387596,0.1353513557,0.1615895103,0.1705699361,0.1571929678,0.0000000000,-0.0000000000,0.0003651193,0.0006904370,0.0019553776,0.0025404893
as6092,as6092.dat,selig,as6092_cst.dat,6,0.9992158320,0.1328152984,0.1842086938,0.1253195253,0.2114873178,0.1309498186,0.1816564602,0.1723199789,-0.0888390316,-0.0036079583,0.2245885656,0.0481904619,0.2394564163,0.1418222794,0.1645011523,-0.0000000000,0.0000000000,0.0003568060,0.0005588960,0.0019604724,0.0019604724
as6093,as6093.dat,selig,as6093_cst.dat,6,0.9992294650,0.1383611138,0.1872118894,0.1397354157,0.2110853237,0.1356355401,0.1752929103,0.1723008618,-0.0901567995,-0.0931120308,0.2958055997,-0.0532788875,0.3151398264,0.1059447605,0.1729813249,-0.0000000000,0.0000000000,0.0003385672,0.0004774075,0.0019082522,0.0019082522
as6094,as6094.dat,selig,as6094_cst.dat,6,0.9993278139,0.1691255104,0.2188516074,0.1815103117,0.2530368549,0.2036229304,0.2796709981,0.2524920929,-0.0752371799,0.1907797366,0.1433100066,0.2706561711,0.2074605509,0.2680195394,0.2247254596,0.0000000000,-0.0000000000,0.0003835508,0.0008319534,0.0021571937,0.0028139742
as6095,as6095.dat,selig,as6095_cst.dat,6,0.9992588270,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.2713047840,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.2478937160,0.2313941433,0.0000000000,-0.0000000000,0.0004066715,0.0007837559,0.0022902431,0.0024775252
bacnlf,bacnlf.dat,selig,bacnlf_cst.dat,6,0.9994417250,0.0974325961,0.1319351849,0.1095403473,0.1894082480,0.1349033203,0.2549548774,0.2214998600,-0.0862240126,-0.1120793261,-0.0852529219,-0.1837045796,-0.1038020377,-0.0386322131,-0.0124298598,0.0000000000,-0.0023586419,0.0001535577,0.0002222529,0.0007672836,0.0009971180
clarky,clarky.dat,lednicer,clarky_cst.dat,6,0.9991253359,0.1814046165,0.3120493583,0.1403673074,0.3399715518,0.1846096464,0.2710186022,0.2335530082,-0.1583914601,-0.0049798582,-0.1636211250,0.0761034681,-0.1451863645,0.0163419101,-0.0560220097,0.0005998244,-0.0005998244,0.0005099399,0.0006234755,0.0024902421,0.0033868108
clarkyh,clarkyh.dat,lednicer,clarkyh_cst.dat,6,1.0002101029,0.1709526843,0.2685722309,0.1619483716,0.2853723223,0.1316286997,0.2341663618,0.0914446592,-0.1464957616,-0.0953012588,-0.1009176582,-0.0073271049,-0.1736060927,-0.0594644450,-0.1726013269,0.0004997900,-0.0004997900,0.0004750130,0.0003592541,0.0011315689,0.0008253156
clarkz,clarkz.dat,lednicer,clarkz_cst.dat,6,1.0000001800,0.2194996243,0.2871248023,0.2151785275,0.3019928732,0.2263840471,0.2708528771,0.2485063241,-0.1618262752,0.0457499054,-0.1766869351,0.1057842157,-0.1442210529,0.0299651640,-0.0477996346,0.0005999998,-0.0005999998,0.0002850577,0.0002783463,0.0008386009,0.0007101602
e168,e168.dat,selig,e168_cst.dat,6,1.0000000000,0.1479965766,0.2294379191,0.0958880443,0.2004778844,0.0739821169,0.1050621746,0.0873616673,-0.1479965766,-0.2294379191,-0.0958880443,-0.2004778844,-0.0739821169,-0.1050621746,-0.0873616673,0.0000000000,0.0000000000,0.0001770267,0.0001770267,0.0006492819,0.0006492819
e169,e169.dat,selig,e169_cst.dat,6,1.0000000000,0.1644040315,0.2567368538,0.1331868374,0.2115811103,0.0908898913,0.1153539150,0.0903076561,-0.1644040315,-0.2567368538,-0.1331868374,-0.2115811103,-0.0908898913,-0.1153539150,-0.0903076561,0.0000000000,0.0000000000,0.0002070591,0.0002070591,0.0007225684,0.0007225684
e171,e171.dat,selig,e171_cst.dat,6,1.0000000000,0.1226500040,0.1972772879,0.0875888003,0.2757724163,0.0557767955,0.1426261082,0.0902211976,-0.1226500040,-0.1972772879,-0.0875888003,-0.2757724163,-0.0557767955,-0.1426261082,-0.0902211976,0.0000000000,0.0000000000,0.0001699912,0.0001699912,0.0006052395,0.0006052395
e174,e174.dat,selig,e174_cst.dat,6,0.9994002570,0.1372283687,0.2587814061,0.1210094799,0.3673467653,0.0738085119,0.2390766145,0.1320690662,-0.0902877976,0.0022935171,-0.0658659912,0.0452948490,-0.0227595130,0.0298558219,0.0521389428,0.0000000000,0.0000000000,0.0003897061,0.0005091516,0.0017242810,0.0020446616
e176,e176.dat,selig,e176_cst.dat,6,0.9993368350,0.1429687283,0.2301374600,0.1351695353,0.3258703635,0.0795587226,0.2100684978,0.0963429986,-0.0807596124,-0.0248781750,-0.0456969324,0.0016172193,-0.0173093118,0.0046953242,0.0181784490,-0.0000000000,-0.0000000000,0.0003133238,0.0003189929,0.0016314086,0.0016314086
e193,e193.dat,selig,e193_cst.dat,6,0.9993966673,0.1507552003,0.2598576806,0.1456341388,0.3664011172,0.0955866681,0.2507640507,0.1723074021,-0.0980906846,-0.0397231157,-0.0597448064,-0.0116497354,-0.0209895811,-0.0119301997,0.0077992552,0.0000000000,0.0000000000,0.0003809283,0.0004207802,0.0018844577,0.0018844577
e197,e197.dat,selig,e197_cst.dat,6,1.0000000264,0.1560003829,0.2997849325,0.1278662580,0.4452119172,0.0677430861,0.2844524386,0.1562689298,-0.1235963820,-0.1218370652,-0.0982705520,-0.1298493353,-0.0162985554,-0.0922139160,-0.0128020971,0.0000000000,0.0000000000,0.0003015116,0.0000995113,0.0012273897,0.0001882268
e201,e201.dat,selig,e201_cst.dat,6,0.9993036326,0.1644100421,0.2565514058,0.1728244128,0.3545423063,0.1234657921,0.2529934437,0.2003172530,-0.1063408552,-0.0909452210,-0.0734765103,-0.0854685844,0.0014152891,-0.0543577702,0.0283919293,0.0000000000,0.0000000000,0.0003839467,0.0003930801,0.0020552179,0.0020552179
e205,e205.dat,selig,e205_cst.dat,6,0.9999801513,0.1466047134,0.2698443512,0.1366660875,0.3387180971,0.0551095085,0.2344739118,0.1292228919,-0.1047525958,-0.0520340293,-0.0716940108,-0.0352866732,-0.0453036395,-0.0390595225,-0.0540526541,-0.0000000000,-0.0000000000,0.0003566583,0.0001588576,0.0014010338,0.0006172464
e207,e207.dat,selig,e207_cst.dat,6,1.0000000113,0.1577404117,0.2694824694,0.1570585146,0.3329561460,0.0768370398,0.2388534611,0.1543461815,-0.1112878633,-0.1035430573,-0.0776963031,-0.1169333257,-0.0165789647,-0.0850504124,-0.0314042946,0.0000000000,0.0000000000,0.0003028839,0.0000903466,0.0011179289,0.0002373246
e210,e210.dat,selig,e210_cst.dat,6,0.9992874695,0.1804556916,0.3274249106,0.2027469958,0.3864748677,0.1680257053,0.3041098561,0.3434198089,-0.1351930689,-0.0588178423,-0.1299119860,-0.0509900393,0.0117803988,-0.0191857525,0.1293908673,0.0000000000,0.0000000000,0.0005858466,0.0005725400,0.0026893455,0.0026893455
e212,e212.dat,selig,e212_cst.dat,6,0.9993800139,0.1517528989,0.2342140921,0.1513353499,0.2419617832,0.2088979591,0.1960706203,0.3183832374,-0.1166109532,-0.1044610138,-0.0600357077,-0.0778511510,0.0268102328,-0.0370818416,0.1813443640,0.0000000000,0.0000000000,0.0004160362,0.0004498460,0.0020745695,0.0020745695
e214,e214.dat,selig,e214_cst.dat,6,0.9999503698,0.1702499699,0.2741342570,0.1844160694,0.3223858133,0.2152983316,0.2740057122,0.3499433852,-0.0903811713,-0.0600525198,-0.0210634575,-0.1083458629,0.0900592186,-0.0154529620,0.1796251118,-0.0000000000,-0.0000000000,0.0002316362,0.0000634479,0.0007129621,0.0001391233
e216,e216.dat,selig,e216_cst.dat,6,0.9994333794,0.1735288969,0.2835662599,0.2008129292,0.2825918637,0.3191495765,0.2301284477,0.5022478205,-0.1058161056,-0.0356445434,-0.0351475567,0.0095076183,0.0995254452,0.0330932601,0.3445868398,-0.0000000000,-0.0000000000,0.0004669936,0.0005260195,0.0020777660,0.0020777660
e220,e220.dat,selig,e220_cst.dat,6,0.9993400648,0.1472836305,0.2697972361,0.0886740765,0.4037545614,0.0770014549,0.2017876285,0.0424601923,-0.1055193758,-0.0860412975,-0.0845097825,-0.0841294644,-0.0842137302,-0.0852080221,-0.1596098189,-0.0000000000,-0.0000000000,0.0003963825,0.0004099769,0.0020815212,0.0020815212
e221,e221.dat,selig,e221_cst.dat,6,0.9993367291,0.1471098136,0.2159850277,0.1210376534,0.2291286504,0.0802228004,0.1406665060,0.0553042851,-0.0930366578,-0.0800454351,-0.0617193787,-0.0783103782,-0.0576214473,-0.0697476533,-0.1116917172,-0.0000000000,-0.0000000000,0.0004127416,0.0003583830,0.0018978676,0.0018978676
e224,e224.dat,selig,e224_cst.dat,6,0.9993102915,0.1335962490,0.2201768408,0.1054536479,0.2485359279,0.1173084258,0.1971973684,0.1595414128,-0.1152299782,-0.1086754731,-0.0818755408,-0.0940786455,-0.0392986656,-0.0748098257,0.0294384610,-0.0000000000,-0.0000000000,0.0004037381,0.0003774686,0.0020051358,0.0020051358
e228,e228.dat,selig,e228_cst.dat,6,1.0000000220,0.1216444774,0.1873518711,0.0698724667,0.2168263598,0.0405897196,0.1672791047,0.0143241009,-0.1166956123,-0.1608038053,-0.0796871570,-0.1610455068,-0.0835525200,-0.1184298754,-0.1117121359,0.0000000000,0.0000000000,0.0002028742,0.0001242164,0.0008484570,0.0003568950
e230,e230.dat,selig,e230_cst.dat,6,0.9993434121,0.1257616879,0.1464932803,0.0902546425,0.1518182152,0.0383478652,0.1278013018,-0.0522244965,-0.1212916609,-0.1765779008,-0.0961263281,-0.1723047416,-0.1245623531,-0.1283601930,-0.1892287855,-0.0000000000,-0.0000000000,0.0004307490,0.0003795396,0.0019545345,0.0019545345
e231,e231.dat,selig,e231_cst.dat,6,0.9997381211,0.1700694970,0.2475404224,0.1746677801,0.2620497490,0.2664212411,0.2648725081,0.1297475611,-0.0813473192,-0.1120341924,-0.0457689067,-0.1755832248,0.0001749690,-0.2596865572,-0.0239213325,0.0000000000,0.0000000000,0.0002983491,0.0001036070,0.0012524125,0.0002911367
e374,e374.dat,selig,e374_cst.dat,6,0.9993135951,0.1283571811,0.2414864012,0.1073620353,0.3441030511,0.0936852581,0.2088233932,0.1521197847,-0.1075074950,-0.0738132323,-0.1064102134,-0.0471272427,-0.1234545704,-0.0730436853,-0.0856989295,0.0000000000,0.0000000000,0.0003947215,0.0003718900,0.0019350568,0.0019350568
e376,e376.dat,lednicer,e376_cst.dat,6,0.9994811967,0.1545708953,0.3026526040,0.1623398951,0.3584154088,0.0633412922,0.2520061518,0.0995273695,-0.0478647990,0.4465494075,0.0451185493,0.3938402187,0.0365901333,0.2714422443,0.0520072363,-0.0000000000,-0.0000000000,0.0005177333,0.0008028886,0.0018684230,0.0027769005
e377,e377.dat,lednicer,e377_cst.dat,6,0.9994804296,0.1673331476,0.3008560012,0.1817845360,0.3498173116,0.0827914903,0.2516076161,0.1142279153,-0.0682455450,0.2922026774,0.1179109560,0.3999522487,0.0304754570,0.3137969392,0.0460261767,-0.0000000000,-0.0000000000,0.0004916640,0.0006079234,0.0019480674,0.0019480674
e387,e387.dat,selig,e387_cst.dat,6,0.9994035175,0.1390334063,0.2586023180,0.1263400886,0.3641633933,0.0748100678,0.2390228029,0.1338004185,-0.0907791534,-0.0022369682,-0.0652886694,0.0395950724,-0.0246089417,0.0265170494,0.0447043727,-0.0000000000,-0.0000000000,0.0003883035,0.0004818392,0.0017342724,0.0018592577
e423,e423.dat,selig,e423_cst.dat,6,0.9991824972,0.3280783908,0.3789951647,0.4204687538,0.4671504236,0.4235503462,0.3569623999,0.5968701803,-0.1190523748,0.0814864665,0.0779570308,0.1845264286,0.1366343344,0.1971951677,0.2450091923,0.0000000000,0.0000000000,0.0011711091,0.0005165865,0.0064197071,0.0011595338
e431,e431.dat,lednicer,e431_cst.dat,6,0.9994509465,0.2240479938,0.3126102304,0.2674402424,0.3553524690,0.3754561313,0.2677723647,0.3565621310,-0.0900753318,-0.0788861472,-0.0904463587,-0.0517089072,-0.1720827941,-0.0450466007,0.1547738100,-0.0000000000,-0.0000000000,0.0007532367,0.0002994153,0.0035405166,0.0014183268
fx60100,fx60100.dat,lednicer,fx60100_cst.dat,6,0.9989303532,0.1789868720,0.2012061714,0.2105216645,0.1942097381,0.2289905262,0.2141897632,0.2036302065,-0.0858473803,-0.0823106979,-0.0617828718,-0.0400508672,0.0655226230,0.0569198327,0.1594574866,-0.0000946513,-0.0000946513,0.0001925620,0.0002032691,0.0009364512,0.0009476829
fx60126,fx60126.dat,lednicer,fx60126_cst.dat,6,0.9989303532,0.2134459426,0.2380714360,0.2458869571,0.2247620644,0.2500413325,0.2348099174,0.2092859353,-0.1202212681,-0.1192890451,-0.0969667347,-0.0708400989,0.0446392735,0.0362018096,0.1538315176,-0.0000946513,-0.0000946513,0.0002163136,0.0002274212,0.0009364512,0.0011594712
fx61140,fx61140.dat,lednicer,fx61140_cst.dat,6,0.9989301487,0.1704064926,0.2799380092,0.2616441216,0.1902061952,0.3015583698,0.1129891377,0.3620606827,-0.0903691970,-0.1377733593,-0.0802889491,-0.1815892400,-0.1083427953,-0.0180698380,0.2633692790,-0.0002199434,-0.0002199434,0.0003418237,0.0003358059,0.0007800265,0.0007661114
fx62k131,fx62k131.dat,lednicer,fx62k131_cst.dat,6,0.9989302131,0.1631490366,0.2559008540,0.2794388191,0.1905799034,0.4908395294,0.1568259118,0.4068070094,-0.0739822523,-0.0705080839,-0.0841318470,-0.0733140053,-0.0740414852,-0.0783459003,0.3850396248,-0.0002399071,-0.0002399071,0.0003233797,0.0003534953,0.0008938055,0.0010064274
fx63110,fx63110.dat,lednicer,fx63110_cst.dat,6,1.0000000000,0.2218217470,0.2046735465,0.3164281462,0.1426198725,0.3959333602,0.1209600197,0.3512448250,-0.0992476453,-0.0271676304,-0.1000221134,0.0269319989,0.0099788052,0.0920327747,0.2535704484,0.0000000000,0.0000000000,0.0002173492,0.0002980410,0.0006884273,0.0005967553
fx63137,fx63137.dat,lednicer,fx63137_cst.dat,6,0.9989309326,0.2727736289,0.2684679780,0.3972453705,0.1833389486,0.5310009340,0.1397623401,0.4947471106,-0.1206289453,-0.0225078917,-0.1033959410,-0.0147127121,0.1179207793,0.0621463721,0.3876224949,-0.0003045943,-0.0003045943,0.0003970109,0.0003756660,0.0016725175,0.0016725175
fx63158,fx63158.dat,lednicer,fx63158_cst.dat,6,0.9989458010,0.2359329837,0.2720784648,0.3748929839,0.2323573566,0.3673776280,0.1503672514,0.4345072189,-0.0844729997,-0.1308760968,-0.0631642483,-0.1770585200,-0.1230769191,0.0287124206,0.2849796012,-0.0002846097,-0.0002846097,0.0005240628,0.0005869241,0.0015522810,0.0016336272
fx66s196,fx66s196.dat,lednicer,fx66s196_cst.dat,6,0.9989303183,0.1935394532,0.3838186173,0.2113883629,0.6301326651,0.1515820125,0.3589962094,0.2279794236,-0.1332921199,-0.1777753924,-0.0668355498,-0.3896440938,0.0857817639,-0.1414840237,0.0995619143,0.0000404704,0.0000404704,0.0003469705,0.0003685681,0.0012174841,0.0012361678
fx67k170,fx67k170.dat,lednicer,fx67k170_cst.dat,6,0.9989305106,0.1972121922,0.3402597793,0.3175179849,0.3288983922,0.6238068162,0.1313415488,0.2582878111,-0.0971639304,-0.0616190496,-0.1618754766,0.0192685208,-0.2225652553,-0.0404941527,0.0588994474,-0.0000795441,-0.0000795441,0.0002794637,0.0002813176,0.0010917079,0.0010917079
fx68h120,fx68h120.dat,selig,fx68h120_cst.dat,6,0.9989300072,0.1586002327,0.4250186827,-0.1049132638,0.5125191797,-0.0141781083,0.3755050547,-0.0201132744,-0.1213294681,-0.1531908781,0.0147013155,-0.1910330915,-0.0011349258,-0.1163387204,-0.1246711416,0.0000601286,0.0000601286,0.0007697174,0.0002733806,0.0020731888,0.0006338616
