airfoil_id,arquivo_original,formato_dat,arquivo_cst,ordem_cst,chord_original,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
s1210,s1210.dat,selig,s1210_cst.dat,6,0.9989791880,0.2530411771,0.3190092975,0.3466755218,0.2306570834,0.4496346770,0.1227328685,0.6369136545,-0.1083029788,-0.0275606387,-0.0317915805,0.1506274029,0.1674660699,0.1286459896,0.5391593481,-0.0004903273,-0.0004903273,0.0008363608,0.0009488198,0.0020754471,0.0034040646
s1221,s1221.dat,selig,s1221_cst.dat,6,1.0005427963,0.2415097814,0.3159631790,0.3181498029,0.0654957588,0.4289417167,0.0024707301,0.4891742173,-0.1124595211,-0.0371225481,-0.1242927652,0.1901673500,0.0020487026,0.1119370459,0.3793494477,-0.0003598990,-0.0003597840,0.0004608167,0.0006712496,0.0022342330,0.0022342330
s1223,s1223.dat,selig,s1223_cst.dat,6,0.9986360782,0.2887228062,0.3573008973,0.4944662351,0.0131090206,0.7394727737,-0.0238678780,0.8863980473,-0.1647743471,0.1440983448,-0.1327800258,0.3464983707,0.1148325226,0.2200690300,0.6057377337,-0.0006020825,-0.0006020825,0.0007109137,0.0016105050,0.0019291964,0.0058588972
s2027,s2027.dat,selig,s2027_cst.dat,6,0.9999867117,0.1781687137,0.3531359111,0.1436622385,0.3975477531,0.1199883495,0.3004977026,0.0994170763,-0.1254869229,-0.1319072441,-0.1038390757,-0.1500626683,-0.0499950434,-0.0769890220,0.0144988759,-0.0000000000,-0.0000000000,0.0003189928,0.0001391352,0.0012998022,0.0006282136
s2048,s2048.dat,selig,s2048_cst.dat,6,0.9999950392,0.1261837006,0.2056191152,0.0693850293,0.2596808783,0.1051886977,0.2259600976,0.1700790642,-0.0866369222,-0.0617660296,-0.0617084426,-0.0898091249,-0.0269478529,-0.0246724189,0.0441015297,0.0000000014,-0.0000000014,0.0001557927,0.0000579581,0.0005288299,0.0001120758
s2091,s2091.dat,selig,s2091_cst.dat,6,0.9993652764,0.1985689864,0.2680399293,0.1896764918,0.2771516070,0.1826785228,0.2343301069,0.1119163937,-0.1088982620,-0.0045673211,-0.0729585882,0.0315160761,-0.0148556091,0.0290074806,0.0522653661,0.0000000037,-0.0000000037,0.0006094937,0.0004533789,0.0025482359,0.0023781308
s3021,s3021.dat,selig,s3021_cst.dat,6,0.9993152915,0.1615231285,0.2512346860,0.1195980237,0.3120407277,0.0915169053,0.2183295029,0.1395749997,-0.0835348534,-0.0520565100,-0.0394588283,-0.0441299843,-0.0096450105,-0.0428292734,-0.0138389292,0.0000000038,-0.0000000038,0.0003354604,0.0003493001,0.0017550004,0.0017550004
s4061,s4061.dat,selig,s4061_cst.dat,6,0.9994353364,0.1586367951,0.2733969068,0.1282251764,0.3458925819,0.1315553222,0.2690970903,0.0979491738,-0.1085144842,-0.0207585530,-0.0579832490,0.0275660617,-0.0139406713,0.0284057956,0.0512252056,-0.0000000041,0.0000000041,0.0004232938,0.0005858296,0.0020110446,0.0024022004
s4094,s4094.dat,selig,s4094_cst.dat,6,0.9999808465,0.1657607131,0.2552021813,0.0815613193,0.2960429711,0.0428553231,0.1842680784,0.0875885733,-0.1070680132,-0.0448526949,-0.0751756264,-0.0142727460,-0.0397176016,-0.0214978881,-0.0006343332,0.0123979671,-0.0123979671,0.0003095421,0.0001292207,0.0012682148,0.0005297400
s4095,s4095.dat,selig,s4095_cst.dat,6,0.9999921468,0.1646084604,0.2477654984,0.0754752009,0.2822119019,0.0325699987,0.1824760016,0.0731759337,-0.1060949295,-0.0331426697,-0.0642743718,-0.0117750788,-0.0247226129,-0.0242201113,0.0178672432,0.0193921563,-0.0193921563,0.0003101131,0.0001618734,0.0012766383,0.0006393139
