Re,esperado,existente,ausente,cobertura_pct,ausencia_pct
200000,2587,2437,150,94.20177812137611,5.798221878623889
250000,2587,2424,163,93.69926555856203,6.300734441437959
300000,2587,2429,158,93.89253962118283,6.107460378817163
