perfil,esperado,existente,ausente,cobertura_pct,ausencia_pct
l1003,39,18,21,46.15384615384615,53.84615384615385
hs1404,39,21,18,53.84615384615385,46.15384615384615
fx74cl5140,39,22,17,56.41025641025641,43.58974358974359
ah85l120,39,23,16,58.97435897435898,41.02564102564102
bacnlf,39,23,16,58.97435897435898,41.02564102564102
raf19,39,25,14,64.1025641025641,35.8974358974359
a18,39,26,13,66.66666666666666,33.33333333333333
e377,39,26,13,66.66666666666666,33.33333333333333
fx67k170,39,26,13,66.66666666666666,33.33333333333333
la5055,39,26,13,66.66666666666666,33.33333333333333
mh22,39,26,13,66.66666666666666,33.33333333333333
s1091,39,26,13,66.66666666666666,33.33333333333333
e376,39,28,11,71.7948717948718,28.205128205128204
fx69h083,39,28,11,71.7948717948718,28.205128205128204
fx78k140,39,28,11,71.7948717948718,28.205128205128204
ag09,39,29,10,74.35897435897436,25.64102564102564
rae2822,39,29,10,74.35897435897436,25.64102564102564
ah21-9,39,30,9,76.92307692307693,23.076923076923077
e230,39,30,9,76.92307692307693,23.076923076923077
naca1408,39,30,9,76.92307692307693,23.076923076923077
naca0008,39,31,8,79.48717948717949,20.51282051282051
npl9510,39,31,8,79.48717948717949,20.51282051282051
ag08,39,32,7,82.05128205128204,17.94871794871795
ah81k144,39,32,7,82.05128205128204,17.94871794871795
hs1606,39,32,7,82.05128205128204,17.94871794871795
ag10,39,33,6,84.61538461538461,15.384615384615385
ag16,39,33,6,84.61538461538461,15.384615384615385
ag17,39,34,5,87.17948717948718,12.82051282051282
ah21-7,39,34,5,87.17948717948718,12.82051282051282
jx-gs-10,39,34,5,87.17948717948718,12.82051282051282
lrn1015,39,34,5,87.17948717948718,12.82051282051282
mh20,39,34,5,87.17948717948718,12.82051282051282
mh27,39,34,5,87.17948717948718,12.82051282051282
s1010,39,34,5,87.17948717948718,12.82051282051282
s8066,39,34,5,87.17948717948718,12.82051282051282
ah88k130,39,35,4,89.74358974358975,10.256410256410255
fx66s196,39,35,4,89.74358974358975,10.256410256410255
mh30,39,35,4,89.74358974358975,10.256410256410255
mh33,39,35,4,89.74358974358975,10.256410256410255
a18sm,39,36,3,92.3076923076923,7.6923076923076925
ag13,39,36,3,92.3076923076923,7.6923076923076925
ag14,39,36,3,92.3076923076923,7.6923076923076925
ag18,39,36,3,92.3076923076923,7.6923076923076925
ag19,39,36,3,92.3076923076923,7.6923076923076925
ah79k143,39,36,3,92.3076923076923,7.6923076923076925
ah93k131,39,36,3,92.3076923076923,7.6923076923076925
jx-gs-06,39,36,3,92.3076923076923,7.6923076923076925
jx-gs-15,39,36,3,92.3076923076923,7.6923076923076925
naca2408,39,36,3,92.3076923076923,7.6923076923076925
rg8,39,36,3,92.3076923076923,7.6923076923076925
s1014,39,36,3,92.3076923076923,7.6923076923076925
s1016,39,36,3,92.3076923076923,7.6923076923076925
s1046,39,36,3,92.3076923076923,7.6923076923076925
ag12,39,37,2,94.87179487179486,5.128205128205128
ag24,39,37,2,94.87179487179486,5.128205128205128
ah79k132,39,37,2,94.87179487179486,5.128205128205128
ah88k136,39,37,2,94.87179487179486,5.128205128205128
as6092,39,37,2,94.87179487179486,5.128205128205128
as6093,39,37,2,94.87179487179486,5.128205128205128
e207,39,37,2,94.87179487179486,5.128205128205128
fx63110,39,37,2,94.87179487179486,5.128205128205128
fx63158,39,37,2,94.87179487179486,5.128205128205128
hs1430,39,37,2,94.87179487179486,5.128205128205128
mh114,39,37,2,94.87179487179486,5.128205128205128
mh32,39,37,2,94.87179487179486,5.128205128205128
naca0018,39,37,2,94.87179487179486,5.128205128205128
sa7024,39,37,2,94.87179487179486,5.128205128205128
2032c,39,38,1,97.43589743589743,2.564102564102564
a63a108c,39,38,1,97.43589743589743,2.564102564102564
ag03,39,38,1,97.43589743589743,2.564102564102564
ag04,39,38,1,97.43589743589743,2.564102564102564
ag27,39,38,1,97.43589743589743,2.564102564102564
ag54,39,38,1,97.43589743589743,2.564102564102564
ah93k130,39,38,1,97.43589743589743,2.564102564102564
ah93k132,39,38,1,97.43589743589743,2.564102564102564
as5048,39,38,1,97.43589743589743,2.564102564102564
as6091,39,38,1,97.43589743589743,2.564102564102564
as6095,39,38,1,97.43589743589743,2.564102564102564
e168,39,38,1,97.43589743589743,2.564102564102564
e171,39,38,1,97.43589743589743,2.564102564102564
e228,39,38,1,97.43589743589743,2.564102564102564
e423,39,38,1,97.43589743589743,2.564102564102564
fx61140,39,38,1,97.43589743589743,2.564102564102564
fx63137,39,38,1,97.43589743589743,2.564102564102564
goe387,39,38,1,97.43589743589743,2.564102564102564
hs1708,39,38,1,97.43589743589743,2.564102564102564
kc135winglet,39,38,1,97.43589743589743,2.564102564102564
naca0010,39,38,1,97.43589743589743,2.564102564102564
naca0015,39,38,1,97.43589743589743,2.564102564102564
naca23015,39,38,1,97.43589743589743,2.564102564102564
naca2412,39,38,1,97.43589743589743,2.564102564102564
naca4415,39,38,1,97.43589743589743,2.564102564102564
s8064,39,38,1,97.43589743589743,2.564102564102564
s8065,39,38,1,97.43589743589743,2.564102564102564
sa7035,39,38,1,97.43589743589743,2.564102564102564
