alpha,esperado,existente,ausente,cobertura_pct,ausencia_pct
0,579,562,17,97.06390328151986,2.936096718480138
1,579,558,21,96.37305699481865,3.6269430051813467
2,579,565,14,97.58203799654576,2.4179620034542317
3,579,562,17,97.06390328151986,2.936096718480138
4,579,566,13,97.75474956822107,2.2452504317789295
5,579,563,16,97.23661485319516,2.763385146804836
6,579,557,22,96.20034542314335,3.7996545768566494
7,579,566,13,97.75474956822107,2.2452504317789295
8,579,564,15,97.40932642487047,2.5906735751295336
9,579,556,23,96.02763385146805,3.9723661485319512
10,579,530,49,91.53713298791018,8.46286701208981
11,579,514,65,88.77374784110536,11.226252158894647
12,579,492,87,84.97409326424871,15.025906735751295
