,count,mean,std,min,25%,50%,75%,max
RMSE_upper,193.0,0.00036248850984455953,0.00024505982215648314,1.68243e-05,0.0002001947,0.0003028839,0.0004603607,0.001535981
RMSE_lower,193.0,0.0003486220772020725,0.0002618807040301591,2.17922e-05,0.0001724743,0.0002733806,0.0004461561,0.001646704
MaxError_upper,193.0,0.0014483646233160621,0.0011532292594753533,4.57496e-05,0.000703808,0.0012174841,0.0019553776,0.0090555526
MaxError_lower,193.0,0.0014830860860103629,0.0012010122273692569,4.10672e-05,0.0006886268,0.001269748,0.0020083213,0.0089720717
