t_max,t_max_pct,x_t_max,camber_max,camber_max_pct,x_camber_max,camber_min,camber_min_pct,x_camber_min,camber_abs_max,camber_abs_max_pct,x_camber_abs_max,espessura_min,superficies_cruzam,perfil,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,CL,CD,CM
0.10747332456514394,10.747332456514394,0.132000736,0.10217498420560386,10.217498420560386,0.359500281,1.8813099947245394e-07,1.8813099947245393e-05,0.999999,0.10217498420560386,10.217498420560386,0.359500281,3.585594965445321e-07,False,raf19,0.2384444545,0.6996523787,-0.1110028143,0.872139934,-0.0585407692,0.5241851173,0.3674099908,-0.1006969826,0.0579394074,0.4401552682,-0.06833708,0.3090097851,0.1799545945,0.008850229,0.0,0.0,,,
0.12548370307203807,12.548370307203808,0.255500489,0.10148525136954592,10.148525136954593,0.43350013299999995,4.2093861267942827e-07,4.209386126794283e-05,0.999999,0.10148525136954592,10.148525136954593,0.43350013299999995,3.518596595224101e-07,False,e423,0.3280783908,0.3789951647,0.4204687538,0.4671504236,0.4235503462,0.3569623999,0.5968701803,-0.1190523748,0.0814864665,0.0779570308,0.1845264286,0.1366343344,0.1971951677,0.2450091923,0.0,0.0,1.7142,0.02028,-0.2298
0.03896952292922353,3.8969522929223532,0.07500085,0.08654197166674303,8.654197166674303,0.36500026999999996,8.012822138312369e-08,8.01282213831237e-06,0.999999,0.08654197166674303,8.654197166674303,0.36500026999999996,6.820092215877773e-08,False,e377,0.1673331476,0.3008560012,0.181784536,0.3498173116,0.0827914903,0.2516076161,0.1142279153,-0.068245545,0.2922026774,0.117910956,0.3999522487,0.030475457,0.3137969392,0.0460261767,-0.0,-0.0,,,
0.12128043553715545,12.128043553715544,0.208000584,0.08597081405720308,8.597081405720308,0.49950000099999997,-0.0006013358342877998,-0.06013358342877998,0.999999,0.08597081405720308,8.597081405720308,0.49950000099999997,2.8065702571699897e-07,False,s1223,0.2887228062,0.3573008973,0.4944662351,0.0131090206,0.7394727737,-0.023867878,0.8863980473,-0.1647743471,0.1440983448,-0.1327800258,0.3464983707,0.1148325226,0.22006903,0.6057377337,-0.0006020825,-0.0006020825,1.8686,0.02405,-0.2705
0.051108813774070956,5.110881377407096,0.095500809,0.07809685564553054,7.809685564553054,0.45750008499999995,2.41795776379158e-07,2.4179577637915798e-05,0.999999,0.07809685564553054,7.809685564553054,0.45750008499999995,2.0803299544311396e-08,False,as6095,0.1808267066,0.2376160222,0.1877145404,0.2637346955,0.2097965891,0.271304784,0.2521974376,-0.0846956825,0.1340668973,0.1778460679,0.2106176591,0.2685458025,0.247893716,0.2313941433,0.0,-0.0,1.4526,0.01453,-0.174
0.041523019547531605,4.1523019547531606,0.077500845,0.07769172380320893,7.769172380320893,0.44800010399999995,2.3860886836973964e-07,2.3860886836973962e-05,0.999999,0.07769172380320893,7.769172380320893,0.44800010399999995,2.7766522726488485e-08,False,as6094,0.1691255104,0.2188516074,0.1815103117,0.2530368549,0.2036229304,0.2796709981,0.2524920929,-0.0752371799,0.1907797366,0.1433100066,0.2706561711,0.2074605509,0.2680195394,0.2247254596,0.0,-0.0,1.4385,0.01488,-0.1723
0.18513698216332125,18.513698216332124,0.274500451,0.07260225583290882,7.2602255832908815,0.522499955,2.9478215580341655e-07,2.9478215580341655e-05,0.999999,0.07260225583290882,7.2602255832908815,0.522499955,0.0004074575362657571,False,goe222,0.2623170049,0.520024936,0.1934609298,0.6434922483,0.2498888168,0.5408649433,0.420992093,-0.1451365191,-0.1240500107,-0.1648844886,0.0924702142,0.0302130906,0.0902290955,0.1685722642,0.0015,-0.0015,1.4681,0.01927,-0.1887
0.12049698089665524,12.049698089665524,0.225500549,0.07211167295619095,7.211167295619095,0.511499977,-0.0004897387762394729,-0.04897387762394728,0.999999,0.07211167295619095,7.211167295619095,0.511499977,9.775363552725746e-08,False,s1210,0.2530411771,0.3190092975,0.3466755218,0.2306570834,0.449634677,0.1227328685,0.6369136545,-0.1083029788,-0.0275606387,-0.0317915805,0.1506274029,0.1674660699,0.1286459896,0.5391593481,-0.0004903273,-0.0004903273,1.7126,0.01819,-0.2397
0.07989169365329443,7.9891693653294436,0.179000642,0.0695997727303745,6.95997727303745,0.36300027399999996,1.3943525888993145e-07,1.3943525888993145e-05,0.999999,0.0695997727303745,6.95997727303745,0.36300027399999996,0.0002096495853531016,False,2032c,0.1581959608,0.5258894021,-0.0520598893,0.5747885601,-0.0011907997,0.3545173484,0.1794280464,-0.0514495151,0.1297256723,0.0203739288,0.2405027382,0.0099169207,0.1834549132,0.0994410562,0.0016,-0.0016,1.342,0.01667,-0.1241
0.13085727680142856,13.085727680142856,0.297000406,0.06632190630182451,6.632190630182451,0.47800004399999996,3.3417097651748247e-07,3.341709765174825e-05,0.999999,0.06632190630182451,6.632190630182451,0.47800004399999996,1.8570711267769898e-07,False,mh114,0.2516403113,0.3534096772,0.2991754096,0.3559468841,0.3915239285,0.3209343544,0.4270253829,-0.1089120985,0.0122631157,-0.0754132046,0.083674496,0.0344810019,0.0834899648,0.2413184878,-0.0,-0.0,1.4483,0.01481,-0.1758
0.15272007577047486,15.272007577047486,0.234500531,0.06603078734035116,6.603078734035115,0.45200009599999996,-0.0004725991237875322,-0.04725991237875322,0.999999,0.06603078734035116,6.603078734035115,0.45200009599999996,2.415475721415463e-07,False,fx73cl2152,0.2953625048,0.3588682312,0.4919316439,0.0930964245,0.5640091992,0.096579407,0.6425804744,-0.1982885548,0.0043286022,-0.1071971855,0.101353779,0.0844840061,0.0975473174,0.4010313264,-0.0004731214,-0.0004731214,1.5806,0.0212,-0.2007
0.1612488261362788,16.124882613627882,0.31450037099999995,0.06034450058109669,6.034450058109669,0.48500002999999997,-0.0004275670849556125,-0.04275670849556125,0.999999,0.06034450058109669,6.034450058109669,0.48500002999999997,2.3820237632864692e-07,False,fx76mp160,0.2628418365,0.3807106623,0.3564606536,0.2571061926,0.6499837416,0.2026105423,0.4317899433,-0.1896640773,-0.0202210616,-0.1651931713,0.1242108502,-0.2071143381,0.1151889335,0.1935865432,-0.0004278802,-0.0004278802,1.2743,0.0148,-0.1414
0.05051114866812495,5.051114866812495,0.145500709,0.06023127113993022,6.023127113993023,0.44600010799999995,-0.00016889677675310273,-0.016889677675310272,0.999999,0.06023127113993022,6.023127113993023,0.44600010799999995,2.0973021357624847e-07,False,s1091,0.1771790186,0.2211989817,0.1516233809,0.2592205651,0.1978492793,0.1724591609,0.3277203293,-0.0761824982,0.1746556751,-0.0916826858,0.3698221102,0.0206453339,0.1321393579,0.1179889944,-0.0001691198,-0.0001691198,1.2381,0.01432,-0.1184
0.16004758628515955,16.004758628515955,0.32900034199999995,0.05941698818911597,5.941698818911597,0.388500223,-3.3355296820625324e-05,-0.0033355296820625326,0.995499009,0.05941698818911597,5.941698818911597,0.388500223,1.0049848332591997e-07,False,la5055,0.2570403779,0.4207349868,0.1027969364,0.9467560714,-0.2848055352,0.422043004,0.0347372954,-0.2547381567,0.1835383534,-0.4378000239,0.4097093484,-0.3841529546,0.1663992378,-0.0657603073,0.0,0.0,,,
0.13754636100669515,13.754636100669515,0.297000406,0.058950226854031555,5.8950226854031555,0.546999906,-0.0003041528128649029,-0.030415281286490292,0.999999,0.058950226854031555,5.8950226854031555,0.546999906,1.0712438509445947e-07,False,fx63137,0.2727736289,0.268467978,0.3972453705,0.1833389486,0.531000934,0.1397623401,0.4947471106,-0.1206289453,-0.0225078917,-0.103395941,-0.0147127121,0.1179207793,0.0621463721,0.3876224949,-0.0003045943,-0.0003045943,1.5056,0.01574,-0.1894
0.18763107001023846,18.763107001023847,0.29550040899999996,0.05799590654516812,5.799590654516812,0.5234999530000001,1.620465124448859e-07,1.620465124448859e-05,0.999999,0.05799590654516812,5.799590654516812,0.5234999530000001,0.00036945647893915417,False,goe223,0.2383080932,0.5251337905,0.1191713174,0.7091278711,0.0820392679,0.5635153474,0.2483409962,-0.1311452286,-0.098753074,-0.2755796019,0.1033842953,-0.1081894429,0.1768161505,0.0757496933,0.001,-0.001,1.3579,0.0181,-0.1545
0.1490210471519696,14.902104715196959,0.28750042499999995,0.05518151365600736,5.518151365600736,0.39500020999999996,9.659218139336363e-08,9.659218139336362e-06,0.999999,0.05518151365600736,5.518151365600736,0.39500020999999996,3.96099137824605e-07,False,goe387,0.2768988923,0.3884271255,0.2677073799,0.4087775512,0.2830127908,0.2959616219,0.2946418897,-0.1685332582,0.0287223004,-0.2059053343,0.1835889964,-0.217961266,0.1138851788,-0.1014587303,0.0,0.0,1.1746,0.0151,-0.0907
0.0405300839520096,4.05300839520096,0.091000818,0.05489695831052194,5.4896958310521935,0.433000134,1.6593565189026608e-07,1.6593565189026607e-05,0.999999,0.05489695831052194,5.4896958310521935,0.433000134,1.7485364841630304e-08,False,as6091,0.1276182141,0.1719501147,0.1258195409,0.1955210889,0.1307452846,0.1817694062,0.1746783791,-0.081634285,0.073766396,0.1749387596,0.1353513557,0.1615895103,0.1705699361,0.1571929678,0.0,-0.0,1.1863,0.01722,-0.1163
0.10064313988510785,10.064313988510785,0.32250035499999996,0.05467146081149565,5.467146081149565,0.5069999860000001,-0.00027649663160922704,-0.027649663160922704,0.999999,0.05467146081149565,5.467146081149565,0.5069999860000001,2.3848525053881374e-07,False,sg6043,0.2000294294,0.2636738551,0.2398608014,0.2714961939,0.3598437707,0.2479676425,0.4377355581,-0.1277234331,0.0823083278,-0.1243490167,0.1241635705,0.0001002731,0.0868283789,0.2001497292,-0.0002768154,-0.0002768163,1.3315,0.01286,-0.1551
0.05046197538639843,5.046197538639843,0.109500781,0.054088813504663866,5.408881350466387,0.45500008999999997,1.6841044137283613e-07,1.6841044137283614e-05,0.999999,0.054088813504663866,5.408881350466387,0.45500008999999997,7.819014780134361e-09,False,as6092,0.1328152984,0.1842086938,0.1253195253,0.2114873178,0.1309498186,0.1816564602,0.1723199789,-0.0888390316,-0.0036079583,0.2245885656,0.0481904619,0.2394564163,0.1418222794,0.1645011523,-0.0,0.0,1.1916,0.0164,-0.1195
0.060445626775275,6.0445626775275,0.123500753,0.05300283130433818,5.300283130433818,0.46750006499999996,1.7264081490269638e-07,1.7264081490269637e-05,0.999999,0.05300283130433818,5.300283130433818,0.46750006499999996,-2.647761006068861e-07,True,as6093,0.1383611138,0.1872118894,0.1397354157,0.2110853237,0.1356355401,0.1752929103,0.1723008618,-0.0901567995,-0.0931120308,0.2958055997,-0.0532788875,0.3151398264,0.1059447605,0.1729813249,-0.0,0.0,1.1865,0.01675,-0.1205
0.1044113107090195,10.44113107090195,0.27700044599999996,0.05183496845838925,5.183496845838925,0.5524998950000001,4.2341536762101845e-07,4.234153676210185e-05,0.999999,0.05183496845838925,5.183496845838925,0.5524998950000001,1.576611381188952e-07,False,e216,0.1735288969,0.2835662599,0.2008129292,0.2825918637,0.3191495765,0.2301284477,0.5022478205,-0.1058161056,-0.0356445434,-0.0351475567,0.0095076183,0.0995254452,0.0330932601,0.3445868398,-0.0,-0.0,1.372,0.01411,-0.1758
0.07939848064058228,7.939848064058228,0.236500527,0.050239363844182885,5.023936384418288,0.45950008099999995,1.9009776705070439e-07,1.900977670507044e-05,0.999999,0.050239363844182885,5.023936384418288,0.45950008099999995,0.0002883490304696746,False,hs1708,0.1718615492,0.2221170768,0.2509111317,0.1347185917,0.4092280092,0.1733666651,0.3034033391,-0.1164817563,0.0124771237,0.0784838359,-0.0094936679,0.086159459,0.0564769958,0.0767932872,0.003242766,-0.003242766,1.2502,0.01469,-0.1272
0.17010415883039082,17.01041588303908,0.42000015999999996,0.05019469096914431,5.019469096914431,0.450500099,-7.93854275849575e-05,-0.00793854275849575,0.999999,0.05019469096914431,5.019469096914431,0.450500099,1.9938809870616964e-07,False,fx67k170,0.1972121922,0.3402597793,0.3175179849,0.3288983922,0.6238068162,0.1313415488,0.2582878111,-0.0971639304,-0.0616190496,-0.1618754766,0.0192685208,-0.2225652553,-0.0404941527,0.0588994474,-7.95441e-05,-7.95441e-05,,,
0.15065958698180515,15.065958698180514,0.338500323,0.05017275456042912,5.017275456042912,0.520499959,2.968850325052237e-07,2.9688503250522368e-05,0.999999,0.05017275456042912,5.017275456042912,0.520499959,2.842707659215064e-07,False,s1020,0.1800410843,0.3788135332,0.1930040878,0.4620070612,0.2818491352,0.3508317369,0.4390211641,-0.1293538323,-0.0687326091,-0.1316578459,-0.036959612,-0.0059456946,-0.0058305602,0.1547506904,0.0,0.0,1.2762,0.01405,-0.1484
0.1206047251500616,12.06047251500616,0.212500575,0.0492081592000084,4.92081592000084,0.47300005399999995,-0.00035940688080545694,-0.035940688080545694,0.999999,0.0492081592000084,4.92081592000084,0.47300005399999995,-5.176486043794153e-09,False,s1221,0.2415097814,0.315963179,0.3181498029,0.0654957588,0.4289417167,0.0024707301,0.4891742173,-0.1124595211,-0.0371225481,-0.1242927652,0.19016735,0.0020487026,0.1119370459,0.3793494477,-0.000359899,-0.000359784,1.3539,0.01807,-0.1628
0.13874119084217687,13.874119084217687,0.28500042999999997,0.048828269377990764,4.882826937799076,0.37150025699999994,1.3582564484131438e-07,1.3582564484131438e-05,0.999999,0.048828269377990764,4.882826937799076,0.37150025699999994,4.117793582663033e-07,False,goe398,0.2993496764,0.2788675409,0.3942906206,0.1554266002,0.4603901924,0.1706357742,0.3417165213,-0.1164020911,-0.0609907135,-0.0431964244,-0.0446620395,-0.0257224687,0.0034654353,-0.0700645105,0.0,0.0,1.1347,0.01498,-0.0812
0.12040792838206373,12.040792838206373,0.329500341,0.048254194953017714,4.825419495301771,0.44800010399999995,2.4942724120239484e-07,2.4942724120239484e-05,0.999999,0.048254194953017714,4.825419495301771,0.44800010399999995,0.00037577695616892125,False,hs1712,0.2247388399,0.3101625975,0.1896228872,0.3611223082,0.2331704861,0.3414566821,0.4416136494,-0.1510210238,0.0089634946,-0.07051612,0.035946488,-0.0345591564,0.0126852181,0.0572419507,0.0089577962,-0.0089577962,1.2746,0.01718,-0.1366
0.1519707757071962,15.19707757071962,0.38600022799999995,0.046814554372671784,4.681455437267179,0.43550012899999996,-0.0001696278295892303,-0.01696278295892303,0.999999,0.046814554372671784,4.681455437267179,0.43550012899999996,3.22409108300081e-07,False,lrn1015,0.2944312369,0.2305612086,0.4469717576,0.0721670016,0.7823999781,-0.0635433411,0.3830079859,-0.1035664053,-0.0181202796,-0.189413094,0.0743827322,-0.2201227704,-0.0103338679,0.0605964627,-0.0001698498,-0.0001698498,1.1568,0.01461,-0.0906
0.15252675788163128,15.252675788163128,0.27050045899999997,0.044182425535497116,4.418242553549712,0.26550046899999996,-0.0004512740350709366,-0.04512740350709366,0.976999046,0.044182425535497116,4.418242553549712,0.26550046899999996,0.0003845478497834623,False,fx77w153,0.2270142934,0.4296741059,0.2739174865,0.309941751,0.0917986091,0.2775354258,0.1057376617,-0.1575319378,0.0134245815,-0.2223409398,0.0891875505,-0.2160583212,0.0033349405,-0.1901303197,0.0009064547,-0.0009064547,1.0022,0.02033,-0.0353
0.14123326760531138,14.123326760531137,0.437000126,0.043865493101218206,4.38654931012182,0.44050011899999997,-0.0002019062151713694,-0.02019062151713694,0.976999046,0.043865493101218206,4.38654931012182,0.44050011899999997,2.6250414056155723e-07,False,fx78k140,0.1435062295,0.3117091443,0.2471051555,0.277121395,0.5602222153,0.0964461881,0.1126197486,-0.0966215795,-0.033888923,-0.1290367025,0.0332799117,-0.2014274494,-0.0113080198,-0.1498854517,1.77278e-05,1.77278e-05,,,
0.1103329338976679,11.03329338976679,0.292000416,0.04376780812071389,4.376780812071389,0.5319999360000001,3.02406310042376e-07,3.02406310042376e-05,0.999999,0.04376780812071389,4.376780812071389,0.5319999360000001,9.767391528941137e-08,False,fx63110,0.221821747,0.2046735465,0.3164281462,0.1426198725,0.3959333602,0.1209600197,0.351244825,-0.0992476453,-0.0271676304,-0.1000221134,0.0269319989,0.0099788052,0.0920327747,0.2535704484,0.0,0.0,1.2844,0.01361,-0.1392
0.06021804834266219,6.021804834266218,0.202000596,0.04361919878291373,4.361919878291373,0.45500008999999997,1.6916463253606982e-07,1.6916463253606982e-05,0.999999,0.04361919878291373,4.361919878291373,0.45500008999999997,0.00021409554800152662,False,hs1606,0.1321653155,0.1832934835,0.2045922613,0.1100120385,0.3366362766,0.1435324659,0.2508195656,-0.0819258223,-0.0108355254,0.1425551424,-0.0714433427,0.1474378945,0.029634639,0.0875108596,0.0023720335,-0.0023720335,1.1299,0.01919,-0.1048
0.15164900355638491,15.164900355638492,0.39950020099999994,0.043137064609093764,4.313706460909376,0.40850018299999996,2.55666976845256e-07,2.55666976845256e-05,0.999999,0.043137064609093764,4.313706460909376,0.40850018299999996,2.0178888629700548e-07,False,e431,0.2240479938,0.3126102304,0.2674402424,0.355352469,0.3754561313,0.2677723647,0.356562131,-0.0900753318,-0.0788861472,-0.0904463587,-0.0517089072,-0.1720827941,-0.0450466007,0.15477381,-0.0,-0.0,1.1132,0.01387,-0.0981
