,n,min,p01,p05,p10,p25,mediana,p75,p90,p95,p99,max,media,desvio_padrao
t_max_pct,193.0,3.8969522929223532,4.144358469988984,5.654750690922972,6.282715971455512,8.41889902665064,10.44113107090195,13.45622275240394,15.268141219270614,17.1707817307827,21.028436375345613,30.093446947235435,11.013847493108802,3.8346380410016923
x_t_max,193.0,0.07500085,0.08992082016,0.1748006504,0.2121005758,0.263000474,0.297000406,0.338500323,0.3991002018,0.4208001583999999,0.44612010775999994,0.459000082,0.29738900625906733,0.07255954133635496
camber_max_pct,193.0,-3.001338084313021e-08,-2.338614880307429e-09,0.0,0.9601794220314563,1.7313632855944272,2.483387666101583,3.8778652319095266,5.3871617064598745,6.614723492494049,8.773743404296702,10.217498420560386,2.894621490508168,1.9390403236886207
x_camber_max,193.0,1e-06,1e-06,1e-06,0.2102005796,0.365500269,0.420500159,0.45950008099999995,0.5339999320000001,0.5711998576,0.8021993955999966,0.999999,0.4008862085906736,0.1557549133254684
camber_abs_max_pct,193.0,0.0,0.0,0.0,0.9601794220314563,1.732693266993027,2.4839281589482356,3.8778652319095266,5.3871617064598745,6.614723492494049,8.773743404296702,10.217498420560386,2.9078492240960907,1.9305016204623084
x_camber_abs_max,193.0,1e-06,1e-06,1e-06,0.19320061360000007,0.365500269,0.420500159,0.45950008099999995,0.5339999320000001,0.5711998576,0.7693594612799997,0.999999,0.3989069379378238,0.15327936568437917
