w1015_CST
 1.00000000  0.00083348
 0.99982577  0.00086099
 0.99930321  0.00094348
 0.99843267  0.00108078
 0.99721476  0.00127259
 0.99565034  0.00151851
 0.99374049  0.00181801
 0.99148655  0.00217045
 0.98889008  0.00257504
 0.98595290  0.00303088
 0.98267704  0.00353694
 0.97906481  0.00409206
 0.97511870  0.00469496
 0.97084148  0.00534424
 0.96623611  0.00603841
 0.96130583  0.00677588
 0.95605405  0.00755499
 0.95048443  0.00837403
 0.94460087  0.00923125
 0.93840746  0.01012490
 0.93190852  0.01105326
 0.92510857  0.01201463
 0.91801235  0.01300740
 0.91062482  0.01403006
 0.90295112  0.01508122
 0.89499659  0.01615960
 0.88676678  0.01726411
 0.87826743  0.01839378
 0.86950446  0.01954785
 0.86048397  0.02072567
 0.85121226  0.02192676
 0.84169578  0.02315079
 0.83194117  0.02439749
 0.82195522  0.02566671
 0.81174490  0.02695831
 0.80131732  0.02827217
 0.79067974  0.02960810
 0.77983959  0.03096583
 0.76880441  0.03234495
 0.75758189  0.03374488
 0.74617987  0.03516479
 0.73460627  0.03660360
 0.72286918  0.03805993
 0.71097676  0.03953206
 0.69893731  0.04101794
 0.68675922  0.04251518
 0.67445097  0.04402102
 0.66202115  0.04553237
 0.64947841  0.04704581
 0.63683150  0.04855764
 0.62408922  0.05006391
 0.61126047  0.05156045
 0.59835417  0.05304294
 0.58537934  0.05450697
 0.57234500  0.05594807
 0.55926024  0.05736180
 0.54613418  0.05874377
 0.53297597  0.06008974
 0.51979478  0.06139563
 0.50659979  0.06265759
 0.49340021  0.06387200
 0.48020522  0.06503552
 0.46702403  0.06614510
 0.45386582  0.06719797
 0.44073976  0.06819165
 0.42765500  0.06912392
 0.41462066  0.06999278
 0.40164583  0.07079645
 0.38873953  0.07153329
 0.37591078  0.07220178
 0.36316850  0.07280045
 0.35052159  0.07332785
 0.33797885  0.07378249
 0.32554903  0.07416277
 0.31324078  0.07446701
 0.30106269  0.07469335
 0.28902324  0.07483976
 0.27713082  0.07490405
 0.26539373  0.07488382
 0.25382013  0.07477655
 0.24241811  0.07457957
 0.23119559  0.07429012
 0.22016041  0.07390540
 0.20932026  0.07342266
 0.19868268  0.07283924
 0.18825510  0.07215264
 0.17804478  0.07136065
 0.16805883  0.07046138
 0.15830422  0.06945336
 0.14878774  0.06833562
 0.13951603  0.06710776
 0.13049554  0.06576997
 0.12173257  0.06432314
 0.11323322  0.06276881
 0.10500341  0.06110926
 0.09704888  0.05934744
 0.08937518  0.05748701
 0.08198765  0.05553224
 0.07489143  0.05348801
 0.06809148  0.05135971
 0.06159254  0.04915315
 0.05539913  0.04687450
 0.04951557  0.04453015
 0.04394595  0.04212661
 0.03869417  0.03967043
 0.03376389  0.03716804
 0.02915852  0.03462569
 0.02488130  0.03204933
 0.02093519  0.02944454
 0.01732296  0.02681643
 0.01404710  0.02416962
 0.01110992  0.02150818
 0.00851345  0.01883561
 0.00625951  0.01615484
 0.00434966  0.01346827
 0.00278524  0.01077778
 0.00156733  0.00808480
 0.00069679  0.00539038
 0.00017423  0.00269526
 0.00000000  0.00000000
 0.00017423 -0.00270826
 0.00069679 -0.00541616
 0.00156733 -0.00812297
 0.00278524 -0.01082774
 0.00434966 -0.01352925
 0.00625951 -0.01622592
 0.00851345 -0.01891573
 0.01110992 -0.02159620
 0.01404710 -0.02426431
 0.01732296 -0.02691652
 0.02093519 -0.02954876
 0.02488130 -0.03215642
 0.02915852 -0.03473444
 0.03376389 -0.03727732
 0.03869417 -0.03977921
 0.04394595 -0.04223399
 0.04951557 -0.04463535
 0.05539913 -0.04697691
 0.06159254 -0.04925229
 0.06809148 -0.05145527
 0.07489143 -0.05357982
 0.08198765 -0.05562029
 0.08937518 -0.05757141
 0.09704888 -0.05942842
 0.10500341 -0.06118715
 0.11323322 -0.06284402
 0.12173257 -0.06439612
 0.13049554 -0.06584122
 0.13951603 -0.06717777
 0.14878774 -0.06840489
 0.15830422 -0.06952234
 0.16805883 -0.07053048
 0.17804478 -0.07143022
 0.18825510 -0.07222295
 0.19868268 -0.07291047
 0.20932026 -0.07349491
 0.22016041 -0.07397868
 0.23119559 -0.07436435
 0.24241811 -0.07465460
 0.25382013 -0.07485215
 0.26539373 -0.07495971
 0.27713082 -0.07497989
 0.28902324 -0.07491520
 0.30106269 -0.07476802
 0.31324078 -0.07454054
 0.32554903 -0.07423480
 0.33797885 -0.07385269
 0.35052159 -0.07339595
 0.36316850 -0.07286621
 0.37591078 -0.07226502
 0.38873953 -0.07159391
 0.40164583 -0.07085441
 0.41462066 -0.07004810
 0.42765500 -0.06917669
 0.44073976 -0.06824202
 0.45386582 -0.06724612
 0.46702403 -0.06619126
 0.48020522 -0.06507995
 0.49340021 -0.06391498
 0.50659979 -0.06269939
 0.51979478 -0.06143652
 0.53297597 -0.06012996
 0.54613418 -0.05878353
 0.55926024 -0.05740128
 0.57234500 -0.05598741
 0.58537934 -0.05454624
 0.59835417 -0.05308216
 0.61126047 -0.05159959
 0.62408922 -0.05010290
 0.63683150 -0.04859636
 0.64947841 -0.04708408
 0.66202115 -0.04557001
 0.67445097 -0.04405781
 0.68675922 -0.04255088
 0.69893731 -0.04105232
 0.71097676 -0.03956489
 0.72286918 -0.03809101
 0.73460627 -0.03663276
 0.74617987 -0.03519188
 0.75758189 -0.03376980
 0.76880441 -0.03236765
 0.77983959 -0.03098631
 0.79067974 -0.02962641
 0.80131732 -0.02828841
 0.81174490 -0.02697262
 0.82195522 -0.02567927
 0.83194117 -0.02440851
 0.84169578 -0.02316051
 0.85121226 -0.02193544
 0.86048397 -0.02073356
 0.86950446 -0.01955521
 0.87826743 -0.01840086
 0.88676678 -0.01727112
 0.89499659 -0.01616674
 0.90295112 -0.01508864
 0.91062482 -0.01403788
 0.91801235 -0.01301569
 0.92510857 -0.01202341
 0.93190852 -0.01106251
 0.93840746 -0.01013458
 0.94460087 -0.00924125
 0.95048443 -0.00838422
 0.95605405 -0.00756523
 0.96130583 -0.00678601
 0.96623611 -0.00604825
 0.97084148 -0.00535363
 0.97511870 -0.00470373
 0.97906481 -0.00410008
 0.98267704 -0.00354409
