modelo,target,conjunto,R2,RMSE,MSE
LinearRegression,CL,treino,0.9345101596671567,0.09838604221416976,0.009679813302568393
LinearRegression,CL,validacao,0.9327597208982267,0.08813408898451262,0.007767617641129989
LinearRegression,CL,teste,-1.026052201427086,0.539852411266982,0.29144062595077475
LinearRegression,CD,treino,0.48999623303848316,0.010733191182808797,0.00011520139296672452
LinearRegression,CD,validacao,0.4638018465927194,0.010483314350329141,0.00010989987976781692
LinearRegression,CD,teste,-0.20943601560301417,0.018809328286683774,0.0003537908305962424
LinearRegression,CM,treino,0.9493233909160573,0.012462678848556057,0.00015531836408224652
LinearRegression,CM,validacao,0.9133936640594137,0.011763015036625269,0.00013836852275187219
LinearRegression,CM,teste,-0.9691893223019306,0.07438192915878353,0.0055326713853822915
