real,previsto
-0.13,-0.13917412560292236
-0.1292,-0.13507229200634513
-0.1274,-0.13097045840976787
-0.1265,-0.1268686248131906
-0.1257,-0.12276679121661335
-0.1248,-0.1186649576200361
-0.1237,-0.11456312402345883
-0.121,-0.11046129042688159
-0.1135,-0.10635945683030433
-0.1043,-0.10225762323372707
-0.0941,-0.09815578963714983
-0.0934,-0.09405395604057257
-0.0953,-0.08995212244399531
-0.1297,-0.13956749314881792
-0.1293,-0.13546565955224066
-0.127,-0.12726199235908614
-0.1262,-0.12316015876250888
-0.1254,-0.11905832516593162
-0.1241,-0.11495649156935438
-0.1221,-0.11085465797277712
-0.1144,-0.10675282437619986
-0.1048,-0.10265099077962261
-0.0947,-0.09854915718304535
-0.0939,-0.0944473235864681
-0.0941,-0.09034548998989084
-0.1298,-0.13996086069471345
-0.1294,-0.1358590270981362
-0.1283,-0.13175719350155893
-0.1276,-0.12765535990498167
-0.1268,-0.12355352630840442
-0.126,-0.11945169271182716
-0.1248,-0.11534985911524992
-0.1232,-0.11124802551867266
-0.1154,-0.1071461919220954
-0.1037,-0.10304435832551814
-0.0946,-0.09894252472894088
-0.0936,-0.09484069113236362
-0.0899,-0.09073885753578637
-0.1242,-0.1187512708896586
-0.1223,-0.11464943729308136
-0.1201,-0.1105476036965041
-0.1175,-0.10644577009992684
-0.1132,-0.10234393650334958
-0.1068,-0.09824210290677232
-0.0984,-0.09414026931019506
-0.092,-0.09003843571361782
-0.123,-0.11914463843555415
-0.1212,-0.11504280483897689
-0.1194,-0.11094097124239963
-0.117,-0.10683913764582237
-0.1128,-0.10273730404924511
-0.1074,-0.09863547045266785
-0.0999,-0.0945336368560906
-0.0935,-0.09043180325951335
-0.0861,-0.08632996966293609
-0.1222,-0.11953800598144967
-0.1206,-0.11543617238487242
-0.119,-0.11133433878829516
-0.1168,-0.1072325051917179
-0.1131,-0.10313067159514065
-0.108,-0.0990288379985634
-0.1018,-0.09492700440198615
-0.0949,-0.09082517080540889
-0.0879,-0.08672333720883163
-0.1199,-0.11814843966857815
-0.1231,-0.1140466060720009
-0.1222,-0.10994477247542364
-0.1185,-0.10584293887884638
-0.1156,-0.10174110528226912
-0.1108,-0.09763927168569186
-0.103,-0.0935374380891146
-0.0951,-0.08943560449253736
-0.0892,-0.0853337708959601
-0.084,-0.08123193729938284
-0.0723,-0.0771301037028056
-0.0408,-0.07302827010622834
-0.0409,-0.06892643650965108
-0.1223,-0.11854180721447369
-0.1225,-0.11443997361789643
-0.1207,-0.11033814002131917
-0.1177,-0.10623630642474191
-0.1151,-0.10213447282816465
-0.1109,-0.09803263923158739
-0.1043,-0.09393080563501015
-0.0968,-0.08982897203843289
-0.0907,-0.08572713844185563
-0.0751,-0.08162530484527838
-0.0612,-0.07752347124870113
-0.043,-0.07342163765212387
-0.0389,-0.06931980405554661
-0.1229,-0.11893517476036922
-0.1217,-0.11483334116379196
-0.1196,-0.1107315075672147
-0.1173,-0.10662967397063744
-0.1149,-0.1025278403740602
-0.111,-0.09842600677748294
-0.1053,-0.09432417318090569
-0.0992,-0.09022233958432843
-0.0919,-0.08612050598775117
-0.0863,-0.08201867239117391
-0.0025,-0.02700665020260784
-0.0129,-0.02290481660603059
-0.0039,-0.01880298300945333
0.0024,-0.014701149412876077
0.0017,-0.010599315816298818
0.0016,-0.006497482219721566
0.0021,-0.002395648623144307
0.003,0.0017061849734329448
0.004,0.005808018570010204
0.0057,0.009909852166587463
-0.0071,0.014011685763164722
-0.0155,0.018113519359741967
-0.0422,0.022215352956319226
-0.0107,-0.027400017748503376
-0.0073,-0.023298184151926124
-0.0008,-0.019196350555348865
0.0025,-0.015094516958771606
0.0015,-0.010992683362194354
0.0012,-0.006890849765617095
0.0014,-0.002789016169039843
0.0022,0.001312817427537416
0.0032,0.005414651024114675
0.0048,0.009516484620691934
0.0071,0.013618318217269179
-0.0368,0.017720151813846438
-0.0461,0.021821985410423697
-0.0105,-0.027793385294398912
-0.0034,-0.023691551697821653
0.0009,-0.019589718101244394
0.0024,-0.015487884504667142
0.0013,-0.01138605090808989
0.0009,-0.007284217311512631
0.0009,-0.0031823837149353787
0.0015,0.0009194498816418803
0.0024,0.005021283478219132
0.0039,0.009123117074796391
0.0069,0.01322495067137365
-0.0236,0.021428617864528154
-0.0397,-0.053042988806422275
-0.0408,-0.048941155209845016
-0.0359,-0.04483932161326776
-0.0327,-0.040737488016690505
-0.0305,-0.036635654420113246
-0.029,-0.032533820823535994
-0.0275,-0.028431987226958735
-0.0253,-0.024330153630381483
-0.0222,-0.020228320033804224
-0.0182,-0.016126486437226972
-0.0125,-0.012024652840649713
-0.0105,-0.007922819244072454
-0.0417,-0.053436356352317804
-0.0383,-0.049334522755740545
-0.0347,-0.045232689159163286
-0.0323,-0.041130855562586034
-0.0306,-0.03702902196600878
-0.0294,-0.03292718836943152
-0.0282,-0.02882535477285427
-0.0262,-0.024723521176277012
-0.0233,-0.02062168757969976
-0.0199,-0.0165198539831225
-0.0145,-0.012418020386545242
-0.0091,-0.00831618678996799
-0.029,-0.004214353193390731
-0.0411,-0.05382972389821334
-0.0368,-0.04972789030163609
-0.034,-0.04562605670505883
-0.0321,-0.04152422310848157
-0.0308,-0.03742238951190431
-0.0298,-0.03332055591532706
-0.0287,-0.029218722318749803
-0.0269,-0.025116888722172548
-0.0245,-0.02101505512559529
-0.0207,-0.016913221529018037
-0.0156,-0.012811387932440785
-0.0099,-0.008709554335863526
-0.0208,-0.004607720739286267
-0.0309,-0.0563277715926934
-0.0435,-0.05222593799611615
-0.0399,-0.04812410439953889
-0.0356,-0.04402227080296163
-0.0336,-0.03992043720638437
-0.0322,-0.03581860360980712
-0.0307,-0.03171677001322987
-0.0271,-0.027614936416652608
-0.0227,-0.02351310282007535
-0.0179,-0.019411269223498097
-0.0356,-0.056721139138588936
-0.0434,-0.05261930554201168
-0.0383,-0.04851747194543442
-0.0353,-0.044415638348857166
-0.0339,-0.04031380475227991
-0.0327,-0.036211971155702655
-0.0314,-0.032110137559125396
-0.028,-0.028008303962548144
-0.0239,-0.023906470365970885
-0.0141,-0.019804636769393633
-0.0094,-0.015702803172816374
-0.0335,-0.011600969576239115
-0.0397,-0.057114506684484465
-0.0418,-0.05301267308790721
-0.0374,-0.048910839491329954
-0.0353,-0.0448090058947527
-0.0341,-0.04070717229817544
-0.0332,-0.036605338701598183
-0.032,-0.03250350510502093
-0.0289,-0.028401671508443676
-0.0248,-0.02429983791186642
-0.0196,-0.02019800431528916
-0.0282,-0.05112547339846594
-0.036,-0.047023639801888686
-0.0333,-0.04292180620531143
-0.0292,-0.03881997260873417
-0.0277,-0.03471813901215691
-0.0267,-0.030616305415579657
-0.0254,-0.026514471819002405
-0.0222,-0.022412638222425146
-0.0182,-0.018310804625847887
-0.0284,-0.051518840944361474
-0.0371,-0.047417007347784215
-0.0317,-0.043315173751206956
-0.0291,-0.039213340154629704
-0.028,-0.035111506558052445
-0.0272,-0.031009672961475193
-0.0261,-0.026907839364897934
-0.023,-0.022806005768320682
-0.0191,-0.018704172171743423
-0.0171,-0.014602338575166171
-0.0297,-0.051912208490257
-0.0357,-0.04781037489367975
-0.0309,-0.04370854129710249
-0.0291,-0.03960670770052524
-0.0283,-0.03550487410394798
-0.0276,-0.03140304050737072
-0.0265,-0.02730120691079347
-0.0237,-0.023199373314216218
-0.0197,-0.01909753971763896
-0.0164,-0.0149957061210617
-0.026,-0.04685018088020422
-0.025,-0.04274834728362697
-0.0287,-0.03864651368704971
-0.0253,-0.03454468009047246
-0.0244,-0.030442846493895198
-0.0237,-0.026341012897317946
-0.0224,-0.022239179300740687
-0.0199,-0.018137345704163435
-0.0168,-0.014035512107586176
-0.0171,-0.009933678511008917
-0.0332,-0.005831844914431665
-0.0262,-0.047243548426099756
-0.0304,-0.043141714829522504
-0.0272,-0.039039881232945245
-0.0255,-0.034938047636367986
-0.0248,-0.030836214039790734
-0.0243,-0.026734380443213475
-0.0209,-0.018530713250058964
-0.0176,-0.014428879653481705
-0.0159,-0.010327046056904453
-0.0313,-0.006225212460327201
-0.0263,-0.04763691597199529
-0.0324,-0.04353508237541803
-0.0267,-0.039433248778840774
-0.0257,-0.03533141518226352
-0.0252,-0.031229581585686266
-0.0247,-0.02712774798910901
-0.0237,-0.02302591439253176
-0.0217,-0.0189240807959545
-0.0187,-0.01482224719937724
-0.0156,-0.010720413602799989
-0.0386,-0.0025167464096454775
-0.0502,0.0015850871869317815
-0.0434,-0.06424651543496773
-0.0507,-0.060144681838390474
-0.0457,-0.056042848241813215
-0.0429,-0.05194101464523596
-0.0412,-0.047839181048658704
-0.0399,-0.04373734745208145
-0.0385,-0.03963551385550419
-0.0359,-0.035533680258926933
-0.0319,-0.03143184666234968
-0.0269,-0.027330013065772426
-0.018,-0.02322817946919517
-0.0362,-0.01912634587261791
-0.0539,-0.015024512276040652
-0.0478,-0.06463988298086326
-0.0485,-0.060538049384286
-0.0448,-0.05643621578770874
-0.0428,-0.05233438219113149
-0.0415,-0.04823254859455424
-0.0405,-0.04413071499797698
-0.0393,-0.04002888140139973
-0.037,-0.035927047804822476
-0.0333,-0.03182521420824522
-0.0284,-0.027723380611667958
-0.0272,-0.0236215470150907
-0.0622,-0.019519713418513447
-0.0497,-0.06503325052675879
-0.0471,-0.060931416930181545
-0.0443,-0.056829583333604286
-0.0429,-0.05272774973702703
-0.0419,-0.04862591614044977
-0.041,-0.044524082543872516
-0.0399,-0.040422248947295264
-0.0379,-0.036320415350718005
-0.0338,-0.032218581754140746
-0.0287,-0.028116748157563494
-0.026,-0.024014914560986242
-0.0472,-0.015811247367831724
-0.0422,-0.0663194637181334
-0.0482,-0.05811579652497888
-0.045,-0.054013962928401625
-0.0431,-0.049912129331824366
-0.0418,-0.045810295735247114
-0.0402,-0.041708462138669855
-0.0377,-0.037606628542092596
-0.0336,-0.033504794945515344
-0.0284,-0.02940296134893809
-0.0313,-0.025301127752360833
-0.0616,-0.021199294155783574
-0.048,-0.06671283126402892
-0.0515,-0.06261099766745166
-0.0471,-0.058509164070874406
-0.0449,-0.054407330474297154
-0.0435,-0.0503054968777199
-0.0424,-0.04620366328114264
-0.0411,-0.04210182968456539
-0.0388,-0.03799999608798814
-0.035,-0.03389816249141088
-0.0298,-0.02979632889483362
-0.0268,-0.025694495298256362
-0.0368,-0.02159266170167911
-0.0542,-0.01749082810510185
-0.0506,-0.06710619880992447
-0.0499,-0.06300436521334721
-0.0466,-0.05890253161676995
-0.0449,-0.05480069802019269
-0.0438,-0.05069886442361543
-0.0429,-0.04659703082703818
-0.0417,-0.04249519723046093
-0.0396,-0.03839336363388367
-0.0355,-0.03429153003730641
-0.0303,-0.030189696440729157
-0.0273,-0.026087862844151904
-0.035,-0.021986029247574645
-0.0427,-0.06675667846816898
-0.0536,-0.06265484487159172
-0.0494,-0.058553011275014465
-0.0458,-0.05445117767843721
-0.044,-0.050349344081859954
-0.0427,-0.046247510485282695
-0.0411,-0.04214567688870544
