perfil,Re,Mach,alpha,CL,CD,CM,CL_CD
otimizado_CL,250000.0,0.1,6.0,1.8293,0.02481,-0.2759,73.7323659814591
otimizado_CD,250000.0,0.1,6.0,1.1076,0.01213,-0.102,91.31079967023906
