perfil,x_c,camber_pct,thickness_pct,yu,yl
2032c,0.02,1.1477079097569558,3.164553022303074,0.027299844209084927,-0.00434568601394581
2032c,0.05,2.458205258754418,5.195427345630537,0.05055918931569686,-0.0013950841406085055
2032c,0.1,4.238030555228795,7.10128634134862,0.07788673725903104,0.00687387384554484
2032c,0.25,6.622028469595643,7.5494851078839105,0.10396771023537597,0.02847285915653687
2032c,0.5,6.493385861251186,5.0412199155447635,0.09013995819023567,0.039727759034788035
2032c,0.75,3.8220265855850144,2.496483339385875,0.05070268255277952,0.025737849158920773
2032c,0.9,1.6675270018825128,1.013469609572187,0.021742618066686065,0.011607921970964195
2032c,0.95,0.8087128848045297,0.4818769820284505,0.01049651375818755,0.005677743937903045
2032c,0.98,0.3024881698081682,0.1770025762027673,0.003909894579095519,0.0021398688170678457
a18,0.02,0.29103667429955177,3.2005750575178427,0.01891324203058473,-0.013092508544593694
a18,0.05,0.7089278483093098,4.799423435974115,0.031086395662963673,-0.016907838696777477
a18,0.1,1.3986960192309048,6.152886771870021,0.044751394051659156,-0.01677747366704106
a18,0.25,2.955238078071442,7.129964450069276,0.0652022030310608,-0.00609744146963196
a18,0.5,3.8725498210749434,5.783525375565109,0.06764312508857498,0.009807871332923889
a18,0.75,2.8386735191544124,3.19255667256647,0.04434951855437647,0.012423951828711779
a18,0.9,1.380502151471053,1.4931853669398771,0.021270948349409916,0.0063390946800111455
a18,0.95,0.7167267495908575,0.7853185842587346,0.011093860417202247,0.0032406745746149023
a18,0.98,0.28835081426140374,0.31997694271150595,0.004483392856171567,0.0012836234290565078
a18sm,0.02,0.30112347228888137,3.2497761963487526,0.019260115704632576,-0.013237646258854948
a18sm,0.05,0.7073183528765851,4.790323685362674,0.03102480195557922,-0.01687843489804752
a18sm,0.1,1.3771706857578838,6.080692318609823,0.04417516845062795,-0.016631754735470277
a18sm,0.25,2.92713201934021,7.132778684421387,0.06493521361550904,-0.006392573228704835
a18sm,0.5,3.847045672858345,5.782423649890799,0.06738257497803744,0.009558338479129458
a18sm,0.75,2.8110780968608435,3.2365103433722155,0.04429333268546951,0.011928229251747356
a18sm,0.9,1.3729337098785643,1.504725178666308,0.021252962992117184,0.0062057112054541026
a18sm,0.95,0.7169818300093919,0.8249512943359362,0.0112945747717736,0.0030450618284142378
a18sm,0.98,0.290153394986588,0.35391138334103805,0.00467109086657107,0.0011319770331606898
a63a108c,0.02,0.2200707757735572,3.976297381490184,0.022082194665186492,-0.01768077914971535
a63a108c,0.05,0.33036180526053555,5.344232906429468,0.030024782584752698,-0.023417546479541987
a63a108c,0.1,0.4066250739521788,6.250338390425886,0.03531794269165122,-0.027185441212607644
