perfil,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,upper_kappa_rms_interior,upper_kappa_abs_p95_interior,upper_kappa_abs_p99_interior,upper_kappa_abs_max_interior,upper_x_kappa_abs_max_interior,upper_kappa_total_variation_interior,upper_d2y_rms_interior,upper_curvature_sign_threshold,upper_curvature_inversions_interior,lower_kappa_rms_interior,lower_kappa_abs_p95_interior,lower_kappa_abs_p99_interior,lower_kappa_abs_max_interior,lower_x_kappa_abs_max_interior,lower_kappa_total_variation_interior,lower_d2y_rms_interior,lower_curvature_sign_threshold,lower_curvature_inversions_interior,t_max,t_max_pct,x_t_max,camber_abs_max,camber_abs_max_pct,x_camber_abs_max,min_thickness,yu_x02,yl_x02,thickness_x02,thickness_pct_x02,camber_x02,camber_pct_x02,yu_x05,yl_x05,thickness_x05,thickness_pct_x05,camber_x05,camber_pct_x05,yu_x10,yl_x10,thickness_x10,thickness_pct_x10,camber_x10,camber_pct_x10,yu_x25,yl_x25,thickness_x25,thickness_pct_x25,camber_x25,camber_pct_x25,yu_x50,yl_x50,thickness_x50,thickness_pct_x50,camber_x50,camber_pct_x50,yu_x75,yl_x75,thickness_x75,thickness_pct_x75,camber_x75,camber_pct_x75,yu_x90,yl_x90,thickness_x90,thickness_pct_x90,camber_x90,camber_pct_x90,yu_x95,yl_x95,thickness_x95,thickness_pct_x95,camber_x95,camber_pct_x95,yu_x98,yl_x98,thickness_x98,thickness_pct_x98,camber_x98,camber_pct_x98,CL,CD,CM
la5055,0.2570403779,0.4207349868,0.1027969364,0.9467560714,-0.2848055352,0.422043004,0.0347372954,-0.2547381567,0.1835383534,-0.4378000239,0.4097093484,-0.3841529546,0.1663992378,-0.0657603073,1.7092959146970803,3.4306486457895646,5.8519676401920195,7.75729853862939,0.02,14.166430977445579,2.809765420139276,0.0686129729157913,1,2.47729369098941,1.8077477127441928,14.89530359266572,23.462617314150343,0.02,29.12479551298088,2.7436666586012897,0.03615495425488385,6,0.16004758622894222,16.004758622894222,0.329,0.05941698818644259,5.941698818644259,0.3885,0.0,0.037980757018816924,-0.028842771250444918,0.06682352826926184,6.682352826926184,0.004568992884186003,0.4568992884186003,0.06197777843609905,-0.03338846579523509,0.09536624423133414,9.536624423133414,0.014294656320431979,1.429465632043198,0.08801777213248275,-0.03071517280964482,0.11873294494212758,11.873294494212757,0.028651299661418966,2.8651299661418967,0.12873627013924255,-0.025426062082901,0.15416233222214354,15.416233222214354,0.05165510402817077,5.165510402817077,0.11906704853913563,-0.013015077165631706,0.13208212570476735,13.208212570476736,0.053025985686751965,5.302598568675196,0.04374419894652181,-0.005649780696232024,0.049393979642753834,4.939397964275384,0.019047209125144893,1.9047209125144893,0.014601238605721989,-0.0007920171062075705,0.01539325571192956,1.539325571192956,0.006904610749757209,0.6904610749757208,0.005694341454094307,-0.0010041632755969305,0.006698504729691237,0.6698504729691237,0.002345089089248688,0.2345089089248688,0.0014872531261083568,-0.0008368864601812646,0.0023241395862896213,0.23241395862896214,0.0003251833329635461,0.03251833329635461,,,
s1223,0.2887228062,0.3573008973,0.4944662351,0.0131090206,0.7394727737,-0.023867878,0.8863980473,-0.1647743471,0.1440983448,-0.1327800258,0.3464983707,0.1148325226,0.22006903,0.6057377337,1.9132723678386494,4.266711600059001,5.905754359336634,8.179258776901614,0.02,13.173115219074635,3.2166391643965424,0.08533423200118001,0,2.199789161731906,3.209178735980079,11.359003218520455,19.02225959457161,0.02,23.10817958577536,2.3284927250131524,0.06418357471960158,3,0.12128043581487709,12.12804358148771,0.20800000000000002,0.08627180882487882,8.627180882487883,0.5005000000000001,0.0,0.041198087138367694,-0.018157900232419713,0.05935598737078741,5.935598737078741,0.01152009345297399,1.152009345297399,0.06593147640075599,-0.019325908409955954,0.08525738481071193,8.525738481071194,0.023302783995400016,2.330278399540002,0.09385725595851649,-0.012630272463994417,0.10648752842251091,10.648752842251092,0.04061349174726103,4.061349174726104,0.13179607374082947,0.01243520941206665,0.11936086432876282,11.936086432876282,0.07211564157644806,7.211564157644807,0.12124110606211383,0.05130237856045029,0.06993872750166354,6.993872750166354,0.08627174231128207,8.627174231128206,0.08406515477826923,0.05674716988458064,0.027317984893688592,2.731798489368859,0.07040616233142494,7.040616233142494,0.05086827707432405,0.039473050091623225,0.011395226982700825,1.1395226982700826,0.04517066358297364,4.517066358297364,0.03258843049744352,0.0243961103574234,0.00819232014002012,0.819232014002012,0.028492270427433457,2.8492270427433457,0.01557617248431118,0.011110134587946017,0.0044660378963651635,0.44660378963651637,0.0133431535361286,1.33431535361286,1.8686,0.02405,-0.2705
raf19,0.2384444545,0.6996523787,-0.1110028143,0.872139934,-0.0585407692,0.5241851173,0.3674099908,-0.1006969826,0.0579394074,0.4401552682,-0.06833708,0.3090097851,0.1799545945,0.008850229,1.7387863101513399,4.1411470455659956,4.329092713986315,4.338114882559896,0.105,8.991337419499974,3.0656081999298843,0.0828229409113199,1,2.0483542112457664,3.599610229619114,10.088275756405563,14.860400289873066,0.02,20.627471350637226,2.1036847566133394,0.07199220459238229,2,0.10747332438638088,10.747332438638088,0.132,0.10217498417120263,10.217498417120263,0.3595,0.0,0.03972527128200425,-0.011155428385228285,0.050880699667232535,5.088069966723253,0.014284921448387984,1.4284921448387984,0.07141071885403477,-0.010036667383206419,0.0814473862372412,8.14473862372412,0.030687025735414177,3.0687025735414175,0.10711131654418007,0.0027662975015598965,0.10434501904262018,10.434501904262019,0.05493880702286998,5.493880702286998,0.14025018848151855,0.050712756706723025,0.08953743177479552,8.953743177479552,0.09548147259412079,9.54814725941208,0.12622145708705018,0.06190637810264422,0.06431507898440597,6.431507898440597,0.0940639175948472,9.40639175948472,0.07557525884808002,0.03529506275458594,0.04028019609349408,4.028019609349408,0.055435160801332976,5.543516080133298,0.036792787816666,0.009336264390960693,0.027456523425705308,2.745652342570531,0.023064526103813345,2.3064526103813345,0.019095656678550368,0.0028074967948453385,0.01628815988370503,1.628815988370503,0.010951576736697853,1.0951576736697852,0.007565848924233374,0.0005753689688640767,0.0069904799553692975,0.6990479955369298,0.0040706089465487255,0.40706089465487255,,,
fx73cl2152,0.2953625048,0.3588682312,0.4919316439,0.0930964245,0.5640091992,0.096579407,0.6425804744,-0.1982885548,0.0043286022,-0.1071971855,0.101353779,0.0844840061,0.0975473174,0.4010313264,1.7613396073195686,3.397840747679392,5.979597253991349,8.215824204335133,0.02,11.685209490096547,3.0421055472015928,0.06795681495358784,0,2.1761920380414423,3.241848565754295,11.431425892677819,17.105451861605193,0.02,20.070731154054247,2.448157046941825,0.0648369713150859,1,0.1527200754635914,15.27200754635914,0.23450000000000001,0.06624509263567765,6.624509263567766,0.454,0.0,0.04203648456771756,-0.024359186348164162,0.06639567091588172,6.639567091588172,0.008838649109776699,0.8838649109776698,0.06706243844948076,-0.03139772387009081,0.09846016231957157,9.846016231957156,0.017832357289694976,1.7832357289694976,0.09522158161296163,-0.03210595482156634,0.12732753643452796,12.732753643452796,0.031557813395697645,3.1557813395697645,0.13412845599515072,-0.018328177212615968,0.1524566332077667,15.24566332077667,0.057900139391267376,5.790013939126737,0.11806291205718374,0.013812757430644713,0.10425015462653903,10.425015462653903,0.06593783474391422,6.593783474391422,0.07495067971233906,0.03051824788015374,0.044432431832185315,4.443243183218532,0.0527344637962464,5.27344637962464,0.04109627710860234,0.024414074457739573,0.01668220265086277,1.668220265086277,0.032755175783170956,3.275517578317096,0.024963684000006373,0.015605963325788197,0.009357720674218176,0.9357720674218176,0.020284823662897286,2.0284823662897287,0.011539594519689687,0.00725264953070267,0.004286944988987017,0.4286944988987017,0.009396122025196178,0.9396122025196179,1.5806,0.0212,-0.2007
goe387,0.2768988923,0.3884271255,0.2677073799,0.4087775512,0.2830127908,0.2959616219,0.2946418897,-0.1685332582,0.0287223004,-0.2059053343,0.1835889964,-0.217961266,0.1138851788,-0.1014587303,1.5931151162980568,3.4997650095548636,6.117386850617766,8.148933035712478,0.02,8.167577656712593,2.8487045831954805,0.06999530019109727,0,1.6769844847281188,2.0781268976107046,9.5902353033323,15.562284764247583,0.02,18.22942214048859,1.8365709436431867,0.04156253795221409,2,0.14902104721650555,14.902104721650556,0.28750000000000003,0.05518151366807103,5.518151366807103,0.395,0.0,0.04004856416884096,-0.020413457463448803,0.06046202163228976,6.046202163228976,0.009817553352696077,0.9817553352696077,0.06432079800537284,-0.026156897988705616,0.09047769599407846,9.047769599407845,0.019081950008333612,1.9081950008333612,0.09034482564276251,-0.02767372696981103,0.11801855261257355,11.801855261257355,0.03133554933647574,3.133554933647574,0.12433035859992371,-0.023757646251068115,0.14808800485099183,14.808800485099184,0.050286356174427796,5.02863561744278,0.11664072645142555,-0.011604098415146624,0.12824482486657218,12.824482486657217,0.052518314018139466,5.251831401813947,0.0663006026429903,-0.005341430288669145,0.07164203293165944,7.164203293165944,0.030479586177160577,3.047958617716058,0.02804321151461593,-0.003092064011161062,0.031135275525776995,3.1135275525776995,0.012475573751727434,1.2475573751727433,0.01436850863831605,-0.0026524001504138433,0.01702090878872989,1.7020908788729892,0.005858054243951103,0.5858054243951103,0.005835510941075583,-0.0015582266720223026,0.007393737613097886,0.7393737613097886,0.0021386421345266403,0.21386421345266404,1.1746,0.0151,-0.0907
fx76mp160,0.2628418365,0.3807106623,0.3564606536,0.2571061926,0.6499837416,0.2026105423,0.4317899433,-0.1896640773,-0.0202210616,-0.1651931713,0.1242108502,-0.2071143381,0.1151889335,0.1935865432,1.5354697285977832,3.0156576955831396,5.636033335413454,7.836813287097544,0.02,10.641052174680517,2.642092675300894,0.060313153911662795,2,1.9042241861012208,2.868074938475986,10.216564962750605,15.584629653460413,0.02,18.028482788818124,2.1741595321368536,0.057361498769519716,3,0.16124882620036904,16.124882620036903,0.3145,0.06055224062727594,6.055224062727594,0.486,0.0,0.038271780449214546,-0.02371350658350321,0.06198528703271776,6.1985287032717755,0.007279136932855668,0.7279136932855668,0.062258600658281024,-0.031632691885353656,0.09389129254363468,9.389129254363468,0.015312954386463684,1.5312954386463684,0.08942266520926116,-0.03490714051567617,0.12432980572493733,12.432980572493733,0.027257762346792495,2.7257762346792496,0.12913068854284057,-0.029944767378231808,0.1590754559210724,15.907545592107239,0.049592960582304384,4.959296058230438,0.1349764579270832,-0.013957989216835553,0.14893444714391876,14.893444714391876,0.06050923435512383,6.050923435512383,0.08425492921045868,0.005372765366322406,0.07888216384413628,7.888216384413628,0.044813847288390544,4.481384728839054,0.035046757201009755,0.011850612075362808,0.023196145125646946,2.3196145125646948,0.023448684638186282,2.3448684638186283,0.018756397932985728,0.007942142405316186,0.010814255527669542,1.0814255527669543,0.013349270169150957,1.3349270169150957,0.008080201193539967,0.003620322016576934,0.0044598791769630336,0.44598791769630336,0.00585026160505845,0.585026160505845,1.2743,0.0148,-0.1414
e377,0.1673331476,0.3008560012,0.181784536,0.3498173116,0.0827914903,0.2516076161,0.1142279153,-0.068245545,0.2922026774,0.117910956,0.3999522487,0.030475457,0.3137969392,0.0460261767,1.2785029742353025,2.5618899930634456,4.948121299057321,7.481844442867719,0.02,8.657326411334022,1.7333860051328245,0.05123779986126891,1,1.4488525360314708,1.6991513984183773,6.912432844575027,12.595548304769919,0.02,17.571077458349304,1.565813143341595,0.033983027968367545,2,0.03896952296180707,3.8969522961807073,0.075,0.08654197162916497,8.654197162916496,0.365,0.0,0.025213338714120365,-0.003887057356402067,0.029100396070522432,2.9100396070522434,0.01066314067885915,1.0663140678859149,0.042305562198635335,0.004700018868456577,0.03760554333017876,3.760554333017876,0.023502790533545957,2.350279053354596,0.06222151695123561,0.02411933478588007,0.03810218216535554,3.810218216535554,0.043170425868557835,4.317042586855783,0.09029145721889648,0.06823654952632141,0.022054907692575065,2.2054907692575068,0.07926400337260894,7.926400337260894,0.08044074028923998,0.07644829446033222,0.003992445828907759,0.3992445828907759,0.0784445173747861,7.84445173747861,0.04068652875222791,0.04044589692278489,0.0002406318294430193,0.02406318294430193,0.0405662128375064,4.056621283750641,0.015495224630676988,0.013720435466579896,0.0017747891640970924,0.17747891640970925,0.014607830048628442,1.4607830048628443,0.007099042575538947,0.005286422773458254,0.0018126198020806932,0.18126198020806933,0.0061927326744986005,0.61927326744986,0.002553895870306268,0.0014856926667270592,0.0010682032035792088,0.10682032035792088,0.002019794268516664,0.2019794268516664,,,
clarkz,0.2194996243,0.2871248023,0.2151785275,0.3019928732,0.2263840471,0.2708528771,0.2485063241,-0.1618262752,0.0457499054,-0.1766869351,0.1057842157,-0.1442210529,0.029965164,-0.0477996346,1.4894579742118026,3.1706899064049923,6.560422927557237,9.324173670831206,0.02,9.242479569484773,2.251021791073544,0.06341379812809984,0,1.6461269364217421,1.8907598203968994,9.590130143467606,15.746165119891613,0.02,17.21492149954652,1.7719780483335557,0.03781519640793799,6,0.11732725456815835,11.732725456815835,0.3055,0.04037924919182907,4.037924919182907,0.395,0.0,0.03143613139600029,-0.019313240962732334,0.05074937235873262,5.0749372358732625,0.006061445216633977,0.6061445216633977,0.04997189169572167,-0.02411447988506794,0.07408637158078961,7.408637158078961,0.012928705905326866,1.2928705905326865,0.06951405049178787,-0.024422571634300175,0.09393662212608804,9.393662212608804,0.022545739428743848,2.254573942874385,0.0951092793071594,-0.020855475864276128,0.11596475517143554,11.596475517143553,0.03712690172144163,3.712690172144163,0.09103540247920677,-0.013552535623156552,0.10458793810236333,10.458793810236333,0.03874143342802511,3.874143342802511,0.05542870329357376,-0.0070011943886699795,0.06242989768224374,6.242989768224374,0.02421375445245189,2.421375445245189,0.024190267357628095,-0.0026230860584406696,0.026813353416068764,2.6813353416068764,0.010783590649593713,1.0783590649593713,0.012336026178747982,-0.0015777329041579535,0.013913759082905935,1.3913759082905934,0.005379146637295014,0.5379146637295014,0.004965899780419885,-0.0007894893077498963,0.005755389088169782,0.5755389088169782,0.002088205236334994,0.20882052363349943,1.0724,0.01328,-0.0785
usa35b,0.216808725,0.2955673381,0.2017887926,0.3369240181,0.1466750637,0.2980011178,0.2046488734,-0.1596049626,0.0445678137,-0.1778027871,0.1203885534,-0.1233790417,0.0449128302,-0.0211019727,1.4833563107723076,3.1746353185281264,6.423484790283187,9.12654417487115,0.02,9.869018636069988,2.235331088216124,0.06349270637056253,1,1.6252695408250488,1.8813861569809567,9.452542978462755,15.558901181501586,0.02,16.94135096829915,1.7469192223149381,0.03762772313961914,2,0.11597651540818579,11.59765154081858,0.28500000000000003,0.04111844385642745,4.111844385642745,0.392,0.0,0.03122311806891654,-0.019058842136439002,0.05028196020535554,5.028196020535554,0.006082137966238769,0.6082137966238769,0.04989561873195723,-0.023826116010905396,0.07372173474286262,7.372173474286262,0.013034751360525915,1.3034751360525916,0.06970109477748042,-0.02416899992254794,0.09387009470002836,9.387009470002836,0.02276604742746624,2.276604742746624,0.09534969130106505,-0.019982442124319457,0.11533213342538451,11.53321334253845,0.037683624588372794,3.7683624588372795,0.0881027789303742,-0.00968835415492506,0.09779113308529926,9.779113308529926,0.03920721238772457,3.9207212387724573,0.051621242339252915,-0.003074057657520011,0.054695299996772924,5.469529999677293,0.024273592340866453,2.4273592340866452,0.022194212321495255,-0.0005600052672304287,0.022754217588725683,2.2754217588725685,0.010817103527132414,1.0817103527132415,0.010956947659598567,-0.0004196721356321193,0.011376619795230686,1.1376619795230687,0.0052686377619832235,0.5268637761983224,0.004246366830929039,-0.0002868158846575102,0.004533182715586549,0.45331827155865495,0.001979775473135764,0.19797754731357642,1.2414,0.01531,-0.0762
hs1620,0.344627764,0.3870322723,0.2740933786,0.4294818361,0.3351384319,0.3934455239,0.5656133342,-0.2837153836,-0.1072476268,-0.1942960692,-0.0501536718,-0.215208272,-0.0538375844,-0.1823908017,1.835079144907199,4.277748139038429,7.063667313257318,8.630534558775434,0.02,9.362512406652334,3.6525643654291136,0.08555496278076857,0,2.18470874924518,4.436201327458735,11.729783439206342,15.272547094891742,0.02,16.59319760884192,3.1094963552029786,0.0887240265491747,0,0.19247106286914048,19.247106286914047,0.297,0.041157640864981956,4.115764086498196,0.4445,0.0,0.048348116614055366,-0.03659458133206554,0.08494269794612092,8.49426979461209,0.005876767640994911,0.5876767640994911,0.07487991637387811,-0.05087892225740431,0.12575883863128243,12.575883863128242,0.0120004970582369,1.20004970582369,0.10073260194194247,-0.059451885809139494,0.16018448775108196,16.018448775108197,0.02064035806640149,2.064035806640149,0.13122817937011413,-0.06010920825894471,0.19133738762905883,19.13373876290588,0.03555948555558471,3.555948555558471,0.1288327660034768,-0.04738861713242488,0.17622138313590166,17.622138313590167,0.04072207443552596,4.072207443552596,0.08824129130006557,-0.02793350920668547,0.11617480050675104,11.617480050675104,0.03015389104669005,3.015389104669005,0.045497358331043875,-0.013106760897271086,0.05860411922831496,5.860411922831496,0.016195298716886394,1.6195298716886395,0.025258373346960614,-0.007469407224665176,0.032727780571625786,3.2727780571625784,0.008894483061147719,0.8894483061147719,0.010803151221158906,-0.003338274055796445,0.01414142527695535,1.414142527695535,0.0037324385826812303,0.373243858268123,1.0263,0.0202,-0.0804
