coeficiente,pearson_r,pearson_p,spearman_rho,spearman_p
CL,0.7446282246678354,5.5207420206875696e-06,0.8281335522714832,5.356853851825638e-08
CD,0.6468873884124441,0.00019927409306003935,0.6737821565407772,8.479334859446712e-05
CM,0.4243490173056239,0.024408730608205833,0.535303776683087,0.003331694321642607
CL/CD,0.6880787700884742,5.193232257171041e-05,0.4964422550629447,0.007208127434721524
