conjunto,target,media,std,min,q25,mediana,q75,max
treino,CL,0.9007380253368187,0.38449455535446303,-0.0032,0.623,0.9288,1.1609,2.2828
treino,CD,0.02053419666197466,0.015030929676035282,0.00581,0.01114,0.01596,0.02462,0.14327
treino,CM,-0.05835059320329781,0.0553670391903955,-0.2772,-0.0844,-0.0494,-0.0221,0.0798
validacao,CL,0.9217314390467461,0.3400386570463848,0.0,0.6649499999999999,0.9597,1.17095,1.6167
validacao,CD,0.019448515123739688,0.014323035817899295,0.00349,0.011025,0.01471,0.02344,0.14365
validacao,CM,-0.05865829514207149,0.03998922116730779,-0.151,-0.08755,-0.0596,-0.028450000000000003,0.0343
teste,CL,0.8892913315460234,0.379440663958202,-0.122,0.61505,0.9072,1.1401,2.0554
teste,CD,0.021822207327971403,0.01711102316687818,0.00591,0.010855,0.01622,0.026555000000000002,0.15929
teste,CM,-0.05828891867739053,0.05302953798178294,-0.2093,-0.07905000000000001,-0.0505,-0.025050000000000003,0.0474
