coeficiente,pearson_r,pearson_p,spearman_rho,spearman_p
CL,0.3976548009379227,0.029545240467997246,0.7904338153503893,2.0333354443859692e-07
CD,0.5872984719290236,0.0006448700386248346,0.7317018909899888,4.341186854922094e-06
CM,0.3193128931106069,0.08543453154248982,0.539043381535039,0.00211501472851774
CL/CD,0.5927420227403974,0.0005573871633856121,0.5884315906562848,0.0006257266811826133
