feature,importance
alpha,0.21067971
Au1,0.19020915
Au0,0.1687409
Au3,0.09482933
Al0,0.053665463
Re,0.04928084
Au4,0.03376965
Al2,0.030625569
Al4,0.027681058
DeltaTE_lower,0.026713992
Al1,0.0230252
Au5,0.02271888
Al5,0.01644494
Al3,0.0149225285
DeltaTE_upper,0.011401005
Al6,0.010514155
Au2,0.008171524
Au6,0.006606165
