,R²,RMSE,MAE,MSE
0-6°,0.9169065719756468,0.08753172487502882,0.05793939244712474,0.007661802859597739
7-9°,0.8909015997779748,0.07729374679771535,0.05328301475253444,0.005974323294029331
10-12°,0.8757189377000159,0.09907474369162833,0.06850231064094986,0.009815804837561847
