,R²,RMSE,MAE,MSE
0-6°,0.4956915254109373,0.0037503807567025116,0.00188380078540718,1.4065355820244505e-05
7-9°,0.38988625699037815,0.00838882660195381,0.003941195662137721,7.037241175764791e-05
10-12°,0.8289150807284824,0.008883319731968882,0.0056385531253928005,7.89133694603877e-05
