feature,importance
alpha,0.2959222
Al6,0.15048821
Al5,0.11381312
Au6,0.09156131
Al3,0.08165227
Au5,0.05741517
Al4,0.05602303
Au1,0.04548915
Au4,0.023452077
Au0,0.021939654
Al1,0.018313844
Al0,0.013151607
Au3,0.010283303
Au2,0.0073110405
DeltaTE_upper,0.0042435178
DeltaTE_lower,0.0036095683
Al2,0.0031630627
Re,0.0021679383
