,R²,RMSE,MAE,MSE
0-6°,0.8943649491888194,0.016652229399972504,0.01190578756833575,0.0002772967439893086
7-9°,0.9245242041817452,0.014168015381982126,0.009662304804761403,0.0002007326598640821
10-12°,0.8899785520393537,0.016888895249039068,0.011276308872057236,0.00028523478273301435
