alpha,CL_pred,CD_pred,CM_pred,CD_local_min,CM_local_min,CM_local_max,admissible,CL_CD_pred
0.0,0.8816798329353333,0.007978152483701706,-0.18646922707557678,0.00664,-0.18828499999999998,0.0,True,110.51178010654556
0.25,0.8816798329353333,0.007978152483701706,-0.18646922707557678,0.00664,-0.18828499999999998,0.0,True,110.51178010654556
0.5,0.9966341853141785,0.007904875092208385,-0.18920296430587769,0.00664,-0.18828499999999998,0.0,False,126.0784229590842
0.75,0.9966341853141785,0.007904875092208385,-0.18920296430587769,0.00664,-0.18828499999999998,0.0,False,126.0784229590842
1.0,0.9966341853141785,0.007904875092208385,-0.18920296430587769,0.0068415,-0.188685,-0.0,False,126.0784229590842
1.25,0.9966341853141785,0.007904875092208385,-0.18920296430587769,0.0071660000000000005,-0.18906,0.0012199999999999989,False,126.0784229590842
1.5,1.1061230897903442,0.007845958694815636,-0.18838372826576233,0.0071660000000000005,-0.18906,0.0012199999999999989,True,140.97997871454967
1.75,1.1061230897903442,0.007845958694815636,-0.18838372826576233,0.0071660000000000005,-0.18906,0.0012199999999999989,True,140.97997871454967
2.0,1.1061230897903442,0.007845958694815636,-0.18838372826576233,0.007392,-0.18703999999999998,0.0022799999999999956,False,140.97997871454967
2.25,1.1061230897903442,0.007845958694815636,-0.18838372826576233,0.00763,-0.18687499999999999,0.002525,False,140.97997871454967
2.5,1.204459547996521,0.007980866357684135,-0.1864050328731537,0.00763,-0.18687499999999999,0.002525,True,150.9183958251404
2.75,1.204459547996521,0.007980866357684135,-0.1864050328731537,0.00763,-0.18687499999999999,0.002525,True,150.9183958251404
3.0,1.204459547996521,0.007980866357684135,-0.1864050328731537,0.007803,-0.18528,0.0024399999999999977,False,150.9183958251404
3.25,1.204459547996521,0.007980866357684135,-0.1864050328731537,0.008568,-0.18315,0.0025799999999999955,False,150.9183958251404
3.5,1.3793336153030396,0.008579320274293423,-0.18310756981372833,0.008568,-0.18315,0.0025799999999999955,True,160.77423049888867
3.75,1.3793336153030396,0.008579320274293423,-0.18310756981372833,0.008568,-0.18315,0.0025799999999999955,True,160.77423049888867
4.0,1.3793336153030396,0.008579320274293423,-0.18310756981372833,0.00866,-0.18186,0.0030599999999999907,False,160.77423049888867
4.25,1.3793336153030396,0.008579320274293423,-0.18310756981372833,0.009537,-0.18078,0.0018599999999999908,False,160.77423049888867
4.5,1.5077285766601562,0.009674222208559513,-0.1792914867401123,0.009537,-0.18078,0.0018599999999999908,True,155.8501080661715
4.75,1.5077285766601562,0.009674222208559513,-0.1792914867401123,0.009537,-0.18078,0.0018599999999999908,True,155.8501080661715
5.0,1.5077285766601562,0.009674222208559513,-0.1792914867401123,0.009722,-0.1774,0.0028999999999999543,False,155.8501080661715
5.25,1.5077285766601562,0.009674222208559513,-0.1792914867401123,0.01079,-0.1758,0.0032399999999999977,False,155.8501080661715
5.5,1.6164685487747192,0.0116127235814929,-0.17591838538646698,0.01079,-0.1758,0.0032399999999999977,False,139.19805611759082
5.75,1.6164685487747192,0.0116127235814929,-0.17591838538646698,0.01079,-0.1758,0.0032399999999999977,False,139.19805611759082
6.0,1.6164685487747192,0.0116127235814929,-0.17591838538646698,0.011,-0.172135,0.004069999999999994,False,139.19805611759082
6.25,1.6164685487747192,0.0116127235814929,-0.17591838538646698,0.012319,-0.167635,0.0042749999999999976,False,139.19805611759082
6.5,1.6381341218948364,0.014025107026100159,-0.17168445885181427,0.012319,-0.167635,0.0042749999999999976,False,116.80011559600472
6.75,1.6381341218948364,0.014025107026100159,-0.17168445885181427,0.012319,-0.167635,0.0042749999999999976,False,116.80011559600472
7.0,1.6381341218948364,0.014025107026100159,-0.17168445885181427,0.012518,-0.16297999999999999,0.007539999999999986,False,116.80011559600472
7.25,1.6381341218948364,0.014025107026100159,-0.17168445885181427,0.013609,-0.16014,0.008739999999999998,False,116.80011559600472
7.5,1.6552817821502686,0.016894327476620674,-0.16601017117500305,0.013609,-0.16014,0.008739999999999998,False,97.97855430711527
7.75,1.6552817821502686,0.016894327476620674,-0.16601017117500305,0.013609,-0.16014,0.008739999999999998,False,97.97855430711527
8.0,1.6552817821502686,0.016894327476620674,-0.16601017117500305,0.014014,-0.15464,0.011299999999999982,False,97.97855430711527
8.25,1.6552817821502686,0.016894327476620674,-0.16601017117500305,0.01598,-0.1523,0.0123,False,97.97855430711527
8.5,1.6899906396865845,0.019567392766475677,-0.15941737592220306,0.01598,-0.1523,0.0123,False,86.36769649669439
8.75,1.6899906396865845,0.019567392766475677,-0.15941737592220306,0.01598,-0.1523,0.0123,False,86.36769649669439
9.0,1.6899906396865845,0.019567392766475677,-0.15941737592220306,0.016221000000000003,-0.14679,0.016309999999999995,False,86.36769649669439
9.25,1.6899906396865845,0.019567392766475677,-0.15941737592220306,0.018465,-0.144895,0.0178,False,86.36769649669439
9.5,1.7273149490356445,0.023974474519491196,-0.14883217215538025,0.018465,-0.144895,0.0178,False,72.0480837914233
9.75,1.7273149490356445,0.023974474519491196,-0.14883217215538025,0.018465,-0.144895,0.0178,False,72.0480837914233
10.0,1.7273149490356445,0.023974474519491196,-0.14883217215538025,0.01923,-0.13974999999999999,0.024419999999999994,False,72.0480837914233
10.25,1.7273149490356445,0.023974474519491196,-0.14883217215538025,0.021088,-0.13504,0.027359999999999985,False,72.0480837914233
10.5,1.748989462852478,0.030112143605947495,-0.13731804490089417,0.021088,-0.13504,0.027359999999999985,False,58.08252928586035
10.75,1.748989462852478,0.030112143605947495,-0.13731804490089417,0.021088,-0.13504,0.027359999999999985,False,58.08252928586035
11.0,1.748989462852478,0.030112143605947495,-0.13731804490089417,0.021741,-0.133475,0.03115499999999998,False,58.08252928586035
11.25,1.748989462852478,0.030112143605947495,-0.13731804490089417,0.024137,-0.1252,0.03486999999999997,False,58.08252928586035
11.5,1.7658300399780273,0.03568577766418457,-0.12700307369232178,0.024137,-0.1252,0.03486999999999997,False,49.48273949905463
11.75,1.7658300399780273,0.03568577766418457,-0.12700307369232178,0.024137,-0.1252,0.03486999999999997,False,49.48273949905463
12.0,1.7658300399780273,0.03568577766418457,-0.12700307369232178,0.024137,-0.1252,0.03486999999999997,False,49.48273949905463
