candidate_id,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,Re,alpha_pred,CL_pred,CD_pred,CM_pred,CL_CD_pred,distance_to_train,max_thickness,CM_local_min,CM_local_max,xfoil_converged,alpha_xfoil,CL_xfoil,CD_xfoil,CM_xfoil,CL_CD_xfoil,erro_CL_pct,erro_CD_pct,erro_CL_CD_pct
1,0.15858413527254445,0.27545058775426856,0.218513408296661,0.07986592817399968,0.163605126775201,0.2863806762965708,0.5918421307544435,-0.10978735188137545,-0.011645763668087533,-0.010118700916899506,0.06537215362895765,-0.0330166337237731,0.09062078183829678,0.28072594775627013,250000.0,3.788366013183988,1.353999376296997,0.009835037402808666,-0.1850968450307846,137.67099410423444,2.3211776914333284,0.08728418188291248,-0.186055,0.003314999999999995,True,3.788,0.9984,0.01614,-0.1449,61.85873605947955,35.61692470923449,39.06420444356465,122.55707580552323
2,0.15871053737004653,0.27376754610208576,0.21754670241903812,0.08246490730045808,0.16312783179123208,0.28605288735515444,0.5951058891035164,-0.10963175095761815,-0.01405936391318708,-0.00783988646428677,0.06972840444135182,-0.03304578768150293,0.09066503838731864,0.28761323683049805,250000.0,3.785686755869875,1.353999376296997,0.009835037402808666,-0.18530458211898804,137.67099410423444,2.3143167620672243,0.08705026727879525,-0.186055,0.003314999999999995,True,3.786,1.0021,0.01612,-0.1464,62.165012406947895,35.11619362309121,38.98860171954921,121.46057528792126
3,0.15858413527254445,0.2758659463661817,0.22032567721619598,0.07986592817399968,0.163482632305786,0.2863806762965708,0.5912126754768725,-0.10975608274114404,-0.0119937129118,-0.010118700916899506,0.07087766017717095,-0.0332057357617946,0.09169882503825945,0.28269119322687697,250000.0,3.7416349197847856,1.353999376296997,0.009835037402808666,-0.18505899608135223,137.67099410423444,2.3299750630784635,0.0873886073796473,-0.186055,0.003314999999999995,True,3.742,0.9981,0.01613,-0.146,61.87848729076256,35.65768723544706,39.026426516995244,122.4860369603548
4,0.15908099776231224,0.27453241824575425,0.21714737355239794,0.0805703481372726,0.16352055306400942,0.2844168265629712,0.5888321247042236,-0.11005331015669237,-0.013730593225061337,0.0026117687113369585,0.06577621017295901,-0.03315147984998424,0.08969283491668653,0.2750121179136409,250000.0,3.6139315104178173,1.353999376296997,0.009835037402808666,-0.18530458211898804,137.67099410423444,2.331317793703094,0.08632193952363101,-0.186055,0.003314999999999995,True,3.614,0.9764,0.0159,-0.1439,61.40880503144654,38.67261125532538,38.14441885025996,124.18771059579346
5,0.15959092893500754,0.27533724900858814,0.21943268380134387,0.08262783525957679,0.16260524291949147,0.28487236633249224,0.5995834695170108,-0.1096655104754568,-0.011174512647287173,-0.008427336893026738,0.06746271981450927,-0.03316118824070476,0.09214622694986177,0.2697894464475525,250000.0,3.848371370880875,1.353999376296997,0.009835037402808666,-0.18526673316955566,137.67099410423444,2.353723049381413,0.08723267734970083,-0.186055,0.003314999999999995,True,3.848,1.0004,0.01615,-0.1436,61.944272445820424,35.345799309975725,39.10193558632405,122.24975557610823
6,0.15866427003279576,0.274116506451226,0.21826086555778715,0.0794578577469951,0.16451549932359313,0.28682280522703246,0.5877764282619753,-0.10977097897702179,-0.013460107337533375,-0.005972852446274925,0.06415870548461712,-0.03401689443880095,0.09155407801642988,0.2835968645249034,250000.0,3.860743916872736,1.353999376296997,0.009835037402808666,-0.18530458211898804,137.67099410423444,2.3172672285947042,0.0870092422889496,-0.186055,0.003314999999999995,True,3.861,1.0085,0.01618,-0.1454,62.33003708281829,34.258738353693325,39.21484917918006,120.87423744239099
7,0.15836288490133796,0.27435256821393184,0.21941869297468009,0.07955529569272585,0.16494348424879418,0.28697115118307454,0.5921543540113541,-0.1097206423077377,-0.008943902867182607,-0.002145269607001328,0.06718286484909719,-0.03328040700392716,0.09191928022743931,0.27463774325511536,250000.0,3.6644340213507283,1.353999376296997,0.009835037402808666,-0.18504025042057037,137.67099410423444,2.3541423739221896,0.08605759325683109,-0.186055,0.003314999999999995,True,3.664,0.9835,0.01598,-0.1445,61.545682102628284,37.67151767127575,38.45408383724239,123.68911904277236
8,0.15872757071751437,0.27569266364234957,0.21660616660605603,0.07877034143032369,0.16413666218576217,0.2851359750932805,0.5953468336477075,-0.10964428032000328,-0.013433758065117242,-0.008344680342522216,0.06404179672286578,-0.03405882313767957,0.09264565667664366,0.2768634387279846,250000.0,3.6497727814598173,1.353999376296997,0.009835037402808666,-0.18530458211898804,137.67099410423444,2.3408705211796423,0.08726420025886318,-0.186055,0.003314999999999995,True,3.65,0.9778,0.01599,-0.1439,61.15071919949968,38.47406180169739,38.49257409125287,125.13389197450489
9,0.15855476854348272,0.2740414314585011,0.21633617672007696,0.07951526037319123,0.16414235390504206,0.28550940526120006,0.5950549950010668,-0.1101576077983937,-0.009936142824912446,0.001005501423381979,0.06072709392059794,-0.03389777708456768,0.09122042269304721,0.2699503532363394,250000.0,3.883888378138508,1.353999376296997,0.009835037402808666,-0.1850968450307846,137.67099410423444,2.3600580686815777,0.08585994469215386,-0.186055,0.003314999999999995,True,3.884,1.0008,0.01614,-0.1428,62.00743494423791,35.291704266286686,39.06420444356465,122.02336579160115
10,0.1588935271444321,0.2755002750718106,0.22108073292605984,0.08005257397552556,0.16417012454780536,0.28746218880762153,0.5857845032620739,-0.10992959319495296,-0.012981964109155975,-0.0041337180760710945,0.0658703946748171,-0.033188974309858774,0.09267958263830393,0.28180729111607944,250000.0,3.862702884032521,1.353999376296997,0.009835037402808666,-0.18526673316955566,137.67099410423444,2.321858187707581,0.08722028656633,-0.186055,0.003314999999999995,True,3.863,1.013,0.01623,-0.146,62.41528034504004,33.6623273738398,39.40211088842474,120.57257989256914
