alpha,CL_pred,CD_pred,CM_pred,CD_local_min,CM_local_min,CM_local_max,admissible,CL_CD_pred
0.0,0.8876616954803467,0.007931442931294441,-0.18603697419166565,0.00664,-0.18828499999999998,0.0,True,111.91679788528428
0.25,0.8876616954803467,0.007931442931294441,-0.18603697419166565,0.00664,-0.18828499999999998,0.0,True,111.91679788528428
0.5,1.0036792755126953,0.007899751886725426,-0.1884876787662506,0.00664,-0.18828499999999998,0.0,False,127.05199984815428
0.75,1.0036792755126953,0.007899751886725426,-0.1884876787662506,0.00664,-0.18828499999999998,0.0,False,127.05199984815428
1.0,1.0036792755126953,0.007899751886725426,-0.1884876787662506,0.0068415,-0.188685,-0.0,True,127.05199984815428
1.25,1.0036792755126953,0.007899751886725426,-0.1884876787662506,0.0071660000000000005,-0.18906,0.0012199999999999989,True,127.05199984815428
1.5,1.1132341623306274,0.007840835489332676,-0.1878887116909027,0.0071660000000000005,-0.18906,0.0012199999999999989,True,141.97902300656145
1.75,1.1132341623306274,0.007840835489332676,-0.1878887116909027,0.0071660000000000005,-0.18906,0.0012199999999999989,True,141.97902300656145
2.0,1.1132341623306274,0.007840835489332676,-0.1878887116909027,0.007392,-0.18703999999999998,0.0022799999999999956,False,141.97902300656145
2.25,1.1132341623306274,0.007840835489332676,-0.1878887116909027,0.00763,-0.18687499999999999,0.002525,False,141.97902300656145
2.5,1.2056992053985596,0.007975741289556026,-0.18600250780582428,0.00763,-0.18687499999999999,0.002525,True,151.17080176326473
2.75,1.2056992053985596,0.007975741289556026,-0.18600250780582428,0.00763,-0.18687499999999999,0.002525,True,151.17080176326473
3.0,1.2056992053985596,0.007975741289556026,-0.18600250780582428,0.007803,-0.18528,0.0024399999999999977,False,151.17080176326473
3.25,1.2056992053985596,0.007975741289556026,-0.18600250780582428,0.008568,-0.18315,0.0025799999999999955,False,151.17080176326473
3.5,1.38078773021698,0.008574195206165314,-0.18291103839874268,0.008568,-0.18315,0.0025799999999999955,True,161.03992235027707
3.75,1.38078773021698,0.008574195206165314,-0.18291103839874268,0.008568,-0.18315,0.0025799999999999955,True,161.03992235027707
4.0,1.38078773021698,0.008574195206165314,-0.18291103839874268,0.00866,-0.18186,0.0030599999999999907,False,161.03992235027707
4.25,1.38078773021698,0.008574195206165314,-0.18291103839874268,0.009537,-0.18078,0.0018599999999999908,False,161.03992235027707
4.5,1.5094400644302368,0.009669099003076553,-0.17913396656513214,0.009537,-0.18078,0.0018599999999999908,True,156.10969170446563
4.75,1.5094400644302368,0.009669099003076553,-0.17913396656513214,0.009537,-0.18078,0.0018599999999999908,True,156.10969170446563
5.0,1.5094400644302368,0.009669099003076553,-0.17913396656513214,0.009722,-0.1774,0.0028999999999999543,False,156.10969170446563
5.25,1.5094400644302368,0.009669099003076553,-0.17913396656513214,0.01079,-0.1758,0.0032399999999999977,False,156.10969170446563
5.5,1.6185704469680786,0.011607600376009941,-0.17597724497318268,0.01079,-0.1758,0.0032399999999999977,False,139.44057294677944
5.75,1.6185704469680786,0.011607600376009941,-0.17597724497318268,0.01079,-0.1758,0.0032399999999999977,False,139.44057294677944
6.0,1.6185704469680786,0.011607600376009941,-0.17597724497318268,0.011,-0.172135,0.004069999999999994,False,139.44057294677944
6.25,1.6185704469680786,0.011607600376009941,-0.17597724497318268,0.012319,-0.167635,0.0042749999999999976,False,139.44057294677944
6.5,1.6405515670776367,0.014097209088504314,-0.17182870209217072,0.012319,-0.167635,0.0042749999999999976,False,116.37420973031024
6.75,1.6405515670776367,0.014097209088504314,-0.17182870209217072,0.012319,-0.167635,0.0042749999999999976,False,116.37420973031024
7.0,1.6405515670776367,0.014097209088504314,-0.17182870209217072,0.012518,-0.16297999999999999,0.007539999999999986,False,116.37420973031024
7.25,1.6405515670776367,0.014097209088504314,-0.17182870209217072,0.013609,-0.16014,0.008739999999999998,False,116.37420973031024
7.5,1.6561431884765625,0.016995234414935112,-0.16621093451976776,0.013609,-0.16014,0.008739999999999998,False,97.44750487355286
7.75,1.6561431884765625,0.016995234414935112,-0.16621093451976776,0.013609,-0.16014,0.008739999999999998,False,97.44750487355286
8.0,1.6561431884765625,0.016995234414935112,-0.16621093451976776,0.014014,-0.15464,0.011299999999999982,False,97.44750487355286
8.25,1.6561431884765625,0.016995234414935112,-0.16621093451976776,0.01598,-0.1523,0.0123,False,97.44750487355286
8.5,1.6901097297668457,0.01970798522233963,-0.15981009602546692,0.01598,-0.1523,0.0123,False,85.75761097339632
8.75,1.6901097297668457,0.01970798522233963,-0.15981009602546692,0.01598,-0.1523,0.0123,False,85.75761097339632
9.0,1.6901097297668457,0.01970798522233963,-0.15981009602546692,0.016221000000000003,-0.14679,0.016309999999999995,False,85.75761097339632
9.25,1.6901097297668457,0.01970798522233963,-0.15981009602546692,0.018465,-0.144895,0.0178,False,85.75761097339632
9.5,1.7278505563735962,0.023290706798434258,-0.1492515653371811,0.018465,-0.144895,0.0178,False,74.18626542023846
9.75,1.7278505563735962,0.023290706798434258,-0.1492515653371811,0.018465,-0.144895,0.0178,False,74.18626542023846
10.0,1.7278505563735962,0.023290706798434258,-0.1492515653371811,0.01923,-0.13974999999999999,0.024419999999999994,False,74.18626542023846
10.25,1.7278505563735962,0.023290706798434258,-0.1492515653371811,0.021088,-0.13504,0.027359999999999985,False,74.18626542023846
10.5,1.7530217170715332,0.028889792039990425,-0.13822539150714874,0.021088,-0.13504,0.027359999999999985,False,60.6796239531572
10.75,1.7530217170715332,0.028889792039990425,-0.13822539150714874,0.021088,-0.13504,0.027359999999999985,False,60.6796239531572
11.0,1.7530217170715332,0.028889792039990425,-0.13822539150714874,0.021741,-0.133475,0.03115499999999998,False,60.6796239531572
11.25,1.7530217170715332,0.028889792039990425,-0.13822539150714874,0.024137,-0.1252,0.03486999999999997,False,60.6796239531572
11.5,1.773439645767212,0.034980081021785736,-0.12858006358146667,0.024137,-0.1252,0.03486999999999997,False,50.69855740650534
11.75,1.773439645767212,0.034980081021785736,-0.12858006358146667,0.024137,-0.1252,0.03486999999999997,False,50.69855740650534
12.0,1.773439645767212,0.034980081021785736,-0.12858006358146667,0.024137,-0.1252,0.03486999999999997,False,50.69855740650534
