conjunto,target,media,std,min,max
train,CL,0.9014754592651757,0.3805391740814261,-0.0032,2.0554
train,CD,0.020527120607028757,0.014755869889679465,0.00581,0.14327
train,CM,-0.05825762779552715,0.05438927287175952,-0.2485,0.0798
validation,CL,0.9167567820392891,0.3872881433466573,-0.0081,2.2828
validation,CD,0.021833676333021516,0.018742963400033407,0.00592,0.15929
validation,CM,-0.06280832553788587,0.054430707039526544,-0.2772,0.0372
test,CL,0.8830780148423006,0.34874273375144405,-0.122,1.9476
test,CD,0.01948444341372913,0.013767345470889005,0.00591,0.12485
test,CM,-0.05339350649350649,0.04353322122876829,-0.1692,0.0714
